,Hotel_Name,Negative_Review,Positive_Review
159493,Hotel Saint Petersbourg Opera, The wifi in the hotel is catastrophic Its very slow and most of the time is not working , The hotel is located in a very good area close to opera We had superior room and it was a very good size 
159494,Hotel Saint Petersbourg Opera, The breakfast was not good We only went for breakfast on the Sunday so don t know if it was a one off but was totally understaffed We went at 9 30 and breakfast was until 10 a m but there were no glasses for the orange juice and virtually no orange juice no knives no croissants and the cold buffet was virtually empty and nobody was replacing anything There were only 2 staff who were working extremely hard but just couldn t cope It took us 20 minutes to get a hot drink It was certainly not worth 15 euros , The main positive is the location of the property The hotel was comfy and the staff pleasant and helpful 
159495,Hotel Saint Petersbourg Opera, The breakfast buffet was very limited Don t take the hotel for the view out of the windows , The aircondition worked splendidly A great place regarding transport metro in general and connection to airport Charles de Gaulle Lots of restaurants not high class nor high price in the area 
159496,Hotel Saint Petersbourg Opera, Nothing , Staff were very helpful Family room was perfect and also ready on arrival It was nice to get an email from the hotel prior to arrival asking if they could prepare anything in advance 
159497,Hotel Saint Petersbourg Opera, My only minor complaint was that the towels were very thin Didn t match the luxury of everything else , We had a wonderful extended stay at this hotel Everything felt luxury and looked newly renovated The bathrooms were brand new with a very good shower Large rooms by European standards and the beds were quite comfortable We had a balcony room for some of the time and it was so beautiful and lovely to sit out and look over the Paris rooftops I choose this hotel in part because it looked close to everything and I wasn t disappointed Steps from Opera and big shopping district just 15 min walk or easy bus subway ride to Tulleries and the Louvre Staff was super friendly and all spoke excellent English Definitely recommend 
159498,Hotel Saint Petersbourg Opera, Honestly That s very bad experience I can t believe cost those money for this hotel The water from toilet keep flow to the room all the carpet front of washroom are wet all the time never come again , location staff
159499,Hotel Saint Petersbourg Opera, Not enough band width for internet service and the tv channels in English were almost unwatchable because of pixelisation , The breakfasts were excellent and the staff of the hotel were extremely helpful 
159500,Hotel Saint Petersbourg Opera, The room was very small with no iron and wallpaper peeling in places Also very limited toiletries The sheets were not changed in the 4 nights of our stay there was a notable stain so it was easy to tell which I think is pushing it a bit , The location was fantastic easy to get everywhere The bathroom was also clean and updated Staff very friendly 
159501,Hotel Saint Petersbourg Opera, The pastry shop across the street was closed on Saturday and Sunday , The staff was very helpful in recommending restaurants each evening They also gave excellent options and directions in assisting me to get to the airport They were very pleasant to work with and my lack of any fluency in French was not a problem here The location was very central to all the sites I wanted to see for my first trip to Paris Wonderful pastry shop across the street to start my explorations 
159502,Hotel Saint Petersbourg Opera, Imagine there was no quilt cover for the quilt instead the housekeeper prepared our bed by using 2 bed sheets to cover the quilt It was really weird On the day of checkout we asked 45 min in advance to call a taxi to Gare de Lyon The concierge staff said wait 5 minutes However we wait nearly half an hour till the taxi came We missed our train in the end and repurchased our tickets and we spend 3 extra hours waiting in the train station It was 38 degrees in Paris and there was no AC So disappointed , Excellent location close to shopping areas Only 5 minutes walk to Printemps and Lafayette The staffs in front office and concierge are nice and helpful 
159503,Hotel Saint Petersbourg Opera, There is no chance for vegetarians at breakfast but our family liked the choice in general everything was tasty The only thing i could not get in this lovely hotel was bidet of special shower but if the hotel could solve this problem i can call it perfect place to stay in Paris, Wonderful hotel with perfect placement in center of Paris clean fresh comfortable We stayed a big family in few rooms and all our reqests were satisfied The street is full of cafes and restaurants 3 minutes to main shoping centers Reception was very friendly any time of day I d like to stay again in the same hotel
