,Hotel_Name,Negative_Review,Positive_Review
479981,Hotel Sanpi Milano, The only thing we can complain about is that they wrote that they cared for the environment but still removed a soap that had just been opened and could have been used for several more days , Very clean very quiet The staff was friendly and very informative Lots of alternatives on the breakfast buffet We liked that they wrote that they cared for the environment and therefore didn t change towels and bedding unless you told them Very very good We really appreciated that 
479982,Hotel Sanpi Milano, N A, The staff were very nice professional and spoke many languages Prompt response time if I called for anything i e iron ironing board bathroom issues etc Daily breakfast was always replenished fresh fruit also a very nice and friendly staff 
479983,Hotel Sanpi Milano, The rooms are kinda old and need to be renewed , Location was good enough really close to the train station and you actually get there by airport shuttle bus And it is only 800 meters to the hotel 
479984,Hotel Sanpi Milano,No Negative, The breakfast was very complete and varied The staff was extremely helpful and friendly The location couldn t be better Access to historic center is within minutes with the tram 
479985,Hotel Sanpi Milano, very dark room but it s an advantage during heats , good breakfasts friendly staff very good locaction near to the railway station Milano Centrale to the Duomo di Milano and metro station clean rooms except under bed but only in my room my firends didn t have this defect very good WIFI connection
479986,Hotel Sanpi Milano, The air co in the room didn t work properly and it was hot 29C during the night Unfortunately the fridge didn t work either They offered to keep our drinks cold somewhere else but of course that doesn t really work , The reception was excellent and they accommodated an early arrival well Location is excellent with restaurants and park in the vicinity as well as public transportation
479987,Hotel Sanpi Milano, I would not assign any negatives at all A nice place to stay , The staff was very friendly and helpful The hotel is close to the Castle and Duomo There is a nice restaurant nearby 
479988,Hotel Sanpi Milano,No Negative, Excellent breakfast Staff were very helpful and good variety of satellite channels Good to have a large mini bar fridge as there was room to put in own water 
479989,Hotel Sanpi Milano, Perhaps more choice of cooked option at breakfast , Very comfortable bed good air con lovely outside space good location helpful staff very clean 
479990,Hotel Sanpi Milano, Some walk away from the metro and main train station , Great and incredibly wide spread of breakfast Nice cosy and clean rooms Near to the train station to go to the other attractions like the Duomo and churches Welcoming and beautiful ambience at the lobby Nice and helpful counter staff Near some decent Italian and Chinese restaurants 
479991,Hotel Sanpi Milano, That I only had 2 days with you , The staff were incredibly kind efficient and professional The room was spotless beautiful The outside garden was a little paradise 
479992,Hotel Sanpi Milano,No Negative, I had a very comfortable room with a large well equipped bathroom It was quiet and relaxing The hotel staff I found to be universally warm and helpful Breakfast buffet was excellent and it was great to be able to eat is outside in their charming little garden For the price I thought this was an excellent hotel and well located 
479993,Hotel Sanpi Milano, Room was really small and kind of worn Pictures at the site for booking and reality did not match much We were kind of disappointed and would have preferred some international hotel chain hotel instead And hotel was not that close to the Central Station as expected although we chose from the booking app by near the Central Station as we had to wake up at 5 to catch the bus to the airport beside Central Station , The location of the hotel was pretty good for just walking around 20 meters from the hotel was a great restaurant Il Carpaccio and park for walking was nearby 
479994,Hotel Sanpi Milano,No Negative, The hotel was very cosy elegant and charming and the staff were friendly professional and efficient The garden restaurant was delightful and our room was very comfortable Co
