,Hotel_Name,Negative_Review,Positive_Review
354474,Hotel Schani Wien, Could do with more storage for luggage when busy , Very easy access from train station and to all parts of Vienna by subway or tram Quiet despite closeness to main rail lines Very friendly and helpful staff 
354475,Hotel Schani Wien, We lived in the room of Maisonette type Spacious room but the stairs leading to the top floor is very narrow and steep It is simply unsafe for an elderly guest as I, We liked the breakfast and coffee from the coffee machine And of course the hotel is so close to the Hauptbahnhof which is very convenient for those travelling by train
354476,Hotel Schani Wien, The room was ugly Was very cold during the night even we open the windows and have no possibility to stop the air conditioned , The coffe was very good the small garden was very nice 
354477,Hotel Schani Wien, Ditch the Nespresso coffee machine It s too slow and the coffee lukewarm Austria has good coffee but there was nothing good about the very nasty tasteless coffee capsules pretending to be Italian yuk , The location was perfect Tram to town centre on the doorstep and mainline station 5 minute walk or take the tram one stop at the front of the hotel or a 15 minute walk to nearby restaurants etc down the side of the hotel Breakfast food selection was excellent 
354478,Hotel Schani Wien, Our room was nice but the air conditioning in was not working properly Although they offered to change our rooms because we are a party of 3 there wasn t any room available to change to but the staff did offer other solutions to which we agreed to still it would have been better with a working air conditioning , Staff was helpful and friendly Great location the hotel was just across the station I like the friendly fun and hip theme that the hotel presents Breakfast was great The rooms where clean and interiors were interactive like the wall showed a map of vienna and it s attractions Props to the designers of the hotel 
354479,Hotel Schani Wien,No Negative, Very unusual hotel the consept and design Great location just near the train station and Belvider palace It s possible to rent electric scooters there that s what I did to explore the city Berakfast was great I was using the juicer to prepare fresh myself that s the great idea for a healthy breakfast 
354480,Hotel Schani Wien, Room was a little hot A C doesn t adequately cool the room , Cool Design Nice staff Train to old Town area is right outside the hotel Also close to main train station 
354481,Hotel Schani Wien, The AC cannot be turned off the air was cold and dry Also it s noisy and if you are a light sleeper you might not like it The sink is in the room not in the bathroom For us wasn t a problem but the room and the shower are separated only by a transparent glass door so if you are looking for privacy you should consider this , Location is close to the metro station Underground parking with elevator up to the room Interesting design Clean
354482,Hotel Schani Wien, The location is fairly near the public transport train station and the metro but as the area is still developing and the complexity of the public transport in Vienna you may need to walk a distance if you get lost around the area and the station , The lighting is so sufficient and the theme of the hotel is decorated interestingly It is not a traditional hotel but fairly focusing on the young travelers and business co workers with adequate working spaces and facilities 
354483,Hotel Schani Wien,No Negative, Great location right out side the train station Make sure use the east exit of train station where you will find the hotel just across street Great interior design and excellent facilities conveniently accessible Especially the storage facility in basement all self service storage locks like the ones you could find in train stations but free of charge ideal for travellers who coming in and traveling out Vienna by train 
354484,Hotel Schani Wien, Staff weren t helpful staff member walked into room when do not disturb sign was on the door Room facilities were lacking air con wasn t cold no phone in room no fridge or kitchenette facilities, The location
354485,Hotel Schani Wien, Rooms were fine but a bit stuffy and the only way to get air circulation was to open the window which caused the air conditioning to turn itself off automatically Also while generally good breakfast was quite expensive , Lovely front desk staff always pleasant genuinely friendly and helpful Great quirky vibe overall Location near main train station AND directly on tram line cannot be beat 
354486,Hotel Schani Wien, I was traveling with a work colleage and we asked for a twin room that wasn t available We had to rent other room , Breakfast was 12 euros and it had all good things that I long for in a hotel breakfast Excelent 
354487,Hotel Schani Wien,No Negative, Very nice hotel with modern n artistic decor Love every part of the hotel Room is comfy n clean Good hot shower There is a Nespresso machine which is an added bonus Overall beautiful stay n I highly recommend 
354488,Hotel Schani Wien, Hotel opted in the self service technologies such as by checking in this decreases the personal contact between the hotel staff and the customers and this might be a bit less interesting for the traditional customers It doesn t bother us though we like that the process was done very quickly without queuing Keep up your good work , Perfect location with a walking distance from the train central station The property is very fresh bright and spotless clean with the modern facilities We will definitely come back for our next visit 
354489,Hotel Schani Wien, Air conditioning in room not operating sweltered overnight and very poor sleep, Friendliness and helpfulness of staff Cup of tea in morning beautifully quaint pot and cup combination just 2 50 Tram to city right outside door and one stop to main train station 300 yards away City Centre only 10 minutes by tram 
354490,Hotel Schani Wien,No Negative, The hotel is located very close to train and metro stations It is very convenient for us to go to different attractions and transit to other cities Staff members of the hotel are friendly and there is an Italian restaurant next to the hotel pasta was nice 
354491,Hotel Schani Wien, rooms little compact open bathroom , clean good breakfast d tram right at the gate to reach inner stadt in 13 mins haufbanhoff station just behind the hotel for long distance travel 
354492,Hotel Schani Wien,No Negative, Absolutely loved the hotel very clean rooms with a hint of good design and bathrooms amazing helpful staff I love idea about self check in Atmosphere in the hotel was brilliant And invoice came on my e mail as promised just after check out trust me many hotels that say they will send an invoice and never do Well done Shani Wien 
354493,Hotel Schani Wien, the stairs in the room not safety specially for childs very small bath room and big wc , the idea of this hotel is of genius but the performing is good minus
354494,Hotel Schani Wien, Room was too warm unable to properly control the temperature of your own room centrally controlled A C , Handy location on the D tram line and next to the train station Lovely modern rooms and facilities and breakfast was very good 
354495,Hotel Schani Wien, Room was a bit warm and we would have liked our own tea making facilities, Room was good very clean The bar area was also good Liked the locker system for luggage
354496,Hotel Schani Wien, The room was ready only at 3 pm therefore I had to wait 2 hours hanging around The arrangement of the hotel in general and of the room in particular furniture not practical at all It looked like the room of a teenager more than a room for a business traveler In one week they never changed the bed linens A wish to have a small refrigerator to keep my water and drinks cool It pretends to be an hostel style hotel but with a 3 stars hotel price , The location very close to main train station and U bahn 
354497,Hotel Schani Wien, The hotel guide stated that staff at reception would order food in should you wish to stay in The weather was terrible and it was dark and as a solo traveler I did not want to leave the hotel to find something to eat When I went to reception about 7 30pm the woman at reception was extremely rude and unwilling to help I had to explain that in the hotel guide it clearly states that they will be happy to order food in I explained that I would need help translating the menus she eventually provided which she rolled her eyes at She sighed and huffed throughout the process of ordering my food making me seem like an inconvenience There were no other guests waiting to be served and barely anyone in the restaurant area It was a shame because I really enjoyed my stay at the hotel apart from the attitude of this one young woman , The interior design is fabulous Loved my room 
354498,Hotel Schani Wien, I would appreciate to have possibility to order an package where the breakfast is inclusive To buy it separately is rather inconvenient in case you are on business trip , I like the hotel in general I have already stayed there several times The location and style of the hotel is very convenient 
354499,Hotel Schani Wien,No Negative, The hotel is very good value The room was not big but it felt alright because of open concept and quite convenient design It s close to central train station and public transport network yet it s on a quiet street so you can get a good sleep no problem It s new modern and clean 
354500,Hotel Schani Wien, The room was too hot and you couldn t open the window as the traffic noise was deafening They did move us when I complained to a garden room which meant we could open the window didn t quite understand why there was a thermostat in the room if it did nothing to the room temp tho , The decor was quirky and fun we liked it a lot The tram right outside the door went into town regularly getting around was so easy and it was 5 mins walk from main train station which had regular trains to the airport for less than 4 bargain 
354501,Hotel Schani Wien, Perhaps a little more explanation of the technology for oldies like us , We only stayed one night between the train to Vienna and the plane out The hotel is very close to the main railway station It is very modern in appearance with lots of the latest technology The room was very comfortable and the reception staff pleasant and helpful 
354502,Hotel Schani Wien,No Negative, Breakfast was amazing Price was reasonable The interieur of the hotel was very unique and stunning how much effort went into details Staff was young and super friendly The location was absolutely fine Yes not in the city center but with a tram right in front of the door which you could use to get there We enjoyed every bit of our stay
354503,Hotel Schani Wien, There wasnt really something wrong There could have been slippers provided or some more bath products but its OK, The Location is next to the train station and 3 min walk from Underground Comfortable bed Modern design Quiet Helpful Stuff Everything was perfect
