,Hotel_Name,Negative_Review,Positive_Review
492467,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, I noticed a lot of small ants in the room , My experience with the hotel was average I liked the secure parking they provided breakfast was ok and rooms were clean 
492468,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, No room service for late travellers like me and the breakfast slots very also not flexible The young gentleman behind the counter was not helpful and not friendly , the room was spacious and clean although very basic 
492469,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,No Negative, Nice hotel in a silent part of the city with easy access to metro Breakfast was good Air conditioner was in excellent condition silent and effective The room was a bit smaller than I expected but was clean and comfortable In general this is a good choice for short city visits 
492470,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, I can hear everything the people in my next door were saying or maybe they were just really loud Thank god it was in Italian which I don t understand, Clean Good value Good breakfast Good location
492471,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, The room was extremely cold We tried to work the heat in the room but it didn t work But since we didn t stay in the room that much we didn t take the time to talk to the front desk about it The receptionists were ok not very excited about helping very short in answers when questions were asked I m sorry to say but the breakfast was definitely not good I mean for a 4 star hotel the breakfast really was a joke There were no vegetables not a big range of bread the eggs were horrible the bacon was not made properly The girls working there and one guy were very nice though The location of the hotel is a little bit off , All in all it was a ok hotel With that said it was not worth the price tag I understand that Milan is a expensive city but I would expect more from a 4 star hotel 
492472,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, Small rooms small beds modest breakfast , Great location Few steps from subway 10 15 min by subway to Duomo Quiet green and good district with calm atmosphere and plenty places to eat Wonderful park view from hotel s public areas 
492473,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,No Negative, Staff was amazing and really friendly You could ask for everything and they would always try to fulfill your needs Its a silent area and you have everything you need within a couple of minutes of walk 
492474,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, The breakfast room a bit on the cold side , Very varied breakfast plenty of food Rooms are nice and clean fantastic location Metro immediately outside About four or five stops to the centre local facilities also excellent bars and shops 
492475,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,No Negative, The staff is very supportive and professional The location is strategic very close to metro and at 15 from Piazza del Duomo The parking is very practical 
492476,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,No Negative, Good location and very friendly helpful reception staff Matteo and Mauro Useful to be able to use computer printer to do online check in and print boarding passes Mille grazie 
492477,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,No Negative, Nice confortable room with nice view to the park Ubication is good as it tis close to the spanish steps but not so close to the city center if you are planning to visit it 
492478,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, Granting loyal clients priority in booking and create program for frequent customers , The lady in charge of the breakfast room ALWAYS greets every body with a smile The garden s breakfast tables are the real treat A joy for those who are looking for a logical hotel rates 
492479,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, Not good value for money Fair enough the hotel is good but definitely overpriced The breakfast and the room for a 4 was just ok , The hotel is small but very warm furnished Very closed to the underground station The staff is very friendly and the garden is marvellous 
492480,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, Um the wallpaper , Excellent location right next to Buonarroti Metro and gated parking Only 15 20 mins to the Duomo Fantastic continental breakfast good Ac and wifi
492481,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels, Isolation is awful you can hear everything Description and pictures are misleading It looks like charming place but it s built like a chain hotel I don t see much difference from low cost chains except for the prive Bathroom are outdated, Parking is nice because its covered and secure
