,Hotel_Name,Negative_Review,Positive_Review
7743,Hotel Trianon Rive Gauche, I can t find any faults , This is the third time we stayed at this hotel It is simply great Perfect location and the staff is lovely Definitely recommend it to anyone who is visiting Paris This time I was traveling as family and they gave us a lovely family room on the 7th floor The view was absolutely superb 
7744,Hotel Trianon Rive Gauche, There were no outlets in the bathroom Police sirens were loud at night but weren t frequent Very quiet otherwise Don t use the elevator if you re claustrophobic We squished 2 adults and a 50 lb child but more as a challenge , Location surpassed expectations Very comfortable bed and pillows Wonderful large window to open almost like a patio which overlooked the cool old neighborhood Wonderful breeze as I laid in bed No screen but no bugs I think we had a tiny glimpse of the Eiffel tower from the window The tiny elevator was actually really fun for my daughter The tub was great The staff were incredibly nice They even helped me to my Uber which wasn t necessary and made sure he was taking me to the right place The proximity to the wonderful Luxembourg Gardens was heavenly 
7745,Hotel Trianon Rive Gauche, Everything was great , The view was amazing The hotel is wonderful and the breakfast was great Already planning our visit back Thank you for the best stay in Paris 
7746,Hotel Trianon Rive Gauche, Bath towels are the size of a face towel For an American Hotel I would have thought that they would have had bath towels fits for the average American I am not American who are rather larger than the average European , Location Good for the RER B for both airports 
7747,Hotel Trianon Rive Gauche,No Negative, The hotel was in a brilliant location The staff were very nice and welcoming and the rooms were quite comfortable and cosy Would definitely recommend staying here when visiting Paris 
7748,Hotel Trianon Rive Gauche, Very small thing I m short the side of the tub shower combo was a bit tall to climb over , The staff are extremely friendly helpful There are nice extras in the room like robes with slippers a mini fridge The location is exceptional right in the heart of the Latin Quarter St Germain des Pres neighborhoods Beds were very comfortable the air conditioning worked like a charm 
7749,Hotel Trianon Rive Gauche, Nothing, Location very quiet street but only a stone throw away from bars and restaurants Nice modern room Very clean Friendly and helpful reception staff who all spoke excellent English
7750,Hotel Trianon Rive Gauche, Slightly slow internet , Location was awesome Breakfast was good The rooms are a little small but are much nicer than others I have been in in Paris Lovely lobby area
7751,Hotel Trianon Rive Gauche, The air conditioner stopped working but the staff were very apologetic and gave us a fan for our room and a complimentary breakfast , The staff were great Very friendly and helpful The hotel is in a great location and our room had a view of the Eiffel Tower Loved it 
7752,Hotel Trianon Rive Gauche, No mini bar no slippers no toothbrush a bit disappointing for a 4 stars hotel , very well located in between St Michel and Luxembourg Staff was nice and smiling
7753,Hotel Trianon Rive Gauche,No Negative, Very convenient and cosy hotel close to some of the nicest places of Paris The view from the room is amazing from Eiffel Tower to Montmartre and Notre Dame The staff is helpful to have a nice stay in Paris 
7754,Hotel Trianon Rive Gauche, The place could do with a revamp but they don t need to try harder because they have the traffic anyway, Friendly staff excellent location furnishings a bit aged but not below expections 
