,Hotel_Name,Negative_Review,Positive_Review
250392,Hotel Verneuil Saint Germain, BookedTwin bedded room there was no room to separate beds appears to be a single room with extra bed View was the lift shaft Bar was non existent just a cupboard Breakfast was offered as a choice to have in room but no space to eat e g One chair no table No central lights so very dark and gloomy Very overpriced Tip stay on the other side of the seine as more is going on and wherever you are you can see the Eiffel Tower , Clenliness
250393,Hotel Verneuil Saint Germain, The noise from other rooms are so loud and couldn t sleep well , Classic and cosy room nice shower staffs are all nice The location is good as well 
250394,Hotel Verneuil Saint Germain, the room was a bit smaller than expected The wifi didn t work all the time but it was free , Friendly hotel in a great location Walking distance to the Louvre and Notre Dam The honesty bar area was really comfortable The hotel give you a mobile phone for your stay that you can use the internet on and make free calls so it is really easy to make restaurant reservations etc 
250395,Hotel Verneuil Saint Germain, The rooms are small , Fantastic Location near the Seine on the Left Bank High end accommodations very clean Personable and helpful staff Quiet neighborhood small hotel Within easy walking distance to the Louvre d Orsay and St Germain s lively restaurant scene 
250396,Hotel Verneuil Saint Germain, The breakfast room in the cellar was small and dark It would be better if was in the location of the living room , The bed is amazing The location is superb Close to everything 
250397,Hotel Verneuil Saint Germain, Would like tea and coffee making facilities in the room , The staff were friendly and helpful The hotel is in a great location with The Louvre only 5 minutes walk away Our room was rather small but was spotlessly clean We would definitely stay there again when next in Paris 
250398,Hotel Verneuil Saint Germain, In the wardrobe It was a little difficult to reach the coat hangers even if you were of average height But we managed , A very welcoming hotel with excellent staff throughout the hotel Well placed for what we wanted to do The room was fine a little cramped but very comfortable beds and a nice bathroom 
250399,Hotel Verneuil Saint Germain, Very poor value for money the rooms are tiny I know it is Paris but for less than what I paid I had a room in another lovely hotel in the area last week that was twice the size and more beautifully decorated with working a c music and a nespresso maker in the room My a c did not work properly The photos on booking com don t demonstrate just how small the room I had was I couldn t open my medium size suitcase except on the bed only my carry on I don t know how 2 people would fit in the room The hotel charged 5 euro for a nespresso I think that is correct where as everywhere I have stayed in Europe including airbnbs in the last 2 weeks had nespresso makers with complementary coffee , Excellent location good staff lovely bathroom soaps etc good wifi 
250400,Hotel Verneuil Saint Germain,No Negative, The staff was friendly and provided helpful tips about shopping and good restaurants in the area The breakfast buffet was great value for the cost whether you choose the continental or the full breakfast The quality of the bedding and toiletries were excellent 
250401,Hotel Verneuil Saint Germain, We had a 4 bags which we found difficult to store in the room, Bed and towels excellent Beautiful sheets Staff couldn t have been more helpful and polite
250402,Hotel Verneuil Saint Germain, Room was a bit small We knew it from other reviews but it was really tight , Staff was very friendly and helpful not only with the hotel but with reservations transportation etc 
250403,Hotel Verneuil Saint Germain, Shower had a slow drain but if you turned the water pressure down it was fine, Fantastic location and beautiful quaint boutique hotel Staff was lovely and very helpful
250404,Hotel Verneuil Saint Germain, Only a problem if stairs are a problem but elevator starts on first floor Porter carries bags though , Beautifully modernised townhouse in quiet street Small rooms but this is usual in Paris but so stylish Very comfortable bed and good quality linen and toiletries Staff are really helpful Nice area good for restaurants bus and metro We would stay here again 
250405,Hotel Verneuil Saint Germain,No Negative, Beds amazing Staff literally will move the mountain Near to the Seine for a morning run Hotel Verneuil is the best proxy for home when working often in Paris
250406,Hotel Verneuil Saint Germain,No Negative, The staff were wonderful Went above and beyond to ensure everything was working properly and I was able to do work when I was in the hotel Fabulous boutique hotel and I will definitely stay there agan when back in Paris 
250407,Hotel Verneuil Saint Germain, Not a thing , This hotel was in a perfect location for us to do all of the Paris things we wanted to do The staff could not have been more accommodating We loved it and would stay there again if we could be so lucky to go back 
250408,Hotel Verneuil Saint Germain, No tea coffee making facilities No clock in the room No space in wardrobe for hanging trousers or ladies long dresses, The rain shower is great bathroom facilities good
250409,Hotel Verneuil Saint Germain, 1 Due to the extremely small size of the room we felt claustrophobic 2 The microscopic elevator left from the 1st Floor 3 Shower over very high lipped but very small bath Quite dangerous to egress 4 Impossible to get water on you from the showerhead Needs to be changed 5 No lunch or dinner served in the hotel 6 Wi fi did not work in our room 7 Only English TV stations available were news stations 8 View from room was terrible 9 Very expensive due to the above We booked a club room and paid over A400 per night , Good location near Museum d Orsey Staff are friendly 
250410,Hotel Verneuil Saint Germain, Only negative was the city drama which disappeared as soon as we entered the hotel , This is our go to hotel for Paris It has been updated nicely since our last visit which also made it a little more pricey But great location breakfast in the cave and staff very helpful 
250411,Hotel Verneuil Saint Germain, The rooms were tiny even for Paris and they were not set up well We are short people and we could barely sit on the toilet If you used the hairdryer on the hot setting it overheated The walls were so thin that we could hear the snoring in the next room, The location of the hotel was excellent and the rooms were nicely decorated 
