,Hotel_Name,Negative_Review,Positive_Review
260244,Hotel Villa Saxe Eiffel, Fairly close to four different metro stations but if you frequently come in and out it would be a bit of walk , Friendly staff clean and comfortable room and facilities quiet neighbors 
260245,Hotel Villa Saxe Eiffel,No Negative, I booked this hotel for my daughter and her partner to celebrate her 30th birthday They said the accommodation was great and staff were really polite and helpful The location was perfect within walking distance to the main attractions They had a fabulous time 
260246,Hotel Villa Saxe Eiffel, Lack of usual room service only for breakfast or ready dishes But in general it is not the great problem, Silence of room Very clear Unforgettable breakfast tasty and fresh Very comfortable bed and pillows
260247,Hotel Villa Saxe Eiffel, There was a problem with our first room which we weren t informed about Wet carpet leaks in the bathroom etc We did stay there for one night and the next day staff moved all of our belongings to another room without us knowing Having this said staff was very helpful and friendly understanding our concerns of our belongings The second room was much better The breakfast room is too small for the amount of guests in the hotel sometimes there is a qeue of people waiting to be seated Other guests are not even eating anymore just reading newspapers or talking to each other but occupying a breakfast table I think staff should be able to say something about this especially when people are waiting There are other spaces to talk or read , The location is wonderful calm area good connections walking distance as well as metro lines close Staff is very friendly and helpful Even though you need to pay for breakfast it is of very high standard a lot on offer Got a free upgrade of our room 
260248,Hotel Villa Saxe Eiffel, Coffee was untasty breakfast room to small for all clients Sauna without working shower long time temporary out of order Fitnessroom stereo without speakers, Breakfast very good except coffee was substandard clean rooms kindly reception good located 15min by Walk for eifel tower Good connection for underground 
260249,Hotel Villa Saxe Eiffel, The Lift had a mind of its own sometimes , A very nice quiet and friendly hotel They don t offer evening dining but plenty of restaurants are conveniently located nearby 
260250,Hotel Villa Saxe Eiffel, Not really a variety of different food for breakfast and dinner TV had no connection , Fairly close to the Metro great destination and walking distance from Eiffel tower
260251,Hotel Villa Saxe Eiffel, If coming in on the train at Gare du Nord beware of the scammers that try to grab you and shove you in a taxi They charge three times as much should only run about 25 30 to this hotel via taxi , Loved the hotel so beautiful The staff was very helpful and the hotel was super clean The location was nice and quiet and pretty centrally located A Metro station is about 5 blocks west and gets you to the Eiffel tower in 15 mins including walking You can see the Eiffel tower as you stroll around the neighborhood and there is a lovely bakery down the street limited hours and a convenance store we also spent some time at the Cafe Basile about three blocks Loved it too 
260252,Hotel Villa Saxe Eiffel, No immediate restaurants close by and the hotel doesn t have a restaurant , Breakfast buffet was good Quiet location but 5 min walk from Metro Segur Standard double room small but comfy good bathroom balcony nice accessories Friendly staff and no problems 
260253,Hotel Villa Saxe Eiffel, need to go 700 1000m to restaurants and every metro station but you can reach 3 different metro station nearby the internet speed WIFI was not as good as I expected on the first day i did not work properly at all , If you prefer a calm hotel in the edge of the downtown and do not mind to walk a few its a perfect choice Beside that All the staff were helpfull and nice my every request to be served by them nice roomsize it is bigger than other parisian hotel room to be offered Incredible atmoshere at the lobby breakfast place the finest breakfast I have ever eaten everything but I did not get enough with the delicious croissant perfect bed all the size and the comfort the sauna which is absolute usefull could be used at non stop could be warmed up in 15 minutes massage sofaaaaaa amazing after sightseeing days the hotel situated on a silent part of the city and also in an absolute silent blind alley 
