,Hotel_Name,Negative_Review,Positive_Review
446580,Hotel de France Wien, The shallow steps down to the lobby area were a little tricky , The ambience of the hotel The good hygiene The ever helpful stall especially the front of house people at the reception The housekeepers were very efficient and cheerful as they went about the essential work that they do 
446581,Hotel de France Wien, Don t believe these nice pictures of the rooms the rooms do need cosmetic repair Too old windows our shower hose had several leaking holes also the showering protecting water glass was useless we had to put towels to keep our bathroom floor dry Our room was said to be a non smoking room but the smell in it proved that sometimes some earlier guests before us had smoked there and therefor the air refreshing spray and the walls and curtains full with cigarette smoke now was a terribly smelly combination Also every day we found several long dark hair on the floor in our room and bathroom For such a high price the room comfort was 3 10 , Internet connection normal breakfast good location excellent 
446582,Hotel de France Wien, I would have expected more from a 5 star hotel especially at the price I paid The room was significantly small appliances were generally outdated I hadn t seen a CRT TV since quite some time The furniture finishing looked very strange and in general didn t seem to match the room style I don t know about the other rooms but mine had a window in the hotel s facade All I got to see is a bank on the other side of the road I d have closed an eye on this but Breakfast although varied only offered a mostly international selection of foods I couldn t spot anything Austrian Viennese All in all I m quite critical because I ve had better service in the past with cheaper 4 star hotels This one hotel didn t make it up to or exceed my expectations which is the point of a 5 star hotel , The hotel is in a good location like many others around it Multilingual and friendly staff is well appreciated WiFi connectivity was quite fast and almost without interruption 
446583,Hotel de France Wien,No Negative, If you want to get a special guest experience in the very heart of Vienne Hotel de France will be an excellent choice I ve spent several wonderful days while celebrating my birthday here The hotel made me a very pleasant present room upgrade to two level deluxe room with a balcony facing Vienne center and beautiful cathedrals Honestly speaking the cake I was presented was stunning covered with real chocolate and very unusual Every morning you could start with a very delicious breakfast in a cosy restaurant having windows facing ancient streets I did enjoy every single second that I ve spent in this wonderful place I d really like to express my sincere gratitute to Roxana from reception team who helped to make my stay really unforgettable and did her best to make me happy and provide me with a unique guest experience in this great hotel I would highly recommend this place for those who want something special on their memorable dates and want to see 5 service in action Also the location of the hotel is 100 convenient 1 minute from a central metro station and 10 minutes from St Stephen s Cathedral 
446584,Hotel de France Wien, The bar in the main lounge was closed for July and August , The location made it easy to explore the city on foot We were given a room upgrade because the hotel was fully booked Most of the staff were very friendly They gave me a delicious cake on my birthday The breakfast was very good with a wide selection of foods to choose from 
446585,Hotel de France Wien, Pillows could be more comfortable Room decoration was old which was not a big problem for us , Great location subway within 2 min walk Comfortable bed quiet room Spacious and clean bathroom Very nice breakfast Helpful staff who provided us city map upon checking in 
446586,Hotel de France Wien, N A, Kindness of the staff restaurant personnel gave me ice nightly for swollen bruised feet The concierge arranged for Delta wheelchair assistance and advised us on sites sights I could manage Front desk folks were helpful 
446587,Hotel de France Wien, The bathroom felt a bit old However it was spotlessly clean , Hotel easily accessible near metro station The city centre and other attractions around it are easily reachable Nice soundproofed rooms Very very good breakfast A la carte menu is a bit expensive for what is on offer Fair price 
446588,Hotel de France Wien,No Negative, The staff was helpful the room and facilities was amazing The breakfast oh my god Fabulous Close by the City Center through Metro line U2 Everything was amazing I definitely recommend it 
446589,Hotel de France Wien, Expensive but that goes with the close city location and nice standard of accommodation, Good buffet breakfast included close to Hop On Hop Off sightseeing bus good service
446590,Hotel de France Wien, Before 8am on my first morning at the hotel a male cleaner simply walked into my room without knocking I am female and had just finished getting dressed I asked the desk politely to ensure that he knocked in future Before 10am on my second morning the male cleaner simply walked into my room without knocking This time I was not so polite And according to the desk any problem was really all my fault as apparently I should have put a do not disturb sign on my door I don t usually do this before 10am in hotels In the event I was totally uncomfortable at that hotel I told the desk I would leave the sign on my door permanently as I did not want the cleaner coming into my room again at all So he did rather well he got away with not cleaning my room for 3 days and I made my own bed Hardly what one expects in an allegedly five star hotel Also the fridge didn t work so there was no hope of enjoying a nice cold bottle of water I didn t mention this to the desk until I left because I felt so unwelcome after their response to my experience with the cleaner One final point the minute you walk into the hotel they charge you for the full stay This is fairly unusual , Large room excellent breakfast 
446591,Hotel de France Wien, Pillows were almost flat even with an extra pillow there wasn t much height Floorboards creaked when you got in and out of bed Animals were allowed into breakfast room It would have been great for someone to show us around the premises and what was available on arrival , Room was spacious everything worked separate toilet attentive staff breakfast room and breakfast itself were the best we experienced Very handy to train tram buses and restaurants etc
446592,Hotel de France Wien, It would have been nice to have tea bags in our room though I acknowledge that that is a British taste rather than a European one , The breakfasts were out of this world You could have everything from a full English or a continental breakfast to sparkling wine and croissants Without exception the staff at the Hotel de France were cheerful welcoming and professional 
446593,Hotel de France Wien, The television is too small and outdated Few channels in Russian and English , The breakfast was very nice great location right next to the old city and public transportation Clean room and good service 
446594,Hotel de France Wien, No transportation ticket or Vienna Pass suggested at the front desk , The breakfast was amazing A little overpriced by itself but with the discount we got by pre booking it for the whole stay it was great 
446595,Hotel de France Wien, Decor in room a little shabby Over zealous maid knocking early on door but this was easily stopped by putting do not disturb sign up , Excellent breakfast Location great 
446596,Hotel de France Wien, The rooms are looking a little tired There was no milk for coffee in the room and it was not easy to get fresh milk , The rooms were spacious and comfortable It is in a good location for sightseeing and public transport 
