,Hotel_Name,Negative_Review,Positive_Review
496065,Hotel degli Arcimboldi, The Breakfast could offer more kind of bread whole bread rye turkey breast and cheese cream cheese cheddar For those who do not eat pork it is not cool to see 4 types of pork salami Also all cakes taste the same No honey and only one jam , We were really satisfied with our chosen Hotel Public Transport is not far away and gave us the opportunity to explore the City Clean and modern room The reception also offered us cheap tickets for the gym spa next door but we did not go 
496066,Hotel degli Arcimboldi,No Negative, very good experience Modern rooms clean nice people at the reception and in the bar breakfast area Very low rates close to the metropolitan 200 m 
496067,Hotel degli Arcimboldi, No electric kettles in the room hence no complimentary hot beverages Unfortunately came across a number of unfriendly receptionists Inconsistent professionalism and politeness Gestures made can often found be very rude almost felt like we were a burden to them This quality of service left a very bad impression and severely impacted our willingness to come back to this hotel therefore would not recommend friends and family to consider their stay here Considering it being a 4 star hotel and in comparison to other 4 star hotels services and facilities are not up to the standards Therefore another downside to this is the poor value of money Hotel lacked variety in dishes served for breakfast Limited vegetatrian vegan options , Satisfactory cleanliness Good location In walking distance to the nearest metro station 
496068,Hotel degli Arcimboldi, The breakfast was abit basic but for a quick bite before a day exploring the city it was fine , The hotel was modern and fresh and the staff were very helpful We preferred being slightly out of the main hustle and bustle of Milan and would recommend this place to other travellers We enjoyed having a few drinks in the bar in the evening but would have liked abit of background music This hotel was also close to the tube station under 10 min walk which was a perfect way to get in and out of the city 
496069,Hotel degli Arcimboldi, Room is quite small the window is blocked so there s not enough air be aware that 5 per person will be charged additionally to your booking travel tax wi fi was sometimes poor, Good location 150m to subway station friendly staff clear and new room free parking near the hotel if you manage to find a vacant place 
496070,Hotel degli Arcimboldi, There was no parking available at the hotel for some reason but should be as says my reservation we had to change our room because it was too small not remodeled The Personnel was very customer oriented and gave us a better option , Location hotel staff breakfast was ok 
496071,Hotel degli Arcimboldi, There are not many power plugs on the wall We were three but there are only two in our room , The building is modern and well maintained The room is kept very clean 
496072,Hotel degli Arcimboldi, Breakfast wasn t as I expected It was a medium to poor breakfast with not many options Bathroom could use a better clean and lot of 4 hotel things were missing like cotton buds small hygenic bags a sewing kit Under the minibar furniture there was a lot of dust , Good location near M5 Metro station Friendly staff 
496073,Hotel degli Arcimboldi, Breakfast so so juice from concentrate powdered eggs Blanket dirty, Clean white bed sheets Clean bathroom with some stains in corners though Free parking can be found near the hotel hotel s parking not free Metro station very close
496074,Hotel degli Arcimboldi, There was only one socket in the room too few The shower was such that the water would spill all over the bathroom floor , Breakfast was excellent The staff was friendly and professional The room was comfortable clean and modern 
496075,Hotel degli Arcimboldi,No Negative, Easy to arrive in center using M5 metro line wich is 260m away from hotel Nice stuff and good breakfast Also you have 2 shopping centers near by 400m away from hotel 
496076,Hotel degli Arcimboldi, Location is available only for people with car and who don t want to go to centre but only sleep Small breakfast , Very big modern designed and comfortable room with big bed 
496077,Hotel degli Arcimboldi,No Negative, The hotel was amazing Staying there was a pleasure Everything appeared to be exactly the same as in the photos on booking Rooms are modern and clean On breakfast you have a wide range of food Parking is worth the price 8 per hour I truly recommend
496078,Hotel degli Arcimboldi, Only details We would appreciate hard boiled or fried eggs and sausages for breakfast the warm meals range was quite small The towels were changed every day and every time there was one towel missing , The hotel is really modern and clean the staff was very kind and helpful The location is great too just a few minute walk from the Bignami metro station and also from two huge shopping centres one to the south one to the north where you can buy dinner and enjoy a drink or two Even though our room was right opposite the elevators there was not much noise coming from the hallway so nothing disturbed us during the night Great range of sweet stuff for breakfast three types of croissants and many cakes all of them delicious 
