,Hotel_Name,Negative_Review,Positive_Review
386209,INK Hotel Amsterdam MGallery by Sofitel, Not sure about the bathroom configuration , Very friendly staff great location loved the quirky interior lovely surprise of chocolate champagne in our Son s room for his 21st birthday 
386210,INK Hotel Amsterdam MGallery by Sofitel, It was all great , We were treated like royalty We arrived on my 73 birthday were upgraded to a suite and received excellent assistance in planning a side trip to the Canadian War Memorial in Groesbeek a key purpose for staying in Amsterdam after our river cruise 
386211,INK Hotel Amsterdam MGallery by Sofitel, Rooms are really small which is disappointing for the amount charged per night , Staff are simply fantastic Really helpful and very cheery Hotel was fantastically located and is a very interesting concept 
386212,INK Hotel Amsterdam MGallery by Sofitel, We booked a twin room and if I had any complaints I would say it was a bit on the small size but as we were only able to stay for one night it was adequate , All the hotel staff were extremely helpful friendly and whoever is doing the in house training is doing a great job we look forward to visiting again it is a very unique hotel In its previous life it was a printing press and the hotel decor reflects this 
386213,INK Hotel Amsterdam MGallery by Sofitel, 8 of us arrived early in the morning We were happy to wait around the corner in the lounge while people checked out but were not impressed when we found others lined up behind us had checked in before us On the plus side we were very grateful for the early check in and the extra we paid to not have to wait for one did give us a room we were very happy with Breakfast was a little costly we found a lovely cafe on a nearby corner that provided a tasty and healthy alternative Many cafes do not open for breakfast early one told us 11am , Really quirky hotel themed around its previous days as a printery Very handy location with lots of cafes and transport nearby Our room not at the front of the hotel was very quiet Loved it 
386214,INK Hotel Amsterdam MGallery by Sofitel, Would have preferred the all of the bathroom wash facilities to have been in another room although it was well presented Breakfast at 20 Euros day each was a little on the high side in my view, The hotel was in a good location with everything just a short walk away The trams stopped opposite the hotel which was very useful for discovery other parts of Amsterdam Bars and places to eat near the hotel Hotel was well presented with nice breakfast room and bar along with quite areas Good breakfast but a little pricey Staff were friendly and helpful Close to lively Dam Square and the fantastic canal areas Amsterdam is a great city and we will return
386215,INK Hotel Amsterdam MGallery by Sofitel, Being charged for two breakfasts when we hadn t had them This was rectified and refunded , The decor of the whole hotel was very modern and tasteful The layout of the bedroom was nice The bar staff in the evening were very informative and helpful and very good at making a Gin and Tonic 
386216,INK Hotel Amsterdam MGallery by Sofitel, There was one night that I was given unclean towels but the hotel was very quick to change apologize and give me a couple drinks on the house , Staff and location make this place They go out of their way to make you comfortable and answer your questions concerns And location is wonderful definitely a bit touristy but perfect for a first visit to Amsterdam 
386217,INK Hotel Amsterdam MGallery by Sofitel,No Negative, The hotel was unique new paper printer theme running through out from the wall paper to the restaurant to the employee s uniforms The employee s were super helpful and very pleasant to work with It was pretty much a flawless stay at a great place I marked them slightly off for price which was a bit high Given everything I would stay there again and recommend it to friends with no hesitation at all 
386218,INK Hotel Amsterdam MGallery by Sofitel, No complaints, Great spot just a ten minute walk from Centraal Station The staff was very friendly and helpful We arrived early after a long trip and they were kind enough to let us into our room early That turned the day around for us There is a tram stop about 100 meters from the front door and across the street an alley takes you to any number of shops and restaurants 
386219,INK Hotel Amsterdam MGallery by Sofitel, Not enough wardrobe and drawer space Rain shower head Prefer normal shower , Great breakfast and dinner Staff wonderful any questions were answered with a smile Nothing was too much trouble for them Great position Clean and mordern 
386220,INK Hotel Amsterdam MGallery by Sofitel, Breakfast could have been continental OR full ie continental only The food itself was very good quality but not everyone can eat a full breakfast and 20 is expensive for a continental breakfast , Breakfast snack pre dinner drinks and dinner were all fantastic best food so far in the Netherlands as a tourist
386221,INK Hotel Amsterdam MGallery by Sofitel, be careful when choosing clasic room they are different, delicious breakfast very good location helpful service stylish room with the plan of the Amsterdam on the wall
386222,INK Hotel Amsterdam MGallery by Sofitel, The sound of the mini bar fridge Otherwise the room was quiet , The room was designed with ingenuity very cleaver use of space Contemporary yet still having the character of a print factory Very comfy beds and great shower The staff are super friendly reception cleaners restaurant and bar staff Location could not be more convenient If you need to use public transport to get somewhere a bit quicker than walking there is a tram right outside 
386223,INK Hotel Amsterdam MGallery by Sofitel, Way too pricey but it might also be the period of the year July We basically paid the same amount for 3 nights in this 4 star hotel in Amsterdam and a 5 star hotel in Rotterdam just before Locations are different though The room lacked in storage space too Parking is very expensive in the area 50 day but the hotel offers a 20 discount per day still too much for parking your car no but that s Amsterdam , We liked the design of the hotel and the room Especially the map drawing on the room wall A book by the same artist is provided in the room The general design of the hotel an old newspaper printing house is great Staff was very useful and welcoming Very big fridge OK location close to Jordaan and Red Light District 
386224,INK Hotel Amsterdam MGallery by Sofitel, We didn t take the option of breakfast on offer as it appeared a little overpriced for our liking , The location of this hotel was excellent close to Amsterdam central station Great to walk to bars and restaurants nearby We were celebrating our wedding and we had a beautiful room It was the perfect mini break after our wedding 
386225,INK Hotel Amsterdam MGallery by Sofitel, The hotel felt a bit expensive but I think all of Amsterdam is expensive so it was probably in keeping with local prices , The INK Hotel is in a fantastic location near the Nine Streets and The Jordaan both picturesque areas within a network of canals The hotel is comfortable clean and friendly 
