,Hotel_Name,Negative_Review,Positive_Review
425482,Ilunion Barcelona, There was a taxistrike when we were there As the plane of my girlfried had a delay she couldn t get to the hotel by metro I was already in the hotel and asked the guy in the lobby for help a driver or somtehing He wasnt very helpful , Very nice breakfast Perfect hotel to visit the beach and the marina as well as the poble nou with a lot of nice litte restaurants and bars 
425483,Ilunion Barcelona, The worst thing was the delay in check in They made us wait 2 hours after the regular check in time in order to have rooms tidy and ready Even after that the bathroom was dirty so we had to call the housekeeping team to help We thought the cleaning team is not enough per floor We used to return to the hotel late in the afternoon and the rooms were still not cleaned This is also the reason for late check in , We booked last minute and we were glad to find a good price and quiet good location We used taxi to get from a place to another Although metro station LLacuna was not very far just two blocks away Staff was friendly Breakfast is fine 
425484,Ilunion Barcelona, gym was average , Close to the beach and yhe staff we welcoming and spoke fluent english Rooms were nice and the local neighbourhood provided everything you needed 
425485,Ilunion Barcelona,No Negative, Good place close to the beach less people than on the Barcelonetta many good restaurants and fruit shops on Rambla de Poblenou quite close to underground few mins walk soft and clean white towels and bedsheets good wifi and enough sockets in rooms
425486,Ilunion Barcelona,No Negative, Very good location 6 minutes to the sea close to Rambla de Poblenou perfect for evening strolls or dinners Close to metro station llacuna and poblenou Rooms are big and comfortable Delicious breakfast all staff is extremely friendly prompt and hospitable Especially the receptioniat Noe she is extremely professional and gave us a very warm welcome 
425487,Ilunion Barcelona, The bathroom had serious mold between the tiles in the shower I asked to change rooms and had a look at another one witch was better but finally got a third one wit little visible mold However the rooms have a bad air conditioning from the bathroom so it is more than likely to get a room with mold in it , The hotel is in a great area close to the beach We loved the outside pool on the top floor 
425488,Ilunion Barcelona, The location was ok it s a bit far away from the city but still close to the metro Overall we liked it to get away and relax from the busy city, Rooftop pool was awesome the room was spacious comfortable and clean and for a really good price 
425489,Ilunion Barcelona, After midnight they wanted to charge more than booking com price for our friends and the guy at reception was very rude They do not change sheets even it was dirty They ask the whole amount at the check in , New building with clean rooms Seimming pool and gym Complimantary water 
425490,Ilunion Barcelona, There seemed to be some confusion on what we had booked Hotel blamed booking com and vice versa The hotel is very plain and doesn t have any character think British travelodge The breakfast was ok but certainly wasn t worth 14 euros each Food was greasy and pastries not fresh and took a while for anything to be replenished , Location of the hotel was good for what we wanted 
425491,Ilunion Barcelona, We booked a taxi the night before departing to take us to the hotel and it wasn t booked until we checked out Which meant the airport was a bit hectic , Room service was excellent and the reception staff we re outstanding 
425492,Ilunion Barcelona, The hotel was a little soulless but for a business hotel its fine The bedroom was a little tired and a little bit dusty , The bedroom was large and the bed was incredibly comfortable The bathroom was large and had plenty of room for all your things with a good shower The hotel is in a quiet neighbourhood close to a metro station and a short walk from the beach 
425493,Ilunion Barcelona, The AC is so strong when you get into the lobby is too much the difference from outside that really bother me , I went to this hotel many times and I really liked this time I went with my kids it was perfect the distance to the beach and I had many options to have lunch and dinner with them just few blocks from the hotel 
425494,Ilunion Barcelona, We had a broken chair the desk chair this happened on our 2nd night BUT I was able to complain in fluent Spanish to your Reception Staff that it was unacceptable etc a replacement chair was delivered to our room within 10 minutes definitely very impressive service , Overall all were ok very pleasant Keep up the good work 
