,Hotel_Name,Negative_Review,Positive_Review
358326,K K Hotel Maria Theresia, The mattress was uncomfortable because it was higher in the middle and lower at the sides of the bed , Clean room and bathroom nice breakfast and friendly staff 
358327,K K Hotel Maria Theresia,No Negative, Excellent hotel in a great location for all that wonderful Vienna has to offer Value for money Would definitely return on our next visit Lots of great restaurants nearby 
358328,K K Hotel Maria Theresia, The classic rooms are quite small for a 4 star hotel The pillows were very flat you need at least 2 to sleep with Mini bar stock was limited Overall the hotel felt quite standard nothing special , Good location large and comfortable bed Rooms were clean 
358329,K K Hotel Maria Theresia, Nothing , Very clean excellent breakfast plenty of choice very helpful staff The situation was ideal Easy walking distance to the centre of Vienna public transport airport shuttle and a wide selection of bars and restaurants just around the corner
358330,K K Hotel Maria Theresia,No Negative, very good location nice quarters close to the city center but without the tourist stress Very convenient parking garage but also very expensive 25 Euros per night in my country you get a decent hotel room for that money 
358331,K K Hotel Maria Theresia, Nothing , We were given a room on the 6th floor with sensational views of the city and museum quarter Room was very clean and bed very comfortable Great location in a wonderful city 
358332,K K Hotel Maria Theresia, There was a lovely restaurant which was only used for breakfast The only other food available was from the bar It was however excellent but the lack of a restaurant appeared to cause a little confusion with some of the other guests , The air conditioning in the room was perfect The beds were very comfortable 
358333,K K Hotel Maria Theresia, Wifi was slow and highly unstable To connect to this you ll also need to fill an on screen form with your details which is absolutely not user friendly on a phone screen And why would they need these details anyway They got the same data on record when checking me in so why punish me for connecting to the wifi by making me fill that form Moreover lack of wifi data encryption anybody across the street can sniff your passwords , Great location nice and friendly staff clean rooms decent gym
358334,K K Hotel Maria Theresia,No Negative, The staff were very helpful in answering queries about places to see and directions etc but what really surprised me was that they located my phone charger and universal adapter that I left in the room and sent it by post to my home That s going the extra mile and I would most definitely stay there again for that kind of support and consideration towards guests 
358335,K K Hotel Maria Theresia, Nothing, Excellent location it is very close to the shops restaurants and you can easily walk to the city center the room was clean and comfortable 
358336,K K Hotel Maria Theresia, Shower temperature fluctuated quite a lot which was uncomfortable WIFI was bad The connection was unreliable and it was weak when you got some connection Big room for improvement , The bed was extra comfy Check was efficient and quick 
358337,K K Hotel Maria Theresia, No negatives from my point of view , We had an executive room plenty of space and very comfortable bed Plenty of bars and restaurants within easy walking Location good for exploring Vienna on foot and also for accessing local transport infrastructure 
358338,K K Hotel Maria Theresia, Can t find anything to pick on really , The breakfast buffet was generous and well presented Staff were helpful and efficient The printing service in the lobby was a helpful bonus 
358339,K K Hotel Maria Theresia, At the level I was paying for I expected a bit more I was particularly surprised that there was no consistent wifi in the room sometimes none at all I was on a higher floor so I presume just my bad luck to be far away from wherever the signal is dispensed from But this is the first hotel in a long while that I ve had that issue and it is inconvenient There was an electric kettle to boil water but no instant coffee or tea or other amenities offered , The staff were always very professional and nice at the desk so too the cleaning staff The room was quiet nice amount of space with a little seating area The location is good and easy to walk around directly to the museum quartier 
