,Hotel_Name,Negative_Review,Positive_Review
401184,K K Hotel Picasso, Smoking allowed on the roof top area, Central location walking distance to parks beach Arc de triumph Las ramblas Plenty of restaurants around the area good rooftop bar with entertainment some nights 
401185,K K Hotel Picasso, Breakfast buffet had a good assortment of foods but virtually the same assortment each day , Well appointed room Comfortable bed Quiet location near the old city An easy walk to many museums shops and restaurants Friendly staff A wonderful rooftop bar and pool 
401186,K K Hotel Picasso,No Negative, Fabulous hotel with great location facilities and staff Breakfast which was included was amazing selection and fabulous food Pool area on the roof was great to relax in the afternoon after exploring the wonderful sights of Barcelona 
401187,K K Hotel Picasso, 1 Cannot get a glass of water at pool deck or bring beverage there Diet Coke Need to have ice water there Should not always have to buy it 2 Laundry sheet said SAME DAY service if in by 9 AM Brought my laundry down before 9 AM and was told wouldn t be back until next morning Since we had an early flight this would not work They said could do express for additional 50 of cost Unbelievable Already VERY expensive to do laundry Should not state same day service if cannot deliver or eliminate express charges it can t deliver before midnight of same day 3 Only One Key per room very inconvenient if can t locate spouse after going out have to have desk staff let you into your room need to change this 4 Pool deck food service very slow took over 20 minutes to get order 5 Had early flight and needed to leave before breakfast started no arrangement for getting bag breakfast or even a cup of coffee We re told we could buy something from 24 hr snack shop This is unacceptable as breakfast was included in our price, Location cleanliness of room bath staff overall friendly Front desk staff assisted us in securing our airport shuttle which we had to change Day and time Breakfast was pretty good 
401188,K K Hotel Picasso, The pool area crowded no room to sit no ambience Happy hour advertised as 1 2 price means 2 drinks for regular price , It was quiet in the old town close to the railway a day trip to Sitges worth it 
401189,K K Hotel Picasso, My problem with the place is this a we only rented this for the pool So for three nights 1 night the pool was closed because of a very very loud DJ party It was techno music so was extremely loud shutting windows and doors doesn t work the heavy bass just beats through This went on until 11 I didn t care so much about the noise but I cared about not using the pool During the day we are out touring the city so coming back and night looking forward to a dip in the pool was denied Not happy at all particularly for how much we paid and that we had several children that were disappointed Also a few of the bartenders were really absent minded like severely A few times we were the only ones ordering Like 3 drinks and 2 were forgotten Or the one time I ordered a glass of wine while waiting 15 minutes Then I just give up and leave And I was the only one at the bar It was all done with a smile of course Other simply strange stuff was the fact our room was never cleaned until like 5 pm on the 3rd and last day of our stay Or after we checked in a worker came in to check the mini bar She didn t ask she just came right in I was half dressed My wife was in the bathroom and she went in there too She was very nice attractive young lady who was in no way disrespectful but she was just doing her job They didn t clean the rooms but made sure to check the mini bar religiously every day Also we got in early and asked ahead of time for early check in I was told that the cleaner singular not plural does not arrive until noon therefore they will check us in after she cleans each room so of our 3 rooms we had staggered check ins Kind of strange and not very easy If you are a hotel that has guests coming in from overnight flights perhaps you should have your cleaner s come in earlier , I liked the quirkiness of a small boutique hotel Every single one of staff is very very friendly and several that are very very hard working Some worked harder than others of course One guy was the doorman the luggage guy the pool guy and when he wasn t busy doing that he was polishing windows sweeping etc All with a smile on his face In a black tie no less in the hot sun The rooftop bar pool was great Rooms were clean upon arrival and the hotel was very well located central to everything 
401190,K K Hotel Picasso, We didn t use the swimming pool it looked quite small but located on the roof so may be ok We went to the sea anyway , The hotel is well located 15 mins walk to the beach and very close to the old city The terrace is a nice place to take a drink 
401191,K K Hotel Picasso, Wifi was a bit flakey Room was a bit small and overpriced for its position at the back of the hotel with no view, Staff were very good Air con in room was very good Shower was very good Roof terrace was nice Beds were comfortable
401192,K K Hotel Picasso, Breakfast was poor in comparison to what is available locally and very expensive for what it is , The location was very good central but quiet whereas many central hotels are noisy traffic and the tube can both be issues the tube seems to be at a very shallow depth 
401193,K K Hotel Picasso, As in other big cities lots of homeless people sleeping close to the hotel , It is perfect for tourism Clean tidy organized well use of space Good breakfast Small rooms but good for the cost Everything you need to see is very close Public transportation excelent Helpful staff The pool at theroof top is tiny but cocktails are great Overall very good experience 
401194,K K Hotel Picasso,No Negative, The property was quite clean modern and had excellent amenities The breakfast had nice variety and excellent quality The staff were superb knowledgeable and courteous Would definitely stay here again 
