,Hotel_Name,Negative_Review,Positive_Review
429239,K West Hotel Spa, The fish cake from the room service menu made me Ill not only ruined my stay at the hotel but ruined my entire weekend i was sick all weekend and although the hotel said they would investigate what happened with the food they haven t got in touch with me Also I had to check out 3 hours late due to feeling so tired and throwing up all morning And I still was expected to pay for the late check out which I didn t mind so much but it just made the checking out process take even longer I wish I never booked Worst experience at a spa to leave sick stressed and upset Disgusted with management for no follow up call or email Before the bad room service food I was actually planning on returning again with a lot more prebooked treatments now I am just upset that one night which was meant to be something for me to destress had ruined my weekend off , Just so disappointed 
429240,K West Hotel Spa, The pillows one each ask for extra but very poor quality pillows And I thought the price of the valet parking was extortionate Especially as they brought the wrong car back up , Service good
429241,K West Hotel Spa, It would have been a perfect stay if the spa was open a bit later however we were offered half price on these facilities as we arrived at around 8pm, The rooms were very large and had its own kitchen Fantastic and comfy stay here will definitely stay again next time in London 
429242,K West Hotel Spa, The fact that I couldn t sleep The spa was over priced 20 to enter just spa It is advertised as k west hotel and spa if you stay you should be able to use the spa complimentary The hotel staff are in need of real robust training in customer handling and first aid Very appalled at the outcome of this situation , Fire alarms went off in 3 seperate occasions 6 45am 7am 7 15am Hotel staff walked into the room without knocking or alerting us while entering or entered No first aid qualified person on site as I had an incident and they could offer nothing and did nothing to help either Absolutely disgusted by management and staff for the way things were handled Hope they fix these issues The manager Allysia told me they couldn t offer any compensation due to the fire alarm waking me up at 6 45 am 3 times Absolutely pathetic 
429243,K West Hotel Spa, The breakfast was overpriced for what it was and the staff seemed keen to take our plates even though we hadn t finished The eggs were not cooked properly The bar staff seem very in experienced and I had to point out what vodka was , The staff were fantastic all friendly and professional The room was lovely and the air con worked well I loved the library room The door man was great 
429244,K West Hotel Spa, The first room wasn t ready on arrival but we had a complimentary drink at the bar with friendly bar service which made up for the short wait Access to TV movies music didn t work in the first room so we were given another room same size Would prefer to have pay for view movies for a set time and to be able to access several movies if I want in that time as opposed to paying for each movie individually and inserting credit card details in each time would rather pay with the bill at the end of my stay The second room had damp carpet near the bed they must have had it spot cleaned however it dried after a few hours , The hotel location is excellent minutes away from station Westfield shops movies and restaurants Staff are friendly helpful efficient We booked a room with a double bed but there were 2 single beds in the room we couldn t access the TV movies music so in the end we were given another room the same size with a bed that looked larger than a kingsize really nice Dj music was cool I requested a late checkout after midday GBP 10 each hour until 4pm its good to have a choice 
429245,K West Hotel Spa, Our room was not cleaned or made up in spite of being out from 0900 until 16700 which was very disappointing Stayed a number of times before but I doubt we will do it again ,No Positive
429246,K West Hotel Spa, The customer service wasn t what I had expected Having paid 30 for two breakfasts the quality of the food that we were served was poor and took an extremely long time Despite complaining several times it didn t seem to have an affect and I eventually received a refund as a result of our dissatisfaction , The Spa was excellently kept and perfect for couples who wish to stay here It s in a great location as you are two minutes within an underground station and therefore next door to Central London I would recommend this as a place for couples to go to as we certainly enjoyed our stay 
429247,K West Hotel Spa, Hotel had a lovely spa would have been nice if you could have use this without an additional charge , Great location close to underground Staff very helpful were upgraded to an executive room was very nice lovely super king bed robes and slippers in bathroom large tv and sofa in room breakfast was good and plenty to chose from would defiantly stay here again 
429248,K West Hotel Spa,No Negative, Thr room and hotel decor was tired and a bit scruffy the room had a kitchen area no sink but the fridge didn t close and it clearly wasn t for use The bathroom was old fashioned byt clean and usable the bed was very comfortable windows in the room didn t open so as it was v hot we had to use the air con which was fine but the room did smell musty or perhaps a previous guest had smoked in the room Overall it was ok but we have stayed at other hotels in the area with similar facilities and felt more comfortable
429249,K West Hotel Spa, Smell on the 2nd floor , The food was excellent and the wait staff on 4th floor very friendly and helpful The bed was a little hard and the pillows were definitely hard There was a pretty bad smell on the 2nd floor were we stayed and that should be fixed 
429250,K West Hotel Spa, Room was surface clean ice bucket had pink mold bathroom drain didn t work but arrived too late back in evening to this discovery to have it sorted Room next door had a huge domestic 0400 friends had similar issue on nights earlier in the week Overall hotel staff are amazing however getting a full nights sleep shouldn t be on your priority list of things to have from this hotel Linens were also substandard for a 4 start hotel , Staff was friendly space to sit while sorting baggage after collection from bag storage was handy Near over underground as well as train station However keep in mind it s a fair journey into central London Stay more central if that s your focus of your journey 
