,Hotel_Name,Negative_Review,Positive_Review
493027,Klima Hotel Milano Fiere, Location was a bit away from everything and would have been a big issue without the shuttle service, Nice spacious room and excellent breakfast Shuttle service to and from the train station 
493028,Klima Hotel Milano Fiere, 8 euros for a pint of heineken in the bar is over the top, the hotel is out of town but the hotel offer a free bus to the nearest railway station where you can get into town for 6 euros the rooms are modern and comfortable
493029,Klima Hotel Milano Fiere, The location and area of the hotel However the hotel provided a shuttle service for free to from a station not far away from milan center conveniently , The staff were really friendly Breakfast was good and rich We had two double bed rooms which were big clean and comfortable 
493030,Klima Hotel Milano Fiere, They charged my credit card afterwards without my consent I read comments about this before now I know they really do it , They let you go without explanation and once you are gone they charge your credit card 
493031,Klima Hotel Milano Fiere, Air conditioning not working No ceramic cups for tea No milk provided for tea Reception staff aloof with superior attitude, shuttle bus to train station
493032,Klima Hotel Milano Fiere, Air conditioning was kind of noisy could not put it down but maybe it was only in my room It wasn t too noisy though Roads around hotel changed recently which makes it a bit more difficult to reach with older navigation Google maps is up to date though , Great modern hotel close to ring road and easy to reach by car Nice quiet rooms spacious and easy parking in private parking 
493033,Klima Hotel Milano Fiere, At the Recption on arrival one of the Lady was not accommodating Dinner was very experience for the quality which was served , Cleanliness Personal Price
493034,Klima Hotel Milano Fiere, Little bit is the abandoned place between Malpensa airport and Milano Good only if you hire the car , Good service and best price value rate on this comfort level Who planed to see Milano and Como lake it is a perfect choice 
493035,Klima Hotel Milano Fiere, Location is in industrial areas You can take a taxi to downtown at the cost of 20 30 dollar and 30 minutes Yet adding the travel expense the price is still nice as a hotel , Price is very good Room is clean and new We can see the Swiss montains and amazing sunset Staff is very nice and professional 
493036,Klima Hotel Milano Fiere, I have to pay 10 euro for a 10 hours parking place Nobody told me it was free to park in front of the hotel When I told it to the staff they only friendly smiling to me This was the only thing I didn t like the rest was fantastic , The staff at the restaurant are very friendly 
493037,Klima Hotel Milano Fiere, Location is close to nothing in industrial area costs 25 Euros one way for taxi to Milan Central Hotel seems more suited for business guests There is a mini bar but the drinks are not cold if you want a cold drink you have to go to bar Not sure why mini bar is in room useless We were told its to keep the drinks fresh they might as well sit on the bench , Lovely hotel room spotlessly clean very spacious and comfortable hotel feels brand new The hotel offers you a free shuttle to a station called Milano Certosa good if you can work out the train rail Metro system 
493038,Klima Hotel Milano Fiere, Bar staff not restaurant staff was unprofessional we were sitting in lounge and nobody served us We had to ordered on the bar straight away we didn t feel comfortable Another customers left because of the same reason , Reception employees were willing and kind
493039,Klima Hotel Milano Fiere, The breakfast selection is incomplete Almost there are sweet things It s not a good idea to bring coffee from the bar because there is too much waiting time , The staff were very nice and attentive We asked for it to be on our upper floor which was done immediately The bed was very comfortable and the bathroom was large 
493040,Klima Hotel Milano Fiere, The hotel was very far from the center of Milan given that we are tourists we got lost on our way to the hotel The staff were not helpful not friendly at all , The hotel was neat and clean it has good facilities
493041,Klima Hotel Milano Fiere, The area is a bit hidden hard to reach without a car hotel offer a shuttle service though In the street right after the corner there had been car break ins during our stay so I d recommend to ask to park inside , All the staff reception in particular bar restaurant was cheerful kind and helpful Breakfast is incredible all you can ask for 
493042,Klima Hotel Milano Fiere, The breakfast room cleaning the plates etc in the center of the room was very very noisy knives and forks clanging you could hardly hear yourself speak, Super big comfy bed nice rooms and clean bathroom great shuttle to station
493043,Klima Hotel Milano Fiere, It needs a touch The restaurant is not a big deal or espectacular regular to bad I ordered pasta but they served noodles like pasta fruiti de mare disgusting , Good hotel for short stop
493044,Klima Hotel Milano Fiere, Due to the position the signals to meet the hotel could be improved The soft green approach name electric car station charging bath products spa gym the green facade doesn t sound good with the impressive and sumptuous hall,No Positive
493045,Klima Hotel Milano Fiere, In the middle of nowhere not very pleasant to drive in the area late night Parking was full and I parked in front of hotel found my car scratched the whole left driver side in the morning , Clean and big rooms comfortable bed
493046,Klima Hotel Milano Fiere, Bar closes at 23 00 on a Friday night with nothing else anywhere close to the hotel everywhere a 20 minute cab journey away Also all the cabs we took from the hotel were twice as expensive as apposed to our return journey breakfast definayely worth skipping can t even say average at best however that said I can highly recommend afternoon tea gorgeous cakes , Lovely hotel rooms great
493047,Klima Hotel Milano Fiere, I travel a lot especially in Italy and I never seen before such a rude and arrogant staff The worst service ever The lunch was horrible and the dinner regarding the food was good but the service the same , Comfort and clean it is a shame that such a beautiful comfort and clean hotel to have such a rude and unprofessional staff 
493048,Klima Hotel Milano Fiere, Isolated position with nothing around everything even the shuttle service shuts down at 11 PM sharp which is too early if you plan to go for dinner in Milan City, huge rooms pristine conditions very helpful concierge very useful shuttle service designed for business trips
493049,Klima Hotel Milano Fiere, 1 Hour of wellness is subject of hight charge even for hotel guests Lot of crimes around hotel many cars got broken glass poor conditions and overpriced hotel 3 stars will be closer than 4,No Positive
493050,Klima Hotel Milano Fiere, Hotel very remote in an industrial area I would not recommend the restaurant expensive food not fresh , Staffvery friendly comfortable bed bus service to the closest metro station 
493051,Klima Hotel Milano Fiere, Your located too far central Milan We had to take a cab everyday in and out and it cost a good deal of money We attempted the train but there wasn t anyone to explain what to do on the train and we ended up in San Giovanni Even more money to get back to Klima , Bed was nice and comfy rooms spacious and clean bathrooms large and spacious The breakfast was very good the people at the front desk helpful 
