,Hotel_Name,Negative_Review,Positive_Review
255024,La Clef Tour Eiffel, The room had a washing machine but the hotel wasn t able to provide a rack to dry clothes we either needed to use a tumble dryer not suitable for all clothes or try to find room to hang up clothes around the room Staff were not the most friendly typically Parisian but were able to get things done when requested , Rooms in very good condition and a nice size for Paris especially good for families with small children Convenient to have a washing machine in the room and the sofa bed was surprisingly comfortable Also useful to have a kitchen to prepare breakfast and basic meals had a few microwave meals from restaurant Monoprix supermarket convenience store down the street Good location in a nice area minutes away from the Eiffel Tower It was convenient to have access to a computer and printer for guests in order to print pre boked museum tickets boarding passes etc 
255025,La Clef Tour Eiffel, All perfect, The hotel was in a great location and very nice rooms and facilities The highlight for us however was the friendly staff I would like to say particular thanks to the young lady working in the Hexagon bar sorry we didn t get her name she was so helpful and kind on both evenings she even lent my daughter in law her own scarf when she was getting cold outside and we we very impressed when she warned us about a particular taxi driver that appeared to be unfit to drive when he arrived to pick us up Very special weekend made even better by the amazing staff we will return Many thanks from Mike Suzanne
255026,La Clef Tour Eiffel, We need to fill forms for everyone who stays in the property Hotel can auto fill this information from booking but not sure why they ask as to complete the form They also mention that booking com name should match the name in passport If your using a nick name in booking make sure your correct it or you will loose your money That s what I was told , Large Room Close to Eiffel Tower walkable distance gerocery restaurants ATM are steps away Beautifully decorated lobby awesome wifi connection
255027,La Clef Tour Eiffel,No Negative, The front staff is simply amazing They speak fluent english and will attend all your request There is complimentary afternoon tea Served from 3 5pm everyday for hotel patrons They served great coffee and parisien pastries The locations is just perfect 5 minutes of walk from trocadero metro station Not far from thenplace where you can see the Eiffel Tower 
255028,La Clef Tour Eiffel, There seems to be a design flaw with the glass partition in the bathroom that is supposed to prevent water from splashing to the floor Even moving the shower head away from the center and trying to not spill didn t help It s a minor issue that shouldn t deter anyone from staying here , Great place fantastic location friendly service clean room and interior Convenient access to Trocad ro Metro station grocery stores and French bakery in walking distance 
255029,La Clef Tour Eiffel, N a, I lost my wallet in the taxi as I arrived Staff were exceptionally attentive concierge showed me the closest taxi rank in case they were there before calling the taxi company to request on my behalf Very nice of staff to help me as much as they did Thank you The hotel itself is beautiful outside and I don t think the photos do it justice Hotel was impeccably clean and relaxing Room was spacious clean and very comfortable Location wise it is in a beautiful up market area close to all monuments Highly recommend
255030,La Clef Tour Eiffel, Not ambient few in room dining choices pricy in comparison to the overall experience, Location comfortable bed good TV channels surrounded by facilities
255031,La Clef Tour Eiffel, It is a bit far from the vibey area of Les Marais , This hotel is in the quieter area near Torcadero It has a well equipped gym honesty bar at the reception breakfast facilities and complementary cake and tea in the afternoon It has a restaurant which we unfortunately did not try It is walking distance from Arc de Triomphe 
255032,La Clef Tour Eiffel, The still water wasn t refreshed but we just bought some anyway from the shop next door Not a big problem , Everything Very comfortable bed i m 6ft7 room and hotel Loved the design and style of the hotel and staff were very friendly 
255033,La Clef Tour Eiffel, Breakfast was too expensive and wish the room s window was facing the street instead of a courtyard As would have liked a view of the city , Great location and large quiet and comfortable room Enjoyed the Nespresso machine in the room 
255034,La Clef Tour Eiffel, Nothing, Location is 5 min walk to tour eiffel and 10 min to the arc du triumph The room size is excellent with a big bathroom Special thanks to Marounne and Clarisse for their fantastic help
255035,La Clef Tour Eiffel, Nothing, The room is very spacious and it has all the facilities needed for travelers Bed are very comfortable and the bathroom is very spacious Staff are very welcoming and got upgraded instantly once they knew it was my honeymoon trip 
255036,La Clef Tour Eiffel, , Great communication between the hotel and me after the booking was confirmed They made it possible to get the room a couple of hours earlier on the arrival day I have to say since 10 years I travel to downtown Paris in the 16th arr And the Le Clef has the most kindest staff I ever head The rooms are modern and very large Perfectly located just a few steps away from the Trocadero so it is possible to have the great view to the Eiffel Tower in the morning and especially at the evening Thank you to the residence manager Anita Steinmann for having such a great friendly crew We will come back to Le Clef next time again 
255037,La Clef Tour Eiffel, Nothing , Excellent team at reception especially Mdm Clarisse and Mr Marwan Every one at reception doing his best to help you and make you comfortable Rooms are spacious and comfortable Excellent location 
255038,La Clef Tour Eiffel, The shower , Beautiful decor in room Comfy bed Nice and clean Friendly staff Great to have free washing machine and dryer to use on hand 
255039,La Clef Tour Eiffel, view is not very interesting from standard rooms but taking into account all the positive things of this hotel you will not pay attention to this view, Wonderful breakfasts great rooms amazing hammam and gym the location is perfect Hotel empoyees are very nice helpful Thank you 
255040,La Clef Tour Eiffel,No Negative, Very good staff Thank them for everything The location of hotel is great U can walk to champ lys e or tour de Effie Beautiful Also i had a free upgrade to a great room 
255041,La Clef Tour Eiffel, 1 There was a continuous big engine noise heating and vibration that could be felt in the room 2 Very low water flow in the shower and bathtub 3 r ception staff globally distant and uninterested in the clients 4 I had to complain to have my room made in the morning First day it was done at 3pm whereas I had left the make my room sign on the door knob at 8am 5 Cold atmosphere in general, The location is very convenient The room are big clean and luminous Lounge rooms are spacious and can usefully be employed for small meetings
255042,La Clef Tour Eiffel, If the price can be more valuable that would be excellent , Very good hotel and very satisfied staying in it location is great can go to visit Eiffel Tower anytime very comfortable rooms facilities very clean bathrooms and very friendly and helpful staff
255043,La Clef Tour Eiffel, Nothing, Great location to access anywhere in Paris Warm welcome from the reception staffs Fantastic breakfast tea time coffee service around the clock 
255044,La Clef Tour Eiffel, I wasn t happy about the cleaning The cups in the room were dirty and have lipstick traces , Amazing Location friendly and helpful staff Nearby a supermarket and metro station 
255045,La Clef Tour Eiffel, Breakfast seemed a little pricey for bread and yogurt but seemed to be on par with the local restaurants, The staff were all amazing and very helpful The perfect location being walking distance to the Eiffel Tower and the arc de triumph Clean friendly and very accomodating would definitely come back to this hotel 
255046,La Clef Tour Eiffel, Lack of power sockets next to bed a real issue for the digitally connected Sound from corridor much less soundproofed than I expected You can hear bags rustle Otherwise a marvellous hotel , Loved the spacious room bathroom internal decor in rooms and in spacious common areas Location adjacent to key sights and CiteChaillot architecture museum was great Trocadero metro within 100 metres so hotel accessible to anywhere in Paris Loved the bed one of the best Wide range of TV channels was terrific Great range of L Occitane accessories much appreciated Staff really nice really friendly 
255047,La Clef Tour Eiffel,No Negative, The staff was excellent very helpful and sweet The rooms were fantastic Location could not have been better and the entire building was beautiful For the price this property is a steal 
