,Hotel_Name,Negative_Review,Positive_Review
90029,La Villa Royale, only one thing very poor internet conection, I ve been upgraded to luxury room with whirpool there s no number of the room but each room has own name my room was Yves Saint Laurent My room was in the fifth floor with view to Sacre coeur really beautiful So beautiful room like on old castle so romantic Very friendly staff good breakfast The best location metro station is in the front of the hotel 
90030,La Villa Royale, Not the area for anyone with walking difficulties , Good location for Montmartre Plenty of places to eat and drink at reasonable prices Hotel close to metro line Staff are really helpful and pleasant 
90031,La Villa Royale, The one downside was that the shower lacked a proper shower curtain This made it a challenge to comfortably shower without soaking the whole bathroom , The location was great and the rooms were very comfortable This was couple with very helpful attentive staff 
90032,La Villa Royale, The location is incredibly noisy I really struggled to sleep even with a pillow over my head between the general traffic sirens and party goers falling out of the local nightclubs pretty much from 2 to 5am each night Turning right out of the hotel is quite nice Turn left however and you run a rather terrifying gauntlet of sex clubs sex shops pimps and drug dealers that is not very comfortable , The hotel itself is lovely clean comfortable and with wonderful character Inside the hotel it is also very quiet 
90033,La Villa Royale, Some of the staff was nice others on the other hand were not so eager to help Breakfast was ok but lack of variation from one day to the other and components A bit too expensive for where it is located and what they offer , the rooms were nice clean spacious The beds were confortable 
90034,La Villa Royale, Far too noisy could hear the couple next door early hours and nightclub opposite Bottle bank outside seems to be used 24 hours per day , Design of bedroom and reception
90035,La Villa Royale,No Negative, We loved our stay here and felt that it was in a great location with lots of restaurant and bars nearby It was also extremely close to the metro which was fantastic 
90036,La Villa Royale, Room was a tad small wanted to upgrade so viewed a superior room of which the bath tub had red stains in the bath looked like blood Not worth an extra 40 per night , The staff were excellent really helpful and kind to us
90037,La Villa Royale, Unfortunately even in the winter this area of town has a lot of nightlife which we could hear But we were so tired from touristing all day that we slept anyways , Breakfast was good We loved being right next to the Metro 
90038,La Villa Royale, The wardrobe was very small and access to it was a little difficult and the full length mirror was directed to the inside , The hotel is in an excellent position for walking to the Moulin Rouge and close to the metro and bus The breakfast was of very good quality and much better value than going to a caf A good start to the day We were on the second floor on a corner and the view at night was exciting 
90039,La Villa Royale, I don t have any complaints , The room was very much to my taste Super sexy but romantic at the same time The neighbourhood is not as bad as they say It s the world famous red light district of Paris but I had no problem and I never felt unsafe even though I walked around at night for a long time And it s really close to Montmartre But most importantly it s a very romantic and sexy place to go as a couple But it s not sleezy at all Staff and the style of the hotel is cool clean and mature There s just a lot of red and it easily gets you in the mood 
90040,La Villa Royale, Was excellent , Exquisite yet bohemian design to rooms Spacious spa tub Perfect location for night and day life that is not centered on traditional spots Just a short walk to Montmarte and the Siene Lovely staff providing 24 hour service Great 24 hour bakery across the circle from the hotel Very efficient checkin checkout 
90041,La Villa Royale, The curtains could have done with being darker very bright in the morning but that s it , We had the blue room complete with stars Very kitsch and fun the staff are lovely there and we love the Monmatre area Free wifi too Yes there are sex shops nearby but we have always felt safe and its so convenient for the sights too 
90042,La Villa Royale, Don t know what this type of hotel is doing on Booking com , The staff is very helpful Location is good Fairly clean but too bad for the ugly stained bathtub 
90043,La Villa Royale, Immediate area is full of sex shops and some dubious characters in the street This is red light district of Paris , Location next to 2 lines of metro station Pigalle Rich deep colours in the room Comfortable Helpful staff 
90044,La Villa Royale, Staff rather formal Blinds did not block street lights from the room Polyester duvet made you clammy during the night , Large bath very Parisenne quirky decor convenient location good value Interesting lift decoration 
90045,La Villa Royale, It has been over 2 weeks since I ve stayed at this hotel and I have still not got my deposit back despite contacting the staff about it Staff were unhelpful , Close to moulin rouge sistene chapel and hop on hop off bus
90046,La Villa Royale, This hotel has seen better days The location is red light district borderline and not a place we would normally choose , We had to be in that area to meet friends for a day and this hotel just passed our norms Parking a few blocks away at a reasonable price but you need to leave your car key behind 
90047,La Villa Royale, I did not quite realise the location was in the red light area but when a day later after I booked in March I tried to change I was refused my fault for not realising booking Com regs but 3 months in advance after only 1 day booked I felt unfair Parking was 93 for 2 nights so beware The rooms were set as a madames boudoir and a little on the shabby side Fortunately my 3 sons aged 21 14 saw the funny side Beds comfortable enough and rooms cool Staff English speaking and friendly , The quirkiness of the place
90048,La Villa Royale, Having to pay 50 deposit as well as full balance on arrival I had not anticipated or budgeted for the 50 and when I checked out I was told it could take up to 10 days to be be refunded to my account , The boutique decor was beautiful and I was overwhelmed so much better than I expected 
90049,La Villa Royale, The furniture was old and outdated Wall papers curtains carpets were too goddy Air conditioning was bad and wifi did not work inside room Hotel needs complete refurbishing and uplift , Location of the hotel and its room size were okay 
90050,La Villa Royale,No Negative, Beautiful tiny romantic room overlooking Pigalle The bathroom and bedroom had huge windows that opened out onto the square The building itself is beautiful and the staff were very friendly and helpful The area is extremely diverse and full of life at all hours Despite being on such a busy street and being a light sleeper I slept extremely well all six nights I highly recommend this place It was exactly like what I imagined a quaint hotel room in Paris should look like 
90051,La Villa Royale,No Negative, Beatiuful warm and relaxing ambience in this hotel Amazing staircase which I preffered to use over lift every day Unique decor in every room Mini bar Great room service With delicious food Interesting area Great spot for reaching every touristy location and to take in local everydays life Monmarte ideal for artisty kind with most amazing cathedral and buzzing atmosphere just few min walk away Be openminded because you are staying in Pigalle place for lots of sex shops and place where lots of sex selling business take place you will hear it through your window in the nights or mornings If all that buzz would not bother you this place is the perfect stay Loved it would stay again 
90052,La Villa Royale,No Negative, This hotel was like stepping back in time to the era of Toulouse Lautrec Fantastic d cor wonderful position at the heart of the Pigalle area a view of Sacre Coeur from our window spotlessly clean and helpful friendly efficient staff PERFECT 
90053,La Villa Royale, Due to the nature of the area there were one or two less savoury characters floating about It s also quite noisey at night we were woken up by voices on the street In the rooms the lamp shades were flimsy paper mache the edge of the desk was peeling breaking off and there were splatters on the material wall paper Probably nothing sinister I think it s quite difficult to clean material walls and is probably remembrance of a good night out I d say it s more of a 3 5 star hotel than 4 star to be honest The wifi could only connect if we sat on the corner of the bath Definitely wasn t available throughout the room , This hotel is super quirky and definitely plunges visitors into the sexier side of Paris Located in the red light district type place Pigalle it was quite fun to enjoy frivolous France The rooms are typically French with crazy pink walls and carpets we enjoyed the quirkiness of it It s literally 50 meters away from the Pigalle Metro which is fantastic as 2 lines meet there making travelling around the capital very easy The staff were also really amazing super helpful and they even upgraded us so that we had a jacuzzi bath for our honeymoon There is a fridge so you can store water or cooldrinks in your room if you need to they didn t have a problem with us bringing in snacks The airport shuttle was easy to organise and a fantastic service 
