,Hotel_Name,Negative_Review,Positive_Review
364767,Lancaster London, The bar fridge was connected to reception and if you moved anything of picked it up for more than 20 seconds it was charged on the bill and it mounted up to quite a lot of money and did take a fair while to have it sorted out on checkout and taken off the bill If you were in a hurry to check out this could be a problem Next time I will ask them to remove everything and just put my own drinks wine in it The hotel was still in the process of the renovations but they did not start work until 9am so it did not bother us , Our room had been renovated and redecorated and although the room was compact it was very well designed and laid out and had everything we needed The bathroom was great and the shower fantastic The bed and pillows were very comfortable We had a great view over London and Hyde Park was opposite The tube was right around the corner with great access for the bus as well A thoughtful bonus was a gift of guest of the day of an afternoon tea for two with a glass of champagne The afternoon tea was delicious with a great variety of teas I had never heard of a delightful experience I will definitely stay there next time I am in London 
364768,Lancaster London,No Negative, The hotel has undergone a full renovation of rooms and public areas My room which was an upgrade was tastefully furnished comfortable bed and good amenities 
364769,Lancaster London, There is current refurbishment taking place and the builders started a little early The hotel were very apologetic and upgraded us to a suite on the other side of the hotel for our second night which was amazing Cannot praise ALL the staff highly enough, The executive room was excellent Plenty of space and the bathroom was amazing with both a bath and large walk in shower The staff were fantastic and looked after everything making the stay both welcoming and relaxing 
364770,Lancaster London, Disappointed that breakfast was not included in price for weekend stay but plenty of good options close by , Very convenient location a few steps from tube station Lovely staff and comfortable room with every amenity and lovely view over Hyde Park 
364771,Lancaster London, There was nothing not to like , Great iconic hotel super clean staff and concierge extremely helpful they had a room available so we were able to book in early Refurbishment going on but didn t upset stay Really good all round 
364772,Lancaster London, The room was far to hot had to shower and leave the room as it was far to hot to sit and relax for a while the rest of the hotel was cool but room far to stuffy, It was a lovely clean hotel probably because of the refurb I could not fault them on the fact you could not tell a refurb was taking place 
364773,Lancaster London, The fridge door opening time without charging after 30 seconds is most inconvenient for those of us who need to refridgerate medications or even fresh milk It seemed a shame not to capitalize on enlarging the room size slightly during the alterations Friends are not entitled to a special rate if not booked directly with the hotel , The view the blinds the heated bathroom floor in particular and the refurbishment in general but most of all the friendly and obliging staff which was a noticeable and welcome change from previous visits Although not used the offer of a free afternoon tea was very nice 
364774,Lancaster London, Nothing , The location is absolutely perfect for sightseeing shopping and getting to the west end The staff are really lovely all of them we came in contact with helpful and courteous Our room was perfect bright and airy with great views This was our second visit and I think it will be our go to hotel in London 
364775,Lancaster London, We booked an airport transfer through the hotel cost ended up being nearly 20 pounds more than we were quoted by the hotel staff , Wonderful central location right across from Hyde park 
364776,Lancaster London, Somewhat a bit noisy with the refurbishment works outside however bearable if spending most of the time out visiting the surrounding areas , View cleanliness pleasant staff good evening meal proximity to the park comfortable room 
364777,Lancaster London, That breakfast had to be paid for as an extra it should have been included in the price , The view was excellent even though under renovation staff went out of their way to make my husbands birthday special 
364778,Lancaster London, I have stayed in one of the newly renovated rooms There is NO ROOM to keep your clothes and personal belongings The design of the locker cabinet is very poor with several wasted little areas here and there that can do the difference Kindly review the cupboard design and its layout and do the needful to improve it We shall keep coming to LL for several years to come hoping you work on this issue , Strategic location where you can enjoy doing business since the accessibility is there to everything while continue enjoying the romance of the Hyde park and London itself 
364779,Lancaster London, The hotel is currently being refurbished and much of it is behind wooden construction hoardings We thought we d booked a room in a derelict building instead of a 4 star hotel Lift access to our 17th floor room was limited and always busy , The room had a good view and the modernised facilities are better than they were 
364780,Lancaster London, price, Staff was great the room was impeccable a little on the pricy side but with a tube stop under property currently close until August it a great hotel
364781,Lancaster London,No Negative, The Renovated property is excellent the service and welcome staff are excellent one point is that there are no smoking room available for guests I am planning to stay one month in summer at this property if no smoking rooms will be available I have to change my plan and find a different property regards
364782,Lancaster London,No Negative, The staff were some of the best I have experienced in London refurbished room on the 17th Floor larger than most with all the amenities expected of a central London hotel 
364783,Lancaster London, No parking due to renovations however was able to park across the road which during the week and on Saturday during the day can only park for 4 hours note I parked late afternoon Saturday and only had to pay for 4 hours so after 6 30 was free until Sunday , Since my last stay at the Lancaster the hotel was under renovation but the rooms were completed My room was spacious clean and updated The decor was tasteful A huge improvement on my last visit and a pleasant stay They had an express check out meaning I could leave promptly with no queuing 
364784,Lancaster London, there was so noisy sounds because there were working people and the rate of price high Also there were so frequent check from the housekeeper for room service Also the key of the room usually shut of and not working and I need each time to go down to activate it, I like cleanliness was so great location the external view of the room lovely staff
364785,Lancaster London, No complaints at all , We were extremely happy all the staff without exception were 1st class couldn t do enough for us Have stayed here many times before will be back again soon 
364786,Lancaster London, There was extensive building works going on which lead to the reception area not having functioning IT equipment and they couldn t locate our booking for some time and the lifts weren t in use so they had to use the service lifts There was no warning of this on making the booking which is disappointing given the cost of the rooms , There was an event being held in this property so the location was perfect for my CEO and his colleagues
364787,Lancaster London, The steak wasn t a good idea but breakfast made up for my awful dinner , The rooms were clean and tidy we got the upgrade to the executive room because they are still renovating the place 
364788,Lancaster London, Drilling on Sunday morning a little annoying, When I arrived I was welcomed by happy staff who carry all my bags to the room and apologised for the building works which was fine
364789,Lancaster London, Half of the hotel is under construction so some rooms are new some is old And unfortunately our room is the old one In the midnight bathroom door lock suddenly got broken and didn t open it was around 2a m we called the guest service then 2 guys came and try to open the door during 30minutes like a nightmare But rest of the stay was good breakfast was very good stuff are helpfull and rooms are very clean ,No Positive
364790,Lancaster London, Nothing wrong with the hotel but the fact that Lancaster Gate tube station is closed is a small inconvenience at the moment, Newly refurbished rooms Great views Really friendly staff
364791,Lancaster London, The hotel is undergoing renovation so there was quiet some noise during the day in my room with the air conditioner, The hotel is very clean and the beds very comfortable The rooms are sizeable unlike other hotels i have visited in the UK The staff are very friendly and i was also selected guest of the day so i got to enjoy the very sumptuous afternoon tea with was very tasty and filling I loved it very much
