,Hotel_Name,Negative_Review,Positive_Review
41518,Le 123 S bastopol Astotel,No Negative, My best friend and I had a fantastic stay at Le 123 Sebastopol The theater theme is really fun as there is so much to take in so definitely tour the hotel when you arrive There is even a private movie theater downstairs along with a cute private patio out back We traveled overnight and were exhausted so they checked us in early to catch a nap which was so appreciated The room was adorably decorated Very girly and perfect for us Plus we had a quaint little balcony where we sipped our wine and watched the streets below The area is a little less congested than others but easy to walk or metro to many attractions The best reason to stay at the hotel is definitely the staff They are warm and accommodating My favorite was the late night crew as we were often coming back after hours Serge and Xavier are wonderful and made our stay one we will always remember If you are unsure where to go we absolutely recommend Le 123 Sebastopol 
41519,Le 123 S bastopol Astotel, The size of the rooms was much smaller than expected the view was dull the breakfast had to be purchased , Very stylish decorated with flair and definitely unique The afternoon spread featuring coffee water juices and a variety of pastries which was not only free of charge in the hotel but in any of the hotels that are part of the same Paris chain a nice touch I thought The L Occitane en Provence toiletries in the bathroom were also nice 
41520,Le 123 S bastopol Astotel,No Negative, This was mysecond stay at this hotel which in itself should tell you what I think of it The staff at the hotel are wonderful and could not be more helpful They clearly enjoy working there Amazingly they remembered me from my visit three months ago When we left they waived my breakfast charges 
41521,Le 123 S bastopol Astotel,No Negative, Location was great Rooms were really large for that area Air conditioning was fantastic Shower was nice Great recommendations from staff on local cafes 
41522,Le 123 S bastopol Astotel, bathrooms a little cramped, Staff were excellent which is a pleasant surprise in Paris Quirky and fresh d cor very pleasing Complimentary afternoon tea and snacks a nice and unusual touch
41523,Le 123 S bastopol Astotel, Breakfast table and seating very uncomfortable Small very low tables and narrow squeezing chairs But I guess it s typical for Paris Not sure why but we did not have any wardrobe in our room Just a bar with 5 hangers , Friendly staff The hotel is perfectly located just next to a Metro entrance Clean rooms We really liked it 
41524,Le 123 S bastopol Astotel, All was good , Very good hotel in Paris Good breakfast and afternoon snack Free minibar non alcoholic Nice rooms and very good shower Nice staff 
41525,Le 123 S bastopol Astotel, , Very cool theme cinema the private cinema room is a nice extra but I haven t tried it hotel staff was very nice and paid lots of attention free mini bar nice breakfast with lots of choice nice bathroom amenities
41526,Le 123 S bastopol Astotel,No Negative, The room was great The was very comfortable and the bathroom was spotless The shower head was wide and had several adjustments for the spray of the water and the height They even provided a safe in the room There were several electrical outlets by the desk which was awesome We would definitely stay here again 
41527,Le 123 S bastopol Astotel, I don t have anything significant but there could have been a second pillow in the room Maybe they had some on demand I didn t ask so don t know nothing that alters my overall impression of the hotel though , This is really an excellent hotel The staff is very friendly and service minded Breakfast was great and the atmosphere of the hotel is also very nice There is also free afternoon tea included which was a nice little surprise 
41528,Le 123 S bastopol Astotel, The buffet was not worth the 14 euros and if you know what good french croissants and coffee taste like you will be disappointed The breakfast selections seemed to cater more for travelers who might not care There are a few cafes nearby who do a better job The neighborhood is decent during the day very commercial at night it s a little transient but if you re used to big cities it won t bother you The decor is a bit odd kind of kitschy but it s mostly clean and bright Hooks in the bathroom for towels and robes would be nice This is not a place to go if you want a classic french experience it has more of a Tokyo vibe However I would go back again the staff make the experience excellent , The staff was absolutely superb warm extremely helpful and funny with only one or two exceptions The location is excellent for getting around Paris easily The rooms were clean and modern a very unique hotel surprisingly quiet and restful 
41529,Le 123 S bastopol Astotel, I can t think of any thing , Starting from the front desk to the house keeping all and all perfect Top class hospitality cleanness room comfort etc Breakfast one of the best hotel breakfast I ve ever had Afternoon complimentary drinks desserts mini bar with offerings on the house and the TV with free movie options are bonus 
41530,Le 123 S bastopol Astotel,No Negative, You could go to any Astotel in Paris and get tea coffee and cookies Breakfast was super Clean room free minibar water soda no alcoholic beverages 
41531,Le 123 S bastopol Astotel, Pillows were ok could be better , Staff were very polite and helpful Great location close to plenty of places to eat Gare du Nord main train station 15 20 min walk from hotel which was very helpful when getting train back to airport Free cakes and tea between 12 5pm were a nice treat and free soda drinks in room very much appreciated 
41532,Le 123 S bastopol Astotel,No Negative, Excellent breakfast Friendly staff Accessible to major tourist attractions on foot and by transit They had a nice touch of afternoon tea and free beverages in the room We would highly recommend 
41533,Le 123 S bastopol Astotel, For Paris standards the room size is ok In general is small Small bathroom Do not choose the Superior Room Almost the same size of other rooms not a good value I was traveling with family and friends 7 people When I arrived I had the feeling that the manager was not happy with all those people in the front desk I did not feel comfortable with that That was not my first time in this hotel and the last time my experience was much better , Breakfast was good Location is not perfect but not bad also Staff was very kind and helpful comfortable beds Free mini bar Child friendly 
41534,Le 123 S bastopol Astotel,No Negative, The staff were extremely helpful English very good helpful with gluten free food too Directions and advise on how to get to places very good as well 
41535,Le 123 S bastopol Astotel, Location was in walking distance of most place and near Le Marais however the area felt a little unsafe , Staff were very friendly and the decor was great 
41536,Le 123 S bastopol Astotel,No Negative, It was located not too far away from the train station but was still close enough to get taxis to all the main attractions Hotel was very clean and unique Very friendly staff who helped us with directions and booking taxis whenever we needed one Excellent all round
41537,Le 123 S bastopol Astotel, Nothing I like everything there It s like winning the lottery , It s squeaky CLEAN It s modern It s staff is exceptional You know staff loves their jobs Very extremely helpful Best buffet 
41538,Le 123 S bastopol Astotel, I cannot say that we had negative experience But I will describe one disadvantage just to share thoughts We didn t have tea sometimes Tea collection wasn t fulfilled at room on daily basis And we didn t have a chance to order tea together with dinner with room service But we could take tea coffee at lobby on specific time everyday , Breakfasts were excellent Rooms were clean Hotel looks beautiful 
41539,Le 123 S bastopol Astotel, the bedside tables drums looked really cool but were a bit shaky when you put anything down on them, The complimentary breakfast the staff the location the rooms its a really nice place to stay and very relaxing
41540,Le 123 S bastopol Astotel, Scrambled eggs at breakfast albeit good were a bit cold and the viennoiseries pastries didn t taste very fresh I am not sure they come from the bakery , Great double room with L Occitane products in the bathroom lovely staff huge bed with good and firm matress The decoration is very unique and the rooms are quiet it really feels like a 4 start hotel The WIFI worked perfectly Good breakfast it s worth paying for it I will come back 
41541,Le 123 S bastopol Astotel, No significant drawbacks May be few tables for breakfast queues sometime Room decoration unusual , Staff friendly and efficient Large room by Paris standards Excellent location Good air conditioning heating Good selection at breakfast 
41542,Le 123 S bastopol Astotel, Bathroom had no door which means the toilets are directly in front of the bed without any separation , Staff very friendly especially Marwan at the front desk
41543,Le 123 S bastopol Astotel, The wifi was a bit unreliable at times , Amazing location Attention to every detail occitane bathroom products amazing brekkies free afternoon teas with delicious pastries and sweet delights and complimentary minibar in the room Even has board games in the gorgeous main atrium We were there over Christmas and the place was so festive 
41544,Le 123 S bastopol Astotel, There is nothing we didn t like about this hotel We will def Do it again , The best hotel in Paris no doubt about it This hotel represents the spirit and feel of paris Incredible staff incredible service great rooms and great food 
41545,Le 123 S bastopol Astotel, On our last day and as early as 8am the cleaning staff started hoovering the room next to ours and banging the hoover to the walls and furniture waking us up Didn t particularly enjoy it , Excellent location and right outside of the metro station Staff amazingly friendly The only hotel I have been to in the last few years where the bar offers complimentary coffee and sweets every afternoon Room very clean and for Paris standards very spacious as well 
41546,Le 123 S bastopol Astotel, It was the first time in my booking experience that I have booked the better quality room and printed my voucer in native language but before the trip in my booking com acount it was changed to standart I will always print my voucher in hotel language in the future , Nice cozy hotel good breakfast very silent inside right at the metro stop Very nice shower 
41547,Le 123 S bastopol Astotel, The hotel is a bit pricey , We had a fantastic stay The staff are really amazing very helpful and friendly they go the extra bit to help The hotel is tastefully decorated with the cinema theme our room was based on Concert so we loved the drum side tables The service is excellent they provide premium toiletries welcome chocolates and of course there is a wide selection of movies completely free We also loved the afternoon tea and cakes included at the hotel The breakfast is also good with lots of choice 
41548,Le 123 S bastopol Astotel, No real wardrobe to store you clothes , Perfect bed Superb breakfast Great service Free minibar Good location opposite the metro station and only 15 minutes walk to the Seine 
41549,Le 123 S bastopol Astotel,No Negative, Great staff gorgeous rooms and lounge area Complimentary hot drinks and cake selection in the afternoon Good location and fairly safe We were in a superior room with balcony facing on to the main road but was still very quiet Good selection of free movies to choose from and complimentary mini bar with soft drinks and snack 
