,Hotel_Name,Negative_Review,Positive_Review
189904,Le Mathurin Hotel Spa, The shower could have been simpler in terms of design and confort , The hotel is clean nicely decorated and comfortable The neighborhood is good and there are good restaurants and shops close by This hotel is good value for money at least during weekends 
189905,Le Mathurin Hotel Spa, Perhaps that it s difficult to get things to eat after midnight but I m somewhat greedy lol, Great atmosphere great location surrounded by landmarks and places to eat cant go wrong 
189906,Le Mathurin Hotel Spa, It would be nice if we can opt for late checkout around 5pm Also if you can provide electric kettle for each room it would be nice, The ambience is good I like the staff and the room eventhough it s quite small Wish I could stay longer 
189907,Le Mathurin Hotel Spa, Bathrooms could have been cleaner No complimentary daily water bottles nor coffee and tea , Excellent breakfast Excellent location Very kind and helpful staff 
189908,Le Mathurin Hotel Spa, This time there was a trainee at the reception which gave me the key for the wrong room Also she was not very helpful giving recommendations directions, I like this hotel I have stayed here number of times It is clean quiet you can have a good night sleep very conveniently located
189909,Le Mathurin Hotel Spa, I had an item stolen from me Brought it up with management They did get me stills from the camera which showed that I had with me on the day of leaving They did not handle the matter to my satisfaction They have promised to make my next stay better that s if I go back ,No Positive
189910,Le Mathurin Hotel Spa, The spa was meant basically for 2 people even though is open for everybody but that s its maximum capacity so you have to wait if there s someone else using it The water of the jacuzzi was cold and it couldn t be adjusted so we basically used the turkish bath which was quite good there was no sauna So if you go only for the spa beware that it s really small and not at its best , The bed was incredibly comfortable with a really comfy bed and a nice balcon The bathroom was a little bit small for two people but you could still manage The breakfast was really good and varied 
189911,Le Mathurin Hotel Spa, I don t know why but air conditioning was on and the room was freezing I turned off every time I was out but again it was on when I was back The temperature outside was not so high it was like 20degree So it was quite odd , The staff was very nice and helpful My colleague has arrived AM10 00 and he has been trying to get him checked in the room as soon as possible Since she has arrived after long flight it was really appreciated 
189912,Le Mathurin Hotel Spa, View from the room It looked into a wall as the hotel built in a square design , Breakfast was awesome Full French breakfast Fresh juice meats breads 
189913,Le Mathurin Hotel Spa,No Negative, Beautiful stay Staff were so friendly and helpful The bed extra comfy The bathroom and all spa facilities were amazing The area was buzzy and just a short walk to the metro 
189914,Le Mathurin Hotel Spa, The breakfast is to expensive I would rather recommend that you go out and find a french bistro and have breakfast there instead , Really nice hotel with service minded and welcoming staff We had a nice room on 1st floor great beds and pillows The spa area is small but still nice and quite The hotel is clean and the area feels safe Five minutes walk to the subway and almost 2 km to walk to the Eiffel Tower A really nice walk which I can recommend 
189915,Le Mathurin Hotel Spa, Service could be better , A hotel is located in the centre of Paris A room and a bathroom are clean Bed in the double room consists of two parts Staff in the hotel is absolutely impolite and imposing The receptionist didn t let our guests to come to us A man came to my room to check mini bar in spite I was in a bed and there was a plate not disturb on the door Our staying could be good if personnel hadn t behave like personnel in the soviet dormitory 
189916,Le Mathurin Hotel Spa, this time I found small problems here and there The Hairdryer was not functioning the cleaning of the floor was not done properly for two days the bathroon needs a bit of refurbishment the doors have scratches they do need maintenance , location hall personnel very kind and helpful 99 of them overall I continue to like the place 
