,Hotel_Name,Negative_Review,Positive_Review
59752,Legend Saint Germain by Elegancia, The bathroom was small but shower was amazing great pressure However the leg space for the commode was too small narrow we stayed in 502 almost for a child it wasnot comfortable Would be nice to have a complimentary bottle of water per guest on day1 but that is a small thing Decent selections for breakfast but per person cost of 16 too steep Better to have outside many options available around 10 Hotel should consider this and also give varied breakfast packages instead of a flat rate for all choices , Staff were amazing and helpful with great sugestions always We moved from patio facing room to street facing room with balcony upon request at no extra cost Also staff helped with early checkin which was great for resting and very prompt check out and taxi bookings Free coffee machine available all times in the reception 
59753,Legend Saint Germain by Elegancia,No Negative, Reception staff very friendly They are speaking a lot of languages when we came we spoke some Polish Russian English with reception workers Room very beautiful gorgeously decorated with amazing light s in the ceeling under the bed Bed very big and comfortable very big choice of the pillows we had 3 different types of pillows per person in the room A lot of usefull things free of charge soap shampoo bath salt some cosmetics Bathroom very clean and nice Unfortunately we have stayed only for one night When it comes to the breakfasts in this beautiful hotel they are very different then usuall breakfasts in hotels Very homely atmosphere and big choise of food comfortable seats and a lot of drinks I would definetly recommend this hotel to anyone who is going to visit Paris with girlfriend or wife Best regards Tim Ira
59754,Legend Saint Germain by Elegancia, In the evening when we returned to our room tiered from a full day of discovering Paris we asked from the young man that was working at the reception at that time for a recommendation of a restaurant He was initially hesitant to give any suggestion just saying that there are plenty of restaurants around and after we insisted a bit more he suggested that since we would like to have some typical french steak and fries kind of dish we should to hippopotamus At the time we didn t know the place but googling it and then walking outside we realized that he sent us to fast food chain restaurant Of course the hotel stuff is not required to be able to give suggestions to guest about dinner options but this is something that I in general greatly appreciate and at this hotel I was disappointed , It was a very nicely decorated hotel both the lobby and the rooms The room was on the small side although I reserved their more spacious room but I think for Paris standards it was good the bed and pillows were very comfortable and the breakfast was great The stuff was overall friendly and helpful but see also bellow in the negatives sections about some small complains we had 
59755,Legend Saint Germain by Elegancia, We realized in the middle of the night that the thermostat did not seem to turn on cool the room so we opened the window This cooled the space off but then you have the street noise , Super comfy bed Super clean Small but very well appointed space unique and creative Loved it Everything in the room was uniquely designed but with a useful purpose The staff is friendly and welcoming The lobby is small and cozy a great place to sit and have a cup of coffee or wine There is also a small outside patio We loved the place and the location 
59756,Legend Saint Germain by Elegancia,No Negative, Beutilful place great location Everything you need The reception staff are brilliant in particular the young gentleman who s name I unfortunately didn t catch he was extremely helpful and friendly definitely returning Thank you 
59757,Legend Saint Germain by Elegancia, Very slow but free Wi Fi Flooded room after a quick shower drainage needs some renovations Staff speaks just some basic English , The bed and pillow were made from Tempur like foam which is very pleasant to sleep on Great location close to many interesting restaurants 
59758,Legend Saint Germain by Elegancia,No Negative, The bed was amazingly comfy The staff were excellent and very helpful Had the most amazing time The whole experience was fantastic and felt very welcome and romantic
59759,Legend Saint Germain by Elegancia, Room was tiny mattress and pillows were like bricks and it was so hot , The breakfast lounge area was relaxing staff were friendly and helpful location was great
59760,Legend Saint Germain by Elegancia, Would have liked to have coffee machine available in room In addition bar has champagne only would much prefer wine , Almost everything The location style staff all were excellent Highly recommend 
59761,Legend Saint Germain by Elegancia, The rooms are hmm intimate so it s best suited for a couple or single person , Helpful and friendly staff comfortable and clean room great location to metros buses and cafes and for a comparatively reasonable price 
59762,Legend Saint Germain by Elegancia, Hotel overall is quite dark and view from room windows wasn t great once blinds were opened , Dreamcatcher suite was beautifully decorated spacious and bed was extremely comfortable The bathtub in room makes a wonderful addition for a romantic couple getaway Staff were very helpful with directions booking cabs and late check out Hotel is located on a main road and within close proximity of shops and train stations 
59763,Legend Saint Germain by Elegancia, No Gym , Everything Location Great attention to detail Very clean Excellent breakfast and very friendly and efficient staff Room was really comfortable Really appreciate the effort with overall relaxing feel of the place Great wifi 
59764,Legend Saint Germain by Elegancia,No Negative, Beautiful place to stay lovely breakfast The staff are so welcoming and friendly It was a great spot also beautiful area and near Luxemburg gardens and the train 
59765,Legend Saint Germain by Elegancia, Coffee machine broke down so no coffee provided on one day At least 20 min walk into main Paris area and long way to walk for hop on hop off bus , The room was very small but clean Bed was comfy Breakfast was basic Quiet location 
59766,Legend Saint Germain by Elegancia, The only thing that could be better is the room size ours was tiny but the rest of the things were just great , Staff was extremely friendly and helpful location was amazing literally 2 minutes walk to the metro station and numerous cafes and even a farmers market bed was super comfortable 
59767,Legend Saint Germain by Elegancia, They helped us book a taxi in advance when we were going back to the airport first they called me 5 40 in the morning telling us that the taxi had arrived when we booked for 6pm Then in the evening they had booked us a black cab that took wrong turns every now and then and the ride took twice the time they said because of that, The staff was really helpful and the beds the most comfortable I ve ever slept in at a hotel
59768,Legend Saint Germain by Elegancia,No Negative, A little gem of find in Paris The staff were very friendly helpful and nothing was too much trouble The best bed I ve ever slept in and It s spotlessly clean I stayed in the deluxe room and it was quite spacious for Paris The next time I m lucky enough to be in Paris this is where we ll be staying Right on the number 4 metro line Great base for touring Paris 
59769,Legend Saint Germain by Elegancia,No Negative, The hotel is stunning the rooms are immaculate and lavish quite literally the most comfortable bed I ve ever slept in The staff were great really helpful with recommendations and suggestions A stones throw from the metro location is ideal in the middle of all the attractions 15 20 mins to get anywhere 
59770,Legend Saint Germain by Elegancia, Cost for breakfast is high and probably not worth it as there are many great places to eat around the hotel , Great art deco rooms front desk staff friendly and helpful Quiet location
59771,Legend Saint Germain by Elegancia, Nothing, Central spotless near to metro nice local restorants and patisseries Next to a tall black building La Tour Montparnasse which can be seen by far and help to find the hotel 
59772,Legend Saint Germain by Elegancia, Room was very very tight Bathroom shower made everything wet and the water ran out of the bathroom into the hallway I felt very claustrophobic , Quirky Very friendly Great location Liked the docking station Lovely touch of providing water and toiletries 
59773,Legend Saint Germain by Elegancia, There was a problem with our booking so we were accommodated in the wrong room for our first night really annoying after a very long transfer from the airport We then had to repack and move on our second day The staff were helpful and gave us a discount but this kind of mix up shouldn t happen , Good location near St Germain area handy walking distance to the main sights Plenty cafes restaurants and shops nearby Nice big room with good storage comfy bed 
59774,Legend Saint Germain by Elegancia,No Negative, What a fantastic place this was to stay The staff here are the most helpful we have experienced anywhere Our room was small but cosy and cleaned spotlessly every day The continental breakfast was ok and the location in my opinion was quite handy for most attractions and all of our requirements 
59775,Legend Saint Germain by Elegancia, The wifi was very slow Facetime Skype Viber were not working properly, The room is small but incredibly cosy great bed with high quality sheets and pillows loved the decoration 
59776,Legend Saint Germain by Elegancia,No Negative, The staff were extremely helpful from the moment we arrived Room was beautiful with everything you needed for a pleasant and comfortable stay in the heart of the city 
59777,Legend Saint Germain by Elegancia,No Negative, It was an amazing lovely and the best weekend in a perfect hotel with more best personal in heart of Paris All of atractions are near to walk Wonderfull breakfest And room Simply the top 
59778,Legend Saint Germain by Elegancia, The bedroom space could have been a little bit bigger But no regrets , The location is great Staff very helpful Bedrooms are out of this world Great for couples very romantic Power showers Loads of shopping just on the footsteps of the hotel The Legend hotel One of the best I v been toooo 
59779,Legend Saint Germain by Elegancia,No Negative, We were kindly allowed to check in early and given a courtyard room which was just lovely The bed was wonderful a memory foam mattress with rose petals laid out on the bed which made it very romantic A really nicely done room boutique style with lots of light settings to set the mood and lovely curtains by the bed which made it cosy and tasteful The receptionists were all lovely and so helpful one called ahead to a restaurant to make sure we had a table All staff was lovely made it a fantastic trip would highly recommend and definitely visit again thank you 
59780,Legend Saint Germain by Elegancia, COLOR OF HALLS BLACK VERY DARK AND GLOOMY PILLOWS WERE TERRIBLE AND UNCONFORTABLE MATRESS ALSO ROOM MUCH TOO SMALL BUT WELL DECORATED WITH GOOD TASTE , STAFF WAS EXCEPTIONALLY PLEASANT AND ALWAYS WILLING TO SATISFY FELT VERY AT HOME AND SAFE EVEN WITH ALL THE NEGATIVE ITEMS MENTIONED I WOULD SURELY GO BACK AND STAY 
59781,Legend Saint Germain by Elegancia, I was taking medication and had to rest a lot and my husband could not move easily around the room after placing our luggage in the room After one night we were able to move to a slightly larger room which helped but we were still cramped and had to move to another hotel after that The hotel manager would not allow us to move out after 1 night as I wanted to without having to pay for that night but the hotel staff really tried to help by providing a larger room the second night even just by a few feet I would not stay here again but if space is not a concern it is a nice room in a good area , Good location close to restaurants and Gare de Montparnasse Staff was very understanding and accomodating I felt that they really tried to help me 
59782,Legend Saint Germain by Elegancia, Nothing negative it was a delightful stay We can t wait to come back , The staff greeted us cheerfully when we arrived we felt welcome Everyone was so nice and friendly Our room was comfortable and just the right size for two people who don t need much except a clean room and bathroom a comfortable bed and a nice view 
59783,Legend Saint Germain by Elegancia, if booking very last min could be more expensive but overall its the best hotel here , very nice design hotel near montparnase train station with the best breakfast i have ever had
59784,Legend Saint Germain by Elegancia, Switching on off the room lights require 2 PHD s or a stream of extreme good luck, Mattress and pillows are Tempura perfect sleeping set 
59785,Legend Saint Germain by Elegancia, No room service, Clean nice staff and good location
59786,Legend Saint Germain by Elegancia,No Negative, Bed was super comfy 
59787,Legend Saint Germain by Elegancia,No Negative, Bed and pillow were awesome Good use of space available 
59788,Legend Saint Germain by Elegancia,No Negative, Excellent location good breakfast and friendly staff 
59789,Legend Saint Germain by Elegancia,No Negative, The memory foam bed was the best I ve ever slept in Staff accommodated special requests beautifully 
59790,Legend Saint Germain by Elegancia,No Negative, Best hotel in paris
59791,Legend Saint Germain by Elegancia, payment issue,No Positive
59792,Legend Saint Germain by Elegancia, Room was smaller than expected for the kind of money paid ,No Positive
