,Hotel_Name,Negative_Review,Positive_Review
136840,Les Matins de Paris Spa, Staff war not very friendly E g one of them chewed chewing gum very loudly we had to greet him before he said anything We didnt feel welcome at all Room was a bit noisy you hear when other showers , The bed was very comfortable Late check out was possible 
136841,Les Matins de Paris Spa, more storage in room esp for luggage which got in the way as we went from w c on one side of room to shower sink on other side , bed comfy pool steam room included a wonderful refresher A C good room needed more storage closet staff very helpful Neighborhood very residential with families tourists Lots of cafes bistros with patient helpful staffs Metro nearby
136842,Les Matins de Paris Spa,No Negative, Great hotel in a very nice neighborhood of Paris The corner street is Rue des Martyrs with award winning bakeries and chocolatiers many cafes and stores great Iberian ham shop and also a Corsican deli and a couple of Italian restaurants In fact the area was so nice that we did not stray from Montmartre at all Our hotel room was small by American standards but a good size for Paris and extremely clean modern comfortable and quiet 
136843,Les Matins de Paris Spa, Only thing we did not like was that the room thermostat was on a 3 hour timer Each night we were there we were comfortable when we went to bed but woke up in the middle of the night after the room temperature rose from the air conditioning shutting off We were able to turn the air back on but just the same it was annoying to have been woken up each night , Wonderful friendly and helpful staff Great location Place was very clean We had room with small balcony and enjoyed being able to step outside for some fresh air Room was small but adequate for our needs we spent very little time in the room We used taxis and the staff were able to call us a taxi each time we needed one and the taxi showed up within 5 minutes 
136844,Les Matins de Paris Spa, Not much space for the cloths storage in the room, We stayed in a nice quiet room which was not very spacious but comfortable The bathroom with a big window has all necessary amenities including bathrobes Very good breakfast with freshly squeezed orange juice and a nice choice of fruit and pastry The hotel is situated close to metro 5 min and surrounded my charming little shops and restaurants Highly recommended 
136845,Les Matins de Paris Spa,No Negative, Very helpful friendly staff nothing was too much hassle and spoke good English Great Wifi connection Breakfast had a good choice and the coffee machine was always on to make yourself a cup of hot chocolate coffee or tea after being out all day Room clean and bed s comfy Nice area and not far to walk to metro supermarket near by A perfect start to our holidays 
136846,Les Matins de Paris Spa,No Negative, The location of the property was great The front desk attendants were kind and helpful when we asked for assistance We were able to walk through the neighborhood and get to public transportation when needed The neighborhood was lovely so we did a lot of walking There were many restaurants and cafes near All and all a lovely stay 
136847,Les Matins de Paris Spa,No Negative, Perfect location in Paris with beautiful local shops along the street and a general Parisian culture Located a short walk from Montmartre Sacre Coeur and Moulin Rouge with excellent Tube links to the rest of the city Excellent reception staff Room was perhaps a bit cosy but well decorated furnished Excellent air conditioning was a life saver 
136848,Les Matins de Paris Spa, Our room was near the elevator and the elevator was very noisy , The location was excellent Close to Montmartre and easy to walk from here to the subway 
136849,Les Matins de Paris Spa, The door but these things happen , The only issue we had was the door key The batteries had run out and they struggled over the weekend to get anyone out The staff were excellent throughout nothing was too much trouble and they went out of their way to make sure we were comfortable and happy
136850,Les Matins de Paris Spa, There was a slight sewer smell in my shower HOWEVER it did not permeate outside of the shower area , The breakfast and the accommodations were quite good 
136851,Les Matins de Paris Spa, Check in was a bit chaotic as there is only one desk Check in after 4pm is a bit late, Like the size of the room it s decor its facilities and its comfort The room was great value for money The spa downstairs seems nice though we did not test it Great that they could keep our luggage when we arrived too early and that they put it up in our room 
