,Hotel_Name,Negative_Review,Positive_Review
178421,Little Palace Hotel, The staff was unwelcoming the elevator was tiny the bathroom was underwhelming very small shower and lack of design Also the bathroom door was clear so that whoever was in the main part of the room could see the other person on the toilet and in the shower , Great location gorgeous view from balcony
178422,Little Palace Hotel, room was a bit small elevator was tiny but sufficient , top notch really liked it had a room with balcony it was excellent staff was really helpful did not try the breakfast but it looked nice 
178423,Little Palace Hotel, There is so much light coming into the room at night from the well at the centre of the building that I had to use the air conditioning and close the windows and curtains on my last night to have a good sleep It would have been nice to have one television channel with English language entertainment programs not just the news , The hotel is very conveniently situated it was less than 20 minutes walk for Gare de l Est and is only 15 minutes quick walk to the Seine via Les Halles a great place to eat and wander I felt safe in the area although was careful amongst crowds The bed was very comfortable and the room was clean and perfect for one person it was lovely to have a bath and not just a shower 
178424,Little Palace Hotel, The fridges weren t cooling properly One fridge wasn t working At night when we complained there was no one to fix the problem Usually hotels provide two bottles of complementary water which Little palace hotel didn t The lift was too small to use for a big family and caused inconvenience In our suite there should have been a WC in both bathroom and powderoom also , The bed was super comfortable Good location and close to station 
178425,Little Palace Hotel, WiFi a little hard to connect for some reason but hot it working 2nd day , Clean Air conditioned Close to sites but far enough away from noisy street scene Close to metro and restaurants Room was larger than most boutique hotel rooms 
178426,Little Palace Hotel, Toilet was off the living room and separate from shower and sink area which were off the bedroom , Breakfast was delicious and front desk woman was lovely and very helpful Suite was spacious 
178427,Little Palace Hotel, There was a problem in the wifi connection it only work on the first day We have to go to the lobby to use the internet on the 2nd 3rd day of our stay , the place is really nice and clean Staff are all very friendly and helpful They even upgraded our room from standard to superior for free that is superb 
178428,Little Palace Hotel, 1 Staff wasn t that friendly We wanted to check out at 1pm and were told we cant flat out really weird way to treat your clients i thought 2 toilet bowl was choked called the guy twice he said he fixed it when it wasnt fixed We gave up and just managed somehow , Location is fantastic superb access to La Marais Good bars and restaurants around Park across the street is nice too 
178429,Little Palace Hotel, Elevator was very small slow but this is incredibly common in Europe , Excellent location right outside a well connected Metro stop and walking distance from major shopping eating areas Staff was amazing had a room ready for us for a very early check in always greeted us gave great restaurant recommendations with an affordable price Room was larger than expected just enough space for two people and our bags without restricting movement around the room Highly recommend this hotel for a short stay in Paris 
178430,Little Palace Hotel, Small bathroom could hear noises from the street and neighbors at night wifi requires to sign in every time, Good location nice rooms comfortable and clean balcony overlooking a park
178431,Little Palace Hotel, Breakfast wasn t included in the price Shower was rather small , Balcony and view of Paris and close location to restaurants and metro Comfortable room and good choice of breakfast Decor was well thought out and colour scheme was contemporary 
178432,Little Palace Hotel, Walls v thin could hear EVERYTHING happening in rooms adjacent and above No coffee tea facilities in room Wardobe insufficient due to safe taking up space Bathroom toiletries only shower gel Breakfast overpriced for a very basic selection Was very surprised this is classed as a 4 star Maybe superior rooms are better value but generally this was an expensive stay for such a basic hotel , Location good Staff helpful
178433,Little Palace Hotel, Very small room Waited in bar area to order drinks but no one came Noisy room we were near to lift which you could hear asending and descending quite clearly Room noise from other guests , Location 
178434,Little Palace Hotel, The door to the bathroom was a little less than private Fine but make sure you are close with anyone you might be staying with , Such a comfy bed We loved our view out over the park We were very thankful for the helpful and accommodating staff We walked all over the city with this as our home base 
178435,Little Palace Hotel,No Negative, We arrived at about 10 30pm a little tired after negotiating our way from Gare du Nord through the Paris Metro system We were met with a warm welcome and were settled in our room in no time A lovely hot cup of tea in the bar was no problem 
178436,Little Palace Hotel, We went with Easter weekend and were surprised there was no decoration or even Spring themed welcome at reception rather dull Breakfast was OK but from a 4 star hotel you would expect more service like a menu to choose your eggs from I was certainly have with the balcony room , Staff was wonderful welcoming and kind Location is SUPER 
178437,Little Palace Hotel, N A, Great location Metro across the road or easy walking to some main areas Very clean room French doors that overlooked park Lovely quaint hotel Good wifi and breakfast great Staff very friendly and helpful 
178438,Little Palace Hotel, the breakfast buffet was a disappointment the staff isn t really prepared you have to ask for everything plates milk They don t refill the breakfast fast enough so many things are already taken they use a protectionsheet for the mattress wich doesn t allow the bed to breath so very hot, the bed was very comfy friendly staff nice park near the hotel parking space
178439,Little Palace Hotel, The walls were quite thin and you could hear a lot but it didn t bother us much , We loved the location and the rooms were bigger than we expected for Paris The shower was especially good 
178440,Little Palace Hotel, The hotel was a old hotel sort of semi renovated But not to its best My bathroom was leaking sewage water from the upper floor at 5 am in the morning It s a good thing we were checking out that time as the receptionist doesn t seem to have a solution nor even a care or a apology for what happened Disappointing end to an average 3 star hotel not four There is minimal amenities in the bathroom rooms are very tiny the internet not fast The location of the hotel is right next to a subway stop but in hindsight I would ve stayed closer to an attraction rather than having to spend alot of time travelling as Paris is a large city ,No Positive
178441,Little Palace Hotel, smell of flowers that makes you allergic and it was not a good smell through in the hotel lobby as soon as you enter you want to run away Awful Shame as first smell and immersion is import and here you are missing this smell of luxury also entrance is nice but needs better lights Lift is tiny Bathroom Tiny , Location Balcony View bed and pillows
178442,Little Palace Hotel, I want to reccommend about the complimentary in the room it s lack of kettle and tea or coffee Even the reception service 24 hours but still uncomfortable , Good staff They are very nice and helpful 
178443,Little Palace Hotel, Nothing rooms are small but it s Paris, People was really kind breakfast room is so nice Pleasant typical parisian ambiance Great view from 8th floor
178444,Little Palace Hotel,No Negative, Very comfortable and lovely room Very clean and the stuff was very helpful especially when we had a small situation going on at night and we needed help Very nice location close to 2 metro stations and a park right in front of it You can also go on foot to Notre Dame and other places there are also places to eat close by There is a Pharmacy right next to the hotel the Pharmacist speaks English too I recommend you to stay there 100 
