,Hotel_Name,Negative_Review,Positive_Review
53298,London Marriott Hotel Kensington, The room is small view on garbage As an spg member didn t expect that They didn t suggest for a club room , Nice reception area buffet breakfast very nice competent staff
53299,London Marriott Hotel Kensington, Rooms and bathrooms a little small, Excellent breakfast offerings each day full English and Continental Executive Lounge offers excellent additional options especially if in a group 
53300,London Marriott Hotel Kensington, The Starbucks employee charged a service on the take away coffees each time my daughters ordered from them Felt the young lady was trying to make extra money off my teenagers checked at other Starbucks and they never charge extra for a takeaway order very unhappy about that, Loved the size of the room for myself and my teenage daughters Bathroom very clean and functional Room wasnt ready on arrival but the pleasant young receptionist gave us access to the private lounge to wait in
53301,London Marriott Hotel Kensington, We were very displeased that wifi in rooms was not complimentary As a result we did not pay and needed to be in the lounge to make plans and check emails This is the only hotel of many that we have stayed in recently that had such inconvenient wifi We thought the hotel would give better complimentary service , Location close to the Gloucester tube station
53302,London Marriott Hotel Kensington, It was ridiculously hot and we were unable to sleep well Also there weren t any full size towels provided We were only given what appeared to be hand towels It was bizarre , It was convenient to the tube 
53303,London Marriott Hotel Kensington, Man the cleaners drove me crazy early every morning banging in and out of rooms ignoring that they can actually close a door with the handle so is would be quieter They disregard that guests are trying to sleep It is seems they have the attitude of I am at work so you all should be , I stayed for a week and it was home from home good size room with full amenities and very comfortable bed 
53304,London Marriott Hotel Kensington, Overhead Air conditioning unit in the bedroom a little intrusive when trying to sleep , Location is perfect 7 minute walk from Gloucester Road Underground 42 minutes on the Piccadilly Line T5 LHR to Gloucester Road Station Excellent position for everything Great staff here 9 minutes on foot to the History Museum 20 mins on foot to Harrods Great restaurants in the vicinity Child friendly hotel and staff Breakfast superb Will stay again 
53305,London Marriott Hotel Kensington,No Negative, The executive lounge has the best coffee anywhere Also very convenient to pop in for a water or cookie before heading out or upon arriving back after a long day Very nice people as well 
53306,London Marriott Hotel Kensington, The car park which was small, Everthing we got upgraded for free and access to the lounge which was great fun Bed was nice to sleep in checked in and out without any problems
53307,London Marriott Hotel Kensington,No Negative, The receptionist who checked us in on Friday 21 April at 3pm was absolutely wonderful and she remembered us throughout our stay She is a lovely person and very welcoming and helpful However that said all the staff are wonderful welcoming polite and very helpful Thank you for your hospitality 
53308,London Marriott Hotel Kensington, Only 1 lift working long periods of time waiting for lift was not told a deposit was due even when you leave a pre payment debit card paid cash for deposit still not refunded yet,No Positive
53309,London Marriott Hotel Kensington, Wouldn t stay in room 131 again noise from heating generator coming from glass roof buildingwas very disturbing although did get used to it second night The glass roof was just under the window so poor view Would stay again just in different room , The staff especially concierge and in the bar area All were excellent very welcoming polite with nothing too much trouble Efficient check in out 
53310,London Marriott Hotel Kensington, I had a no smoking room but other guests on the same floor had been smoking cigars so it smelled awful There was a drunken fight in the corridor between a large group of men between the hours of 3 5 am which disrupted our sleep as you can imagine Hotel did nothing to compensate our dissatisfaction Received an insincere apology from the guests involved and reception Considering the cost to stay in this hotel per night it was incredibly disappointing , The location was very good
53311,London Marriott Hotel Kensington, Only basic selection of tea and coffee in rooms Disappointing that wifi is not free throughout the hotel, Good location Large pleasant room very comfortable beds and helpful staff
53312,London Marriott Hotel Kensington, The only negative I had was that while the wifi was free in all the public areas it came at a cost of 10 per day for room access As along with most people in today s world I use internet as an integral part of life it was an extra cost that I hadnt expected , The staff was very helpful genuinely solicitous and provided a personal touch which is sadly lacking in so many hotels at this time It made such a difference I felt that I was more than just another face I actually felt welcome Our booking included both breakfast and use of the executive lounge which was a haven of peace It also supplied constant beverages Our room was very well appointed with immaculate linen and a towelling dressing gown The furnishings were of a high standard and very comfortable The breakfast was truly excellent both in choice and quality The coffee came in generously sized individual pots and was very good I love my coffee in the morning and it didn t disappoint My only regret was that I didnt have the opportunity to avail of the excellent on site gym 
53313,London Marriott Hotel Kensington, the decoration and the bathroom need a refurb A bit dated but clean , Good location nice hotel facilities the room was dated although the bed was lovely with nice sheets and the TV was nice very clean 
53314,London Marriott Hotel Kensington, But we are on the 8th floor top floor and the windows have gaps and strong winds blew into the room very cold in particular we have one bed next to the window The food in the restaurant is okay but not up to a four star hotel standard My son s fish fingers were under cooked , The room is quite spacious which I like 
53315,London Marriott Hotel Kensington, Just very Expensive one night with a Meal drinks for my family of 4 was over 500 It is noted at Parking on site but this is 35 a day too as I was there for a day 4 hours spent 50 extra on Parking at the Hotel just took the edge off , Excellent Hotel the Staff are what made the Hotel an even better experience 
