,Hotel_Name,Negative_Review,Positive_Review
410629,M venpick Hotel Amsterdam City Centre, Could not get small meal in bar at 11pm after long day of flying delays Disappointed No other restaurants around , Very updated Night views were spectacular Very close to cruise terminal Everyone seemed helpful 
410630,M venpick Hotel Amsterdam City Centre, For such an Hotel the fitness is small Key card didnt function 3 times, Very nice view over the city from the 20th floor Breakfast was rich what would be expected for 25 euros Room is large having splendid windows Close to the city centre but still out of the tiring crowd of tourists
410631,M venpick Hotel Amsterdam City Centre, check in was difficult room was unclean only one restaurant food was poor hotel was tired looking noisy aircon in room no water in mini bar we were dehydrated after long flight, nice view out the window
410632,M venpick Hotel Amsterdam City Centre, Loved everything, The rooms were amazing and clean As my room was on the 18th floor I seen amazing views which made it better Highly recommend and will be back 
410633,M venpick Hotel Amsterdam City Centre,No Negative, The hotel restaurant was excellent From the breakfast buffet to dinner I was more than satisfied The waiter even gave my children huge chocolate bars
410634,M venpick Hotel Amsterdam City Centre, Room service did not stock our refrigerator properly Water and Coke were not replaced as they were supposed to be Got two different prices from reception for a taxi to the airport , Bed was comfortable View was great
410635,M venpick Hotel Amsterdam City Centre, No complaints at all , Location was very good The caf near reception was good value for evening meal We appreciated the courtesy bus from the railway station 
410636,M venpick Hotel Amsterdam City Centre,No Negative, Included breakfast was fantastic more types of food than I could describe and really good too The hotel is right on the metro tram so you can go all over Amsterdam using a day pass which you can get at the hotel The hotel is a very short walk from the river boat docking area The room was huge by European standards and very big by US standards The internet was FAST but most of the TV channels were in German some in English 
410637,M venpick Hotel Amsterdam City Centre, Our flight leaving Amsterdam for Dubai did not leave till 8 00pm So we checked out as per the required time earlier in the last day We sat around for almost 5 hours waiting for our car to take us to the airport For people leaving the city a late checkout would be appreciated , The concierge was really helpful Made our stay very comfortable He knew what the recommended ways of travel and explained the ticket procedures for trams and trains for all the sites we tried to see We had earlier been advised to not use taxis because of their gross charges This was our first time in Amsterdam and Holland The restaurant on the first floor was also very good Excellent meals and service 
410638,M venpick Hotel Amsterdam City Centre, There is nothing to dislike about this outstanding location and property , Our upgraded room on the 19th floor had a spectacular view of the harbor and city We have stayed here before so expected superb room amenities and were not disappointed 
410639,M venpick Hotel Amsterdam City Centre,No Negative, The accessibility to the cruise terminal The ice creams The staff in the dining areas were very efficient We paid the extra to have an executive suite and access to the executive lounge which was fantastic 
410640,M venpick Hotel Amsterdam City Centre,No Negative, This is a First Class Hotel to join Cruises as it is Next to Passenger Terminal for Ocean Cruises and Just along from the River Boat Moorings The Staff are Super and Rooms are Superb with Complementary Mini Bar 
410641,M venpick Hotel Amsterdam City Centre, We had problems with both the initial booking credit card fully charged months early at time of booking when terms were to pay at property and with the initial allocated room due to excess elevator noise room was adjacent to elevator shaft with motor room above In fairness both problems were sorted promptly and appropriately as soon as hotel was notified Like so many hotels why provide expensive black out curtains and then have so many lights on electrical equipment in the room TV AV AC controls etc so that it is like having the Blackpool illuminations on in the room throughout the night Nothing better designed to rob the guest of a good sleep , Breakfast choice and quality excellent Location good outside immediate centre of Amsterdam but centre easily accessible by 15 20 minute walk or frequent tram to Central Station Hotel adjacent to Cruise Ship Passenger Terminal and very convenient for pre or post cruise stays but rooms priced accordingly 
410642,M venpick Hotel Amsterdam City Centre, Air conditioning was working all the time Even when I was turning it off after some time it was starting to work , Great hotel in good location away from noisy city center Breakfast was really good Staff very helpfull and friendly I love pillows and bed really comfortable Hotel is eco friendly Nice view from window 
410643,M venpick Hotel Amsterdam City Centre, They offered a shuttle service to the airport but we weren t able to use it because our flight was too early It would have been nice to be able to take it instead of taking a taxi but it all worked out fine , We ate at the restaurant for dinner and the food was excellent I ordered the Pad Thai and it was the best I ve ever had and I order this at every Thai restaurant we go to The presentation of the food was amazing We had just come off a cruise and the hotel is right at the cruise port which was extremely convenient plus it was just a 10 minute walk into the city center 
410644,M venpick Hotel Amsterdam City Centre, Cost was a little high but not unusual by European standards , Great location if you are boarding a cruise ship boat Location is also very close to the central station 
