,Hotel_Name,Negative_Review,Positive_Review
151827,Madeleine Plaza, Room on the tiny side but I m guessing most rooms in Paris are, Friendly staff good English Nice area easy to walk to most tourist attractions if you have a good map Lovely place very clean
151828,Madeleine Plaza, Reqiuired to return the key to the reception and pick it up again when coming back , Very good location Close to almost everything Walking distance to many attractions and public transportation 10minutes walk to Roissy bus to and from the airpot 
151829,Madeleine Plaza,No Negative, Incredible location Walking distance to all major sights We were upgraded to a deluxe room and would pay for this if went back Amazing big room with view of eiffel tower separate bathroom and toilet Really loved it 
151830,Madeleine Plaza, Everything was fine The only thing I suggest to the hotel is to put more attention to the minibar It is very poor the selection , The room has a wonderful view to the Madeleine church A little balcony where you can appreciate the sky 
151831,Madeleine Plaza, Water leaked out of the container of the coffee machine After replacement the coffee made out of this machine was not hot enough worked insufficiently , The location was perfect just at the back of Eglise de la Madeleine I was able to shuttle back and forth for shopping Considering this location and a price this is Paris the size of the room was sufficient with a loft equipped with a third bed The breakfast was rather generous with such basic stuff as croissant brioche baguette ham cheese beverage The recepation staff was supportive 
151832,Madeleine Plaza, We love comfy bed if that can be improved it will be better , The location of the hotel was good the metro is right next to the hotel and there are lots of shops and cafe within the walking distance We could just walk to many tourist attractions 
151833,Madeleine Plaza,No Negative, Bed was comfortable sheets were clean enough space to store clothes The staff were very accommodating and friendly Would come back for my next trip to Paris 
151834,Madeleine Plaza, The room was rather small but bright and very clean Low ceiling in the bathroom not ideal for showering but clean and bright and comfortable, Smaller hotel in the city center of Paris Lovely friendly and very helpful staff Excellent hotel for the Paris Marathon Great value for money Comfortable beds 
151835,Madeleine Plaza, We stayed on a hot day in March so the heating rather than the air conditioning was on which made the room rather warm but the helpful reception staff apologised in advance and offered a fan , Great choice for breakfast Comfortable and quiet room with lovely view of the Madeleine Excellent central location with good public transport links on the doorstep Friendly welcoming and efficient staff 
151836,Madeleine Plaza, Room super small hard to put 2 luggages and less of choice for the buffet breakfast, The Location right on the downtown and shopping area view quite perfect face to the Madeline ofcourse need to pay more to get this view 
151837,Madeleine Plaza,No Negative, We had a wonderful stay in this hotel Totally friendly and polite staffs Try to make everything possible Great view at the church Very central and safe area
151838,Madeleine Plaza, Nothing bad about hotel only downside was the price of the taxi from the train station to the hotel 85 complete rip off , Great location within walking distance to all the main attractions Great if you re a shopping fan too Plenty of nearby restaurants to choose from Room was exactly as described cosy double and staff very helpful Would Definately go back 
151839,Madeleine Plaza, Not the level of a four star The bathroom was freezing cold The carpet of the room was not clean could feel hair and other stuff on it At breakfast the tables were all squeezed not enough space to sit comfortable Definitely more of a 3star hotel,No Positive
151840,Madeleine Plaza, Maybe having a socket near the bed will be great because guest can plug in their phone for charging before they go to bed , The cheese of the breakfast is soooo good and the fresh orange and grapefruit juice are fantastic 
