,Hotel_Name,Negative_Review,Positive_Review
268100,Maison Borella, We dined at the hotel s restaurant but there were many mosquitoes maybe due to summer and that the hotel is located next to Naviglio Grande but other than that no complaints, Rooms were nice and clean service was good Overall a good experience and I would confidently say a good choice if you are looking to stay near the Navigli River
268101,Maison Borella, My only complaint was we were put in a room right next to the noisey restaurant next door We were only staying two nights so I didn t complain If I had been staying any longer would I certainly would have , Maison Borella was a lovely boutique hotel in a great location Loved the decor and the gorgeous outdoor area Wandered along the canal after dinner at night and would definatey stay there again 
268102,Maison Borella, We got charged a fee for a taxi that was hailed to pay for the taxi to come to our door The cost for them to get to our hotel was the same cost as it was to drive to the place we needed to go so the fare ended up being double the cost Wish we could have hailed one off the street instead , The bed was super comfy and the location was perfect Only part of the city with the rivers still there Very much like the older city of Rome feel but with many restaurants and just a good comfortable feel 
268103,Maison Borella, We returned to our room and the door had been left open which is a security issue The cleaner had not closed the door properly We told the management There were no cups in the room to make coffee We had to ask for these and then they were supplied willingly Lighting was poor to read by , The room was adequate and the whole place was charming The location could not be better and right outside the door on the Sunday was the monthly antique market Last Sunday of the month All in all a fantastic experience 
268104,Maison Borella, Bathroom door not closing properly jamming on floor, Nice relaxed atmosphere alongside canal in an excellent location to sample a wide array of cafes and restaurants
268105,Maison Borella, Unsure about the location Fantastic with respect to my above remarks However it was a bus ride to the city centre and as we only had a day in Milan was costly in terms of time However if time was not an issue it was an interesting area to be domiciled in , Loved the Hotel Very edgy and liked the extra s such as newspapers available to read Situated in a very lively area and lots of cafe s and restaurants in the vicinity The breakfast was excellent and the staff very helpful 
268106,Maison Borella, Be careful in the shower I slipped on the wet tiles and broke my wrist Milan hospital sorted it out for me and it didn t ruin the holiday , hotel was beautiful and in a great location right on the canal with lots of restaurants and bars on your doorstep The room was a good size and bed comfortable The breakfast was lovely with lots of choices 
268107,Maison Borella, Only negative would be the hair dryer other wise everything was perfect , Delightful welcome at the hotel room was clean and a good size The property is beautiful and very authentic Breakfast was really delicious with a big selection of pasturies savoury sweet cakes fruit eggs toast etc 
268108,Maison Borella, Nothing, Amazing stay at Maison Borella All the details of the hotel are excellent best location friendly staff clean rooms charming ambiance unforgettable smell of Jasmine The morning smile of Amadou at the breakfast will make your days 
268109,Maison Borella, The hotel area can be busy crowded on Friday and Saturday evenings with people going to coming from bars , The staff was very friendly and extremely helpful The rooms facilities were modern clean and functioning Breakfast was very good Hotel has a great atmosphere about it Location of the hotel is perfect for enjoying the nightlife dinner drinks in the area Connections to public transport are nearby
268110,Maison Borella, Fresh rolls at breakfast instead of sliced bread would be nice but not a major problem , Stylish hotel in a great location The canals are VERY busy at night full of bars and restaurants and people strolling along It is not a relaxing location but as soon as you step into the hotel it is quiet with great service They serve a good range of aperitif with olives and crisps Not cheap but a real treat Lovely staff 
268111,Maison Borella, Nothing, Brilliant location in a very hip area and close to tram and underground stations to explore more of Milan Lovely airy room overlooking the canal communal areas are very stylish yet homely and it has a lovely restaurant downstairs which exceeded our expectations in terms of quality service decor and ambience A real gem all round would totally recommend for a weekend break 
268112,Maison Borella, At the arrival it was difficult for us to temporary park the car close the hotel as the street is closed for cars But calling the staff they helped us immediately and took the car to the parking nearby , Despite the hotel is located close to many bars and restaurants the room is totally quiet we enjoyed a lot Confortable bed and very clean room All staff were very kind and supported us any time We recommend 
