,Hotel_Name,Negative_Review,Positive_Review
73225,Malmaison London, There are few good choices to eat around this area after office hours and the WIFI is terrible The WIFI is via a website that drops out every minute and the capacity is third world and there is no 4G coverage either only 3G on the O2 network , Theprice was the main attraction for this property The location was a bit off the main areas and it was a 20 ride from Paddington Station where the 74 for 2 return Heathrow Express drops you from the airport So Barbican isn t the wisest choice if this is your destination from Heathrow The room had angles and posts in strage places taking up considerable space The bed was comfortable and the bathroom was satisfactory 
73226,Malmaison London, No marking with the shower choices and the temperature adjustment Bad for the business itself and inconvenient for customers , We upgraded our room It was fine 
73227,Malmaison London, The food and drink within the room appeared to be free but the prices were hidden behind the food and drink, We stayed here on our wedding night and they beautifully prepared the room with chocolate strawberries and rose petals and the option for breakfast in bed It was fabulous 
73228,Malmaison London, No problems at all, Staff very helpful Peaceful location overlooking the square Convenient for buses No 63 from Farringdon goes to Kings Cross about 13 mins Plenty of amenities nearby Tube is near too Would return Thanks to staff we had a lovely break 
73229,Malmaison London, The cook breakfast wasn t the best specially the horrible eggs , Room was excellent and quiet and Bed was so comfortable The hotel was very close to the underground good to move around 
73230,Malmaison London, We tried unsuccessfully to have a drink in the bar very slow service no draught beer ended up going elsewhere nearby , The room was comfortable had good amenities Lovely food good service in the restaurant 
73231,Malmaison London, The room was very small by the time we got our suitcases inside we could hardly move around in it The woman who checked us in also served as bell boy ,No Positive
73232,Malmaison London, We found everything very good, The very warm welcome from the staff and friendliness of the management The hotel was very quiet so we got a good night s sleep 
73233,Malmaison London, Breakfast could have been included , Amazing welcome when we arrived along with a complementary drink All of the staff were lovely and the room was great clean right temperature and good facilities 
73234,Malmaison London, We did have a bit of an issue with room service I requested two sandwiches on the Saturday night after a long day sight seeing It was 10 15pm so didn t want a big meal The restaurant manager refused this and informed us we could only have food off the Al La Carte menu This seem ridiculous that they would make us a full steak dinner but not a sandwich We expressed our dismay to the receptionist who totally agreed and rectified the situation We were served with fabulous sandwiches and fries They deducted the service delivery charge and 50 of the cost , The room was spacious and came with robes and fluffy towels The bed was extremely comfortable and pillows like sleeping on clouds Bar staff extremely willing to mix whatever cocktails you want Reception staff fabulous friendly and helpful I had mentioned we were visiting for my Daughters 21st birthday They had left her a beautiful decorated plate with her favourite chocolate brownie and a card A lovely touch 
73235,Malmaison London, Service in restaurant was a bit too slow considering it was not busy at all 3 4 other tables , Bed was excellent size and very comfortable club room Very nice decor and atmosphere 
73236,Malmaison London, Room needed a tiny bit of attention Carpet grip was exposed sink was blocked but when we mentioned it staff jumped on it straight away and we were compensated , Location rooms were lovely staff were great
73237,Malmaison London, We didn t get anythings as your description room space view from the room room decoration and etc It s just a 3 star tourist hotel Try to avoid it if your expected more than that , Nothings 
73238,Malmaison London, My room standard could have been a bit bigger But it is London and for one person it was ok, Great location nice decor Fantastic restsurant Lovely bathroom 
73239,Malmaison London,No Negative, The bed was extremely comfortable all of the facilities worked the staff were amazing and they put some honey and slices of lemon in to our room because they knew we had been to a concert and they knew we would have sore throats It was a very kind gesture and it made the stay extra special 
73240,Malmaison London, The rooms could have been a little bit cleaner around the edges , The Club Room was fantastic and the staff on Check In were amazing Came back after attending a concert to find ginger tea with honey and lemon and a note saying its to soothe the sore throat from all that singing Fab customer service 
73241,Malmaison London, Nothing The hotel and the trip was lovely all around , The rooms were beautifully decorated completely different to any malmaison ive stayed in before Staff on reception were very polite and let us check in 2 hours early without having to pay a fee 
