,Hotel_Name,Negative_Review,Positive_Review
314939,Melia Vienna, If you are traveling by car be prepared to pay 30 euro daily charge for the parking in the tower Even though the hotel has some reserved parking spots you will still have to pay and there are no other parking next to the hotel , The hotel is located in a nice highrise tower which creates stunning views of the city The 57th floor is a great place to spend your time overlooking the city The room was quite comfortable and spacious LEVEL room Couldn t find much of the English language channels but that is not of a concern The hotel staff is very friendly and prepared everything that I wished for flowers champagne Sacher cake 
314940,Melia Vienna, We waited almost 2 hours for room service after complaining to the staff multiple times When we received our food they still got the order wrong It was also impossible to call in our order as no one would pick up the phone hence we had to go to the reception to order , The rooms were very clean and the facilities are quite nice 
314941,Melia Vienna, No service Very disorganized It took 3 hours 9 phone calls and I had to go down to the reception twice to have a simple Burger to eat in my room Consolation is that I was not the only one but several guests where on line to inquire to the reception about the same very issue Ended up ordering at 20 00 and eating around 23 00, Rooms where clean
314942,Melia Vienna, We made a reservation for a stay in the bar on the top floor the same evening we arrived The lady helping us stated that the reservation was made When we in the evening wanted to go there another employee was present and he told us that there was no reservation no chance to get one while they were for days already fully booked He approached us very unpleasently If we would have known this before we would have made other arrangements Now the evening was just destroyed Back to the room then where the TV would not work I will not use this hotel again , The reception worked well and people where friendly Breakfast was very good 
314943,Melia Vienna, Where s the pool bro It was hot as hell and everyone else at this level of accomodation has pools so come on , Location and the staff are awesome the food and drink in the hotel is great with the staff being the highlight 
314944,Melia Vienna, Staff not at par with other 5 hotels not really professional at check in, Excellent price quality ratio modern and spacious room comfortable and large bed
314945,Melia Vienna, An upsell pitch from the welcoming staff Did not feel honest in the end got the same for 40eur less The parking price is high Drive 1 min out and get a public safe parking for 30 of the price , The view was amazing so were the facilities The room was spacious great design The breakfast on the top floor was that much more tasty Did I say the view was amazing 
314946,Melia Vienna, When I came for the first time I park my car in the parking but after 4 hours I discovered that I should pay 3 dolors for each hour I paid 12 dolors when I asked them they said it is better to give us the car and when you want the car inform us to prepare the car by this you will pay 30 dolors each for the paking , Kind staff but slow service I wait 40 minutes to have boiler
314947,Melia Vienna, nothing, The rooms where big and stylish The bathroom was huge with a great rainfall shower The mini bar was free and topped up daily which was unexpected The breakfast was amazing with lots of choices on offer even a waffle iron to make your own waffles 
314948,Melia Vienna, The parking cost 30 euros per day it cost us around 90 euros which was an astounding amount for a tourist to pay This is the only things that we were not happy about , Beautiful hotel The room was big and clean the bathroom excellent and the hotel is very close to the train station Would definitely recommend this Hotel 
314949,Melia Vienna, Nothing at all, Everything is extremely excellent Staff facility room and and all others The drinks and the coffee machine in the room The hotel is like a brand new in everything Very close to train station bus stop and taxi zone The view is amazing Few monites walk to the river and the new Donau beach where u can spend a good night and have a nice dinner
314950,Melia Vienna, none, I love everything of this Hotel Stunning room and view You don t need to go out to see Vienna as you can see the view from our room the best hotel so far that i stayed in I love to book this hotel again 
314951,Melia Vienna, If must say something then some staff with serious and long faces make you a little bit uncomfortable, A cool tower building with style Very new and cosy room Some staff with nice smiles 
314952,Melia Vienna, Nothing, Its a very nice decorated hotel with an amazing viwes on the river if u book a high floor room Metro is just 2 min far and u can go to downtown for less then 10 min Loved the breakfast Nice rooftop bar Comfortable bed 
314953,Melia Vienna, The interpersonal skills of the young girl on the reception for the restaurant 57 could have been better tried to book a table as we returned from a very hot day out in Vienna to be told rather judgementally as she looked me up and down that there was a dress code I was wearing shorts at the time On arriving for the meal was told that there was no booking in my name The restaurant staff at this time were very helpful and friendly and found space for us and we enjoyed a delicious meal , The staff were very friendly The room was excellent with wonderful views Clean and tidy at all times A wonderful shower Although we never had breakfast in the hotel the food we had was excellent 
314954,Melia Vienna, The bed was too hard Room was noisy Also one of the curtains could not be closed so it was light in the room at 0530 The curtain was fixed by the technician but malfunctioned again after one day , Nice bathroom nice top to bottom windows and a free minibar
314955,Melia Vienna, Room wasn t clean Had to wait in the restaurant too long for the order asked for the menu as no one offered me one Not all staff speaks English which is difficult to believe for a hotels of that kind , Great building good room nice view 
314956,Melia Vienna, Expensive breakfast fantastic shower bu cloged shower head could not use the phone to call lobby or room service , Beautiful location convenient metro access modern design courteous staff
