,Hotel_Name,Negative_Review,Positive_Review
351033,Mercure Josefshof Wien, The room was relatively small and the hotel corridors feel somewhat old From the several fire proof doors I see along the way to my room perhaps the management think there is some risk of that The bed had a dent in the middle as though they d combined two beds into one , The location of the hotel is in a nice neighbourhood with charming cafes and good local food nearby There is a theatre down the street too The staff were helpful and gave us good recommendations on what to eat The exterior of the hotel has an old school charm I reckon was an old hotel that has been refurbished 
351034,Mercure Josefshof Wien, Nothing, Good size room facing inner courtyard quiet for a city centre hotel Staff very helpful excellent breakfast Buffet with delicious strudel heaven
351035,Mercure Josefshof Wien, I didn t like people smoking in the courtyard whilst eating my breakfast it rather spoilt the hotel They should have to smoke outside the front of the hotel We were not the only ones who thought this was bad , Very quiet location
351036,Mercure Josefshof Wien, Very expensive parking no negotiation used 2 and half days paid three no welcome water and they TOLD me what I should have done what they should do this right Just be sure you understand all rooms offered on booking com are on the attic fifth floor stairs up down One elevator only long waiting, Location excellent breakfast quick check in out
351037,Mercure Josefshof Wien, Breakfast was very expensive at 18 euros a head for what was just an ordinary continental breakfast with stale rolls cold scrambled egg and burnt bacon Suggest you eat out for a fraction of the price, The hotel is located up a small side street only a few hundred meters from the Rat House Town Hall and Museum quarter The bed was very comfortable and the room although it had no view it was very very quiet for a hotel in the center of a major city The shower was wonderful and much needed in temperatures in excess of 30deg The staff were very helpful pleasant and friendly 
351038,Mercure Josefshof Wien, There is free WiFi but it is extremely slow If you need to send documents or download anything this is simply not doable Not the place if you need to do some work For a hotel of this category an excellent internet connection should be a given Yet staff was very friendly to help out with hotel PCs , The perfect location for your stay in Vienna Lovely courtyard for an extended breakfast Attractions sites are in easy walking distance Try out Fromme Helene for dinner or spend a lovely evening at Weinstube Josefstadt and join the locals for a glass of wine and some cold meats and cheese 
351039,Mercure Josefshof Wien, Even though we were in the room equipped for disabled guests the mattress was so soft that my father had trouble propping himself up from bed everytime And it made it harder to get a good sleep Very limited choice of food for room service , Clean and quiet very spacious and well equipped bathroom genuinely helpful staff Our room for disabled guests was generally well equipped except for the mattress see above 
351040,Mercure Josefshof Wien, Only had an internal view of the hotel courtyard but others may be able to request an outside room at the point of booking or so the receptionist told me , The convenient location of the property made sight seeing easy We went to the festival on Rathaus square every evening which was a short walk away The breakfast was super vast choice and in a lovely room 
351041,Mercure Josefshof Wien, The room was a bit smelly old and musty maybe smoky but we were offered to pay for an upgrade to the new part of the hotel which we chose not to do It was very clean though , The hotel staff were really helpful with recommendations and advice on travel
351042,Mercure Josefshof Wien, No tea and coffee facilities in the room , Very spacious room and bathroom with good power shower Excellent location very close to the underground Very quiet location considering so central Very friendly staff on reception for both check in and check out 
