,Hotel_Name,Negative_Review,Positive_Review
99600,Mercure Paris Centre Tour Eiffel, We only stayed for one night however we had a member of staff walk into our room at 8 am I am assuming this was housekeeping however since we were checking out in three hours we saw this as pointless and quite rude There wasn t a knock or announcement the staff member just walked in , The location is perfect The Eiffel Tower was a 2 minute walk away which meant we could sneak out before the crowds and catch the sunrise over the Eiffel Tower then go back for breakfast The staff at check in check out were fast and efficient A large selection of food available for breakfast Go down early as it got really busy from 9 am onwards The price was a little steep however in comparison to other properties available it was worth the money 
99601,Mercure Paris Centre Tour Eiffel, Rooms too small Coffee cups very tiny paper disposable cups Smells at the corridors Front of hotel full of rubbishes, Location cannot see the effel tower from the hotel but it is 2min walk to the tower Staff nice Kids under12 free buffet
99602,Mercure Paris Centre Tour Eiffel, We were left around waiting for a long time at check in and out We found reception to be without staff and you couldn t get through to reception while trying for 30 minutes so we gave up We had no hot water from 9am we last checked at 11am and still none to be told by reception that was normal We took drinks back to our room on Friday night and they were still left in the room on departure on Monday The mini bar was never refilled from Friday night over the whole weekend , The location was brilliant and the hotel was clean 
99603,Mercure Paris Centre Tour Eiffel, The view of Eiffel Tower was quite disappointed but you can see 60 of the tower , Great location Clean and useful interior Free mini bar It is modern and good hotel 
99604,Mercure Paris Centre Tour Eiffel, Everything was wonderful Perhaps there could have been more choice with room service but this is just a small observation , The rooms are very clean and beautifully decorated with comfortable beds and lovely bathrooms We had a two bed apartment which was huge This hotel has great ambience and the staff were very friendly 
99605,Mercure Paris Centre Tour Eiffel, The reception desk personal is not very professional Asked them to make a booking for a taxi to the airport and although I got a booking N the next morning transpired the taxi was not booked after all or they could not figure out which is the booked taxi company clueless We had to look for a random taxi in front of the hotel were late for the airport which with the current airport security measures it is a disaster , The location of the hotel is excellent there is a view of the Eiffel Tower it is close to metro and tram stations The menu of the restaurant is limited but the food is good and the service is good Restaurant personal is very friendly 
99606,Mercure Paris Centre Tour Eiffel, Having paid 310 per night the Duty Manager expected me to pay room service for some English breakfast tea bags that were not standard in the room but available freely in the breakfast room His reply was if we provide them for you we would have to supply 100s to other residents I was flabbergasted and bought the tea bags from a nearby shop for 3 euros Having stayed there the last five years IT WILL BE THE LAST ,No Positive
99607,Mercure Paris Centre Tour Eiffel, Almodt cero toiletries the room cleaning was not the expected Papers at the floor was found agter the cleaning , Is accesible the location is near Eiffel Tower Thats great 
99608,Mercure Paris Centre Tour Eiffel, plugged in my US converter but kept tripping room power But staff quickly found out the problem and fixed it , Breakfast was awesome The french know their pastries We got their before check in time but the staff were very nice and gave us the room couple of hours before check in time Also they let us store our luggage after check in until our outbound train Also the guy at the bar was great he made a custom drink for us that we really enjoyed Who says the french are rude 
99609,Mercure Paris Centre Tour Eiffel, When i reached hotel they informed me that the reservation is canceled and I have to show them that my booking was valid However they solved the problem, The room was very small for family and even for coubles with two big bags
99610,Mercure Paris Centre Tour Eiffel, Staff wasn t super helpful and we couldn t enter the parking lot with our driver or when we were just walking back to the property Bathroom was a separate tiny square in the room and hot with no ventilation We upgraded and I felt like it wasn t worth the extra money we spent I tried calling the house keeping to ask for missing items in our room and they never came We had breakfast one of the mornings and decided we could find better and less expensive by walking around the city to a bakery , Location was great for the Eiffel We got to watch it sparkle at night from our room which was magical 
99611,Mercure Paris Centre Tour Eiffel, The maid did not re stock the shower body wash or coffee for the room , The hotel staff were very friendly and accommodating the hotel was in a very safe and secure location with fantastic views and easy commute 
99612,Mercure Paris Centre Tour Eiffel, The room was a little cramped for two people the tea coffee making facilities were very basic no breakfast tea bags we booked a breakfast on our last day which was poor value for money and they ran out of most things, The location was amazing right next to the Eiffel Tower the staff were helpful and the room was clean the fridge in the room was particularly useful as it was so hot whilst we were there we put drinks in there
99613,Mercure Paris Centre Tour Eiffel, the staffs need to be well trained as they GAVE THE KEYS OF MY ROOM to another guest it s made me VERY WORRIED and VERY UNHAPPY that I couldn t trust leave my personal belongings in the room x I was taking my shower when the other guests opened my room door and let their self in , very good breakfast
99614,Mercure Paris Centre Tour Eiffel, The breakfast was generous but quality could be improved Coffee machine slow , Proximity to Eiffel Tower and transport Beds very comfortable Rooms very clean 
99615,Mercure Paris Centre Tour Eiffel, Restaurant manager I ordered beef carpaccio and they brought out salmon and he tried to tell me it was beef I had to get another member of staff to change it as manger just tried to walk away telling me yes it is beef then charged me 13 euro for a side of fries my actual meal was only 14 euros, Close to tour de Eiffel
99616,Mercure Paris Centre Tour Eiffel, Disastrous check in process the worst of any hotel I ve experienced Very inefficient at respecting my reservation details Very unfriendly lady checking in the breakfast guests Bathroom design is very poor leading to everything becoming wet if showering , good location
99617,Mercure Paris Centre Tour Eiffel, I found it little expensive but still its value for money, I loved the location of property only 2 to 3 minute walk from effile tower The environment of the property was peacefull clean property Staff was coperative and friendly especially reception staff brilliant Efficent management with clear goals and objectives breakfast was amazing true picture of france hospitality values 
99618,Mercure Paris Centre Tour Eiffel, The restaurant was booked for a private functions on the first 3 nights of my stay I wasn t told about this when I checked in at 3 00 only when I arrived expecting dinner at 7 00pm, Staff were very helpful they spoke excellent english the food was excellent 
