,Hotel_Name,Negative_Review,Positive_Review
324417,Mercure Wien Zentrum, The internet wasn t very fast For a 4 star hotel we would have expected better , It was properly cleaned The stuff is friendly and open for questions The Hotel is in the centre so the location is really great The breakfast buffet is also very good good coffee and a big range of food and fresh fruits My girlfriend and I would recommand this hotel for a short trip 
324418,Mercure Wien Zentrum, Air conditioning did not warm the room It was cold in the apartment , The hotel is perfectly located Most of the places of interest are in walking distance Airport is 20 minutes away by bus Breakfast is quite good and personnel is polite 
324419,Mercure Wien Zentrum, Found the hotel to be excellent having stayed in many mercure hotels in europe , I liked the clean room and comfy bed The staff were really helpful The location of the hotel was really good 
324420,Mercure Wien Zentrum, Everything else Wi fi sucks They took me to the adjacent Mercure First where the internet speed was far better Nobody is bothered about your breakfast Crowd management during rush hour really bad Staff just go through their motion Rooms are really TINY I stumbled on my suitcase multiple times Staff at the reception are least bothered about your stay never enquired about our experience while checking out Steer clear of this hotel Period , Location 
324421,Mercure Wien Zentrum, Although the brochure said room service until 10pm I asked to have a sandwhich delivered to my room at 9 44 and they said the kitchen was closed , Good location in the center but on a quiet street
324422,Mercure Wien Zentrum, Bed is not firm , Your reception people are very helpful and accommodating They provided me with packaging tape which I badly needed that I could not find from any store in the area The staff was truly a blessing at the time I needed help I did not expect them to provide the tape I needed I like taking the shower because of its strong pressure 
324423,Mercure Wien Zentrum, noise the hotel is not sound proof if they allow pets there should be a different wing of the hotel room is too small, the beds were confy the hotel was clean staff was helpful
324424,Mercure Wien Zentrum, We thought that the breakfast price was expensive at 16 euros each but I guess it would be good value if you weren t planning to eat at restaurants in the evening or sample all of those amazing cakes on offer in Vienna , Clean comfortable rooms in a great location The front desk staff were helpful in organising taxis for us and recommending a nice restaurant We thought the free walking tour on Saturday morning was really great the guide showed us places off the usual tourist paths and really brought the city to life for us 
324425,Mercure Wien Zentrum, internet speed, in the middle of city attractions close to metro stations 2 3 min Danube river and boat trip is a short walk 7 minutes walk to the hop on hop off bus station all kind of restaurants around the area taxi stop is just few steps away
324426,Mercure Wien Zentrum, Price is high but Vienna s hotels expensive The hotel on the middle of center on weekends its so noisy outside there is nothing to do people who prefer calm can be bothered , The location of hotel awesome We walk everywhere Also transportation is so easy The bed and pillow extremely soft I feel like at home room size is ok not spending time at room just for sleeping 
324427,Mercure Wien Zentrum, Elevators too slow you have to wait and the reception staff a bit slow , I like the room it was not too large but perfectly equipped and the bed was extremely comfortable The bed was wonderful The position next to Schewdenplatz metro make the location perfect to explore Wien and to reach any destination in Wien including the CAT station train to the airport in Wien mitte Breakfast excellent and relatively cheap 
324428,Mercure Wien Zentrum, Room was very tiny and noisy because it was at 1st floor Lobby is really small for a four star hotel , Situation is near to cathedral restaurants and some other amusements 
324429,Mercure Wien Zentrum, As mentioned by other reviews we weren t wild about the bathroom door sliding frosted glass partition with a hole in place of a handle, Got the Airport bus 8 Eur each one way to Morzinplatz Schwedenplatz a 2 3 min walk to the hotel Location was great 5 min walk to Stephansdom right in the centre We didn t eat in the hotel so can t comment on the food We stayed three nights and were out and about most of the time so didn t make use of all the hotel facilities Our room 5th floor was good with an excellent shower We liked the mini fridge useful for keeping milk etc in There is a Spar supermarket very near the hotel The staff were very helpful with directions info they reserved concert tickets for us as well On the last day we checked out early to go and watch Morning Training at the Spanish Riding School and were able to leave our bags securely at the hotel until we returned at about 6pm to go to the airport 
324430,Mercure Wien Zentrum, The food in the restaurant was poor My worst club sandwich in years I ve traveled to many Mercure Hotels this has nothing to do with the rest The room was small the aisle seemed claustrophobic ,No Positive
324431,Mercure Wien Zentrum, Carpet covered rooms are not healthy and unfortunately dusty and not perfectly clean, Convenient location Moderate service and personnell but price value balance is satisfactory
324432,Mercure Wien Zentrum, Old and very expensive for a Mercure Amenities are not to required standard especially for this price In addition it is right next to a very big building site that starts work at 6am I do not recommend ,No Positive
324433,Mercure Wien Zentrum, Although for one person my room had two single beds and two single blankets Free internet in the room was very slow and as basic as it gets For better speed you should pay for premium internet Even if you are a smoker avoid smoking rooms because they are quite smelly , The personnel was very polite the breakfast was nice and the location is fantastic 
324434,Mercure Wien Zentrum, Wifi was not great I advise having a 4G dongle instead , Great location and breakfast Helpful staff helped me find my passport which I dropped accidentally 
324435,Mercure Wien Zentrum, Housekeeping woke me up at 8AM not sure why they must disturb the guests that early furthermore during breakfast the service was very slow when I ordered an EARL GREY tea I had to follow up with 2 different staff members and then they brought me an Engl Breakfast tea when I asked the male waiter if this is Earl grey he literally said No this is black tea but its also tasty definitely room to improve with the staff , the room was nice the hostess in the restaurant was very nice and welcoming 
324436,Mercure Wien Zentrum, Room is not that spacious and there is no gymnasium to work out No porter service can be inconvenience for family with small children and a lot of luggages, The staff were very helpful The location is very close to the shopping places and restaurants Breakfast spread was good 
324437,Mercure Wien Zentrum, Wifi in our room was almost non existent No fitness centre although listed in the fitness centre category in the search engine, Helpful staff Great breakfast No noise at night Excellent location close to city centre and offices
324438,Mercure Wien Zentrum, Absolutely nothing, The location of the hotel was brilliant as it is so close to the major attractions You can walk everywhere and there are also quite a few good restaurants and cafes nearby The staff were wonderful and so helpful since it was my first time visiting Vienna They organised transport to pick me up from the airport The room was clean and tidy I would definitely recommend this hotel 
324439,Mercure Wien Zentrum, Hotel looks much better on pictures than in real Looks pretty cheap in real Small rooms and trash under bed , Great location Few steps from City centre 
