,Hotel_Name,Negative_Review,Positive_Review
171770,Millennium Gloucester Hotel London, Building is very old and not renovated Bathroom was very small and not so clean Housekeepers are not doing good job Some toilettes are missing B F menu should change sometime we are having 7 days same food , Location is excellent Near from underground train station and easy to go any directions Even one train from Airport B F was good selections for UK 
171771,Millennium Gloucester Hotel London, Staff particularly in bar were beyond rude I work in service industry and rarely complain as I know how hard it can be However equally my down time is important and the service and rudeness of staff was just appalling Complained bit no one cared Stayed here 4 times never again, Room is functional but plugs didn t work 
171772,Millennium Gloucester Hotel London, The bathroom required maintenance to be completed the shower didn t change fully from the bath setting to the shower head and the toilet didn t flush properly , The hotel is located centrally and only four minutes walk to the metro station there are some eating places located on the strip where the metro is located The staff at the hotel were also very kind and helpful storing our suitcases 
171773,Millennium Gloucester Hotel London, Nothing, The Staff Comfortable room Room service Great price and location Variety in the breakfast room Tunde one of the coordinators did an excellent job
171774,Millennium Gloucester Hotel London, The front desk can be more efficient with the check in process We ve been waited for like 40 minutes while there were only less than 4 people in front of us Also we got a problem in communicating with one of the reception lady I used my credit card to guarantee for two rooms and my friend who s to stay in one of the room will arrive later The reception lady promise that she will mark in the booking system for the gurantee so I don t need to come to the front desk again to show my credit card again when my friend arrived However my friend was required persistently by the reception that I with my credit card has to show up when she actually arrived pretty late on that night What s even worse is that reception lady who s promised to me did not even make an apology about her mis communicaiton That s definitely not a good impression on my arrival Other than that the stay is good , The location is great The underground station and bus stop is just around the corner and surrounded by restaurants and Tesco Though it s not in the heart of London but it s really easy to take the underground to everywhere or actually Hyde Park is just within 15 minute walking distance if you don t mind exploring by walking The neighborhood is quite and great We were upgrated to the club level The room is big and nice 
171775,Millennium Gloucester Hotel London, In my first room the air conditioning didn t work only the fan was working So I asked the reception for someone to come and see it and possibly fix it I called three times within an hour or two but no one turned up After a long wait I went to the reception and asked whether anyone was coming I was told someone would come later when I m away But when I arrived late in the evening it turned out that no one had visited my room to see what s wrong with the AC So I went to the reception again and I was given another room with apologies and that was OK no complaints here But in the new room the AC wasn t working at all the switch did not even turn on When I went to the reception again it was so overwhelmed with people checking in that there was no chance to get to speak to anyone So I gave up on further fight and since the weather was getting a bit cooler I decided to live without the AC However that s not the end of it in the new room there was also a bathroom vent extremely noisy and impossible to switch off too loud to sleep at night And finally on the next night we found a half dead cockroach lying in the bathtub Photo enclosed All in all a disgrace , Location near to the Gloucester Road station 
171776,Millennium Gloucester Hotel London, I was charged twice once on my credit card and again in cash on the day I was told my card would be refunded still waiting Wont use Hotel or booking com again,No Positive
171777,Millennium Gloucester Hotel London, Air conditioning is weak think it is affected by the spotlights which is warming up the room The light system seem to be either having two modes so either all off or on Ended had to only use the bedside light to allow the aircon to cool the room No slippers provided in the room Can get a bit noisy with the busy traffic outside but to be fair i think this is for all properties in the area, Good location next to the tube station and also a Tesco Express Friendly staff who tried their best on a busy wimbeldon week TV had option of using chromecast which is a pleasant surprise and allowed me to use it as a bigger screen of my laptop Bathroom was big and generous
171778,Millennium Gloucester Hotel London, The public rooms were lovely but the bedroom was tired the air conditioning was extremely noisy The bar staff were not friendly and also tried to tell us that we could only order large glasses of wine and that other sizes were not available this clearly was not the case, Excellent location Reception staff and concierge were very helpful
171779,Millennium Gloucester Hotel London, the male staff members were not friendly to a woman alone not really helpful only Reza the driver was delightful a lovely ride to airport I never asked for anything but I did ask to be awakened for a 12 hour tour that I had booked and I requested the wake up call from a woman Emilia at reception I never got the wake up call Very disappointing , loved the location the access to transport all forms nearby to chemists foods etc 
