,Hotel_Name,Negative_Review,Positive_Review
214921,Mimi s Hotel Soho, The room was just too small to be comfortable we had to put the small chair into the hall to fit our 2 cases into the room , Location is excellent and staf friendly and attentive The bed was good
214922,Mimi s Hotel Soho, The room was absolutely tiny claustrophobic and oppressive there was one tiny high level skylight and on the event of a fire outside in the corridor this would have made for a very unlikely means of escape reception staff were extremely defensive when asked about the size of the room and if there were any others available and shunned the fact we had used booking dot com to make our reservation , The location was perfect the hotel was smart and clean
214923,Mimi s Hotel Soho, The room was a deluxe double The only light was a small velux roof light that you couldn t open The bed was up tight to walls on 3 sides it was a broom cupboard And it s twice as big as a standard double apparently , Going home Good bathroom It had less claustrophobia than the bed room 
214924,Mimi s Hotel Soho, Nothing , Despite the Central London location the hotel was very quiet and perfectly situated for anyone like me who requires somewhere decent to stay the night after attending the late show and the late late show at Ronnie Scott s which is just a few yards away Although a little small the single room in which I stayed was spotlessly clean had an extremely comfortable bed a large television on the wall at the foot of it which I didn t have time to use and a small adjoining washroom shower that can only be described as luxurious I didn t arrive at the hotel until 9 15pm and after having a quick drink at the bar I left for Ronnie Scott s at 10 00pm and didn t return until just after 3 00am when I crawled into bed and slept like a log until my pre arranged wake up call at 10 30am A thoroughly enjoyable experience as a result of which I have no hesitation in highly recommending this hotel to anyone who proposes to stay in this part of London either as a tourist or like me as someone whose function doesn t end until long after their last train has departed 
214925,Mimi s Hotel Soho, The room was incredibly small The smallest hotel room i have every stayed in No room for more than one person , Great location and good bar downstairs 
214926,Mimi s Hotel Soho, We booked a suite But this maybe the biggest room in Mimi s but not a suite by any definition It was a smallish room with a double bed and a tiny armless chair That is it We got to the hotel 1 hour before check in The room was ready but we were told that we would have to pay an extra 40 to go in the room What the I have never come across this before anywhere in the world Fair enough if it was a few hours before but It is really noisy outside the hotel so you will need their complimentary ear plugs , Very conveniently placed Nice staff Good quality furnishings Prosecco on check in 
214927,Mimi s Hotel Soho, the rooms are really really tiny no room for a suitcase or to move around no room in the cupboard like bathroom don t book if you re claustrophobic, The bar is really cosy with a wealth of nice drinks and cocktails great barman from France The location right off Soho square couldn t be better on Frith street nice boutique feel to it great beds
214928,Mimi s Hotel Soho, No windows at the room The room is extremely small there is no place for luggage or even to move , The staff was very friendly and very helpful with any question 
214929,Mimi s Hotel Soho, This is a hotel that focuses on location first The rooms are tiny but functional Based on where you are there is little reason to hang out in your room so mostly not an issue The main complaint I had was as a tall person the bed was a little snug , The location is absolutely amazing You walk out the door and right into a sea of pubs and restaurants Just a short few blocks away and you re at Seven Dials another block and you re in Covent Garden There are several tube stations within a short walk too 
214930,Mimi s Hotel Soho, If you have a room with a window and you don t sleep well you can find the rooms a bit noisy I love the sounds of a city so no probs for me There is very little room to put your stuff away so the room easily gets messy The rooms are small but very very comfortable Despite this I will always visit Mimi s when I want to visit Soho Covent Garden etc, Everything in Mimi s is beautiful and well decorated The staff is wonderful both reception cleaning and the guys from the bar I visited Mimi s both for business and for fun and I will definitely recommend it 
214931,Mimi s Hotel Soho, Bigger room, Room was well appointed and nicely decorated but really really small It would be too small for a lot of people and definitely only for one person 
214932,Mimi s Hotel Soho, The room could have been bigger It being called a suite and the photos of it made it look a lot bigger than it actually was , Comfy bed Good shower 
214933,Mimi s Hotel Soho, The room is quite small but has everything I need Soho area is quite noisy at night It s not the hotel s fault Hotel has provided the earplug however I didn t notice until next morning as I arrived late was too tired , I like the style of the hotel very high standard The room and shower is very clean Even the hand shower gels are Molton Brown Staff are friendly the bar is nice too 
214934,Mimi s Hotel Soho, We were in a Basement windowless room and so were woken up by deliveries in the morning The bed was squeezed between two walls so access was difficult There was no power point next to the bed or nightstand or bedside shelf for water things The room also had no wardrobe or any means to hang up clothes other than one hook behind the door The lighting in the bathroom was very dark and there was no magnifying mirror Applying make up as difficult , The staff were super friendly and attentive 
214935,Mimi s Hotel Soho, The room was tiny There was no wardrobe in the room only 2 legs with 2 hangers plus 2 legs in the bathroom There was no chair to sit just a little stool We stayed for 4 nights and I d asked for a room in the ground floor as I ve got a back problem I booked in February we stayed in July but they couldn t accommodate that one request The lack of amenities in the room made me think that it was a room that they should allocate for single day night bookings certainly not 4 nights Most of our clothes had to stay in our suitcase as there were only 2 hangers and 2 hanging pegs There was no iron to use and because the room was so small we had to keep the suitcases on top of a dressing table a dressing table that had no mirror to use while I did my makeup so I used the bathroom for that which meant my hubby my hubby had to wait until I was finished to have a shower because you can t do makeup using a steamed up mirror There is a full length mirror in the room but the lighting in the room was very dim to add a sexy vibe to the room I suppose but it would ve been nice to have the option of having a bright light too esp as the one window we had was tiny The light dimmers by the bed were very temperamental There s only one bedside table This is because although the bed is very comfortable and a great size it was pushed against the wall with the window great fun trying to open and close the curtains so one person always has to climb over the other to get out We ended up moving the pillows to the wall so that we could get out easier but the bed is also very high and both my husband and I found it a challenge to climb into and get off of We both left with sore backs One more thing We decided to have a drink at a table outside so we ordered 2 rhubarb gin and tonics We were charged 29 This is daylight robbery , I love the location and the way that the place is designed and decorated The mattress was very comfortable and the size was excellent The TV was fab very big and a huge choice of channels The WiFi is free too which is a nice bonus The molten brown items in the bathroom are a nice touch and the scent used in the hallways is beautiful I loved that The staff were very amenable too 
214936,Mimi s Hotel Soho,No Negative, Phenomenal location well appointed rooms with top of the line sheets and towels Rooms were also very quiet which is nice for being in the heart of things four doors down from Soho Square 
214937,Mimi s Hotel Soho, The size of the room came as a bit of a shock we knew we had booked one without a window but snug was putting it mildly Okay for one night but not for longer , The quality of the contents of the room were of the highest standard We were not happy with our initial room below ground but it was altered to a 3rd floor one with no fuss 
214938,Mimi s Hotel Soho, The rooms are not over big but it s clearly stated in the booking process As you are staying in Soho there can be some noise from the streets from late night revellers , Very cool and stylish boutique hotel excellent location Incredibly friendly helpful and accommodating staff Very comfortable beds 
214939,Mimi s Hotel Soho, Maybe another pillow would have been good, Bed was very comfy although just one pillow My room didnt have a view and was very small but i knew that just be aware no where to store more than one small bag 
214940,Mimi s Hotel Soho, the roqomwaqs tiny and had no tea or coffee making facilities within the room, the decor was excellent and overall the the hotel a elegant boutique feel
214941,Mimi s Hotel Soho, Paid 145 for one midweek night but no breakfast included , Location ambience decor shower pressure high quality of everything Room size was small but very well designed and finished Did not have much luggage so small size did not bother me 
214942,Mimi s Hotel Soho, I can t think of anything I didn t like , Despite the Central London location the hotel was very quiet and perfectly situated for anyone like me who requires somewhere decent to stay the night after attending the late show and the late late show at Ronnie Scott s which is just a few yards away Although a little small the single room in which I stayed was spotlessly clean had an extremely comfortable bed a large television on the wall at the foot of it which I didn t have time to use and a small adjoining washroom shower that can only be described as luxurious I didn t arrive at the hotel until 9 15pm and after having a quick drink at the bar I left for Ronnie Scott s at 10 00pm and didn t return until just after 3 00am when I crawled into bed and slept like a log until my pre arranged wake up call at 10 30am A thoroughly enjoyable experience and one I will be repeating in a couple of weeks when I m staying there again to attend a further late show and late late show at Ronnie Scott s I have no hesitation in highly recommending this hotel to anyone who proposes to stay in this part of London either as a tourist or like me as someone whose function doesn t end until long after their last train has departed 
214943,Mimi s Hotel Soho, The small rooms We booked a window room but were told that none were available on check in, VERY small rooms you dont want to spend much time in room but in the middle of SOHO why would you Good place to rest your head for the night
214944,Mimi s Hotel Soho, Our room was good beautiful deco but it had no windows , Staff was particularly helpful the room was ok with a great bathroom The location is just perfect 
214945,Mimi s Hotel Soho, Room was very very small despite being the lux suite having no windows and been that small it was rather claustrophobic to say the least , staff were friendly
214946,Mimi s Hotel Soho,No Negative, The position in soho was brilliant Easy walking distance to everything Great coffee at flat white which is just around the corner Staff were absolutely brilliant couldn t be more helpful and charming Room was so cozy and the shower was the best rainfall shower ever 
214947,Mimi s Hotel Soho, Everything is small not just the room bathroom but the bar eating area reception etc No pastries available at breakfast they hadn t arrived yet , Great location Good quality finishes to everything Room temperature control appeared to work brilliantly with no noise Comfortable bed 
214948,Mimi s Hotel Soho, Rooms a little small but not a problem also paint is quite dark red so visually makes the rooms smaller but again not a problem we will be back, Very comfy beds nice bar quiet room
