,Hotel_Name,Negative_Review,Positive_Review
201694,My Home In Paris, No tea and coffee maker tea or coffee from the machine in the lobby was charged full restaurant price , Stylish interiors super bed very quiet Great shower Nice lobby and breakfast area All very new and well designed Good location close to metro Breakfast looked great although we did not book with breakfast 
201695,My Home In Paris, Nothing of note This is a small family run hotel with simple but well done facilities , Extremely friendly Quiet calm and tasteful small hotel in excellent position Simple but good breakfast elegantly presented 
201696,My Home In Paris, The hotel manager was not happy that we didn t want to eat breakfast in the hotel 15 Euro person it was our first day in Paris and we wanted to go out and explore and eat in a Parisian cafe We ended up eating breakfast there one morning because the manager basically told us we were rude for not eating breakfast there after they upgraded our room from Classic to Deluxe for our anniversary stay The Deluxe Room was quite small so I am sure the Classic Room would be even smaller For perspective there s just enough room to stand in the restroom between the shower and the toilet and the vanity sink is right next to the bed Our room faced the street which had several bars around it there were people talking yelling and laughing in the street until 0300 in the morning which made for difficult sleep I saw several people rate this as a 4 star hotel but this is not comparable to a USA 4 star hotel in my opinion , Lovely furnishings metro stations all around numerous bars and cafes within walking distance grocery store on the street corner umbrellas if needed during a rainy day Bastille Place and Bastille Opera House is about one mile away which is easily walkable or even easier by metro train If you re up for a 1 5 2 mile walk you can get to some absolutely incredible bread cheese wine chocolate and macaron shops 
201697,My Home In Paris, Breakfast was 15 EURO s for a section of pastries cheese and cold meats If you take a 2 minute walk you can get the same for 5 EURO s The room was very nice but there was no desk not great if you are travelling on business, The d cor and general feel about the hotel was great The owners have obviously put a lot of effort into this The location was good very close to the Metro and only a 5 minute walk form a decent choice of cafe s and restaurants The internal courtyard was a very nice peaceful place away from the busy city
201698,My Home In Paris, We loved exploring the area a new neighborhood for us in Paris as we have not stayed in the 11th arrondissement previously We really liked that the neighborhood didn t feel heavily tourist it felt like a very residential area If someone has not pervasively been in Paris this may not be the ideal area to tour from although we found the transportation very easy from the hotel to everywhere we wanted to go the Louvre St Germain The Marais , The hotel is meticulously clean and well cared for The design is beautiful and the team there is absolutely lovely Liz was wonderful and allowed us to see different rooms so we understood the categories and all the rooms were absolutely perfectly designed and very functional We enjoyed breakfast at the hotel as well There is also a lovely outdoor area to relax in on nice days 
201699,My Home In Paris, Towels could be newer Bed linen also not as clean as one would like when we first opened it there were a few hairs around Breakfast could improve if serving natural juice not tropicana , The bed was very comfy and we slept very well Our room was on the 1st floor with view to the internal patio which made it very quite and it was a great size The breakfast was great lovely bread choice of fruit and the room they serve it is lovely with glass ceilings Cristina was extra helpful and super welcoming Location is also fantastic very close to the buzz os Marais many restaurant options Plus it is a 15min ride to Gard Du Nord 
201700,My Home In Paris, Bathroom was extremely small Room very small Breakfast was average Desk staff couldn t speak English so very hard to get any assistance , It was clean bed was comfortable 
201701,My Home In Paris, I picked this restaurant on the basis of two key points A bathtub and a good breakfast There is not a single bathtub in the entire hotel even though its advertised as such on booking com When I complained I was told by the check in desk that bath means shower and when I argued that she is incorrect she dismissed my point saying that she is right The breakfast was different cuts of ham which both my wife and I do not eat cheese selection breads and cereal No variation and no hot cooked items , Comfortable room at a good location The receptionist was describing the tourist spots for some customers and she seemed to give them excellent advice 
201702,My Home In Paris, Couldnt fault the hotel at all to be honest , Whole experience of the hotel was wonderful The staff were lovely Room and bed was great super comfy and spotless Very easy to relax in this hotel 100 precent would stay again Loved it 
201703,My Home In Paris, Was great no negatives , Fantastic rooms wonderful showers great location 3 mins walk from Metro and a great Metro line 4 stops to Gard Du Nord and 7 or 8 stops into the centre with no changes cheap supermarket nearby for water and snacks We also had inter connecting rooms which was great for our daughter to be close but not too close 
201704,My Home In Paris, The patio area is lovely but they have two rooms on level with the patio so you feel you have to talk in hush tones or not at all , Hotel was lovely very clean and lovely helpful staff easy to visit sites from This is a quite hotel no bar although you can order a drink and tea coffee available at a charge breakfast continental not a lot of choice though room was very spacious with matching decor and spotless the only fault with room was only 1 mirror in bathroom and no long mirror no good when you have two women fighting for mirror ha would definitely stay here again 
201705,My Home In Paris, Location was short walk from sights approx 15min from notredame but wasn t a problem for us may not be perfect for some other people but I would definitely stay again, Great room and accomodation and breakfast Friendly staff
201706,My Home In Paris,No Negative, Loved the breakfast and the cozyness of the decor The big rooms but most of all loved the way i was treated by the hotel staff They were extremely nice Very good service for the money It was always nice to come back from the busy Paris and have a quite place to relax 
201707,My Home In Paris,No Negative, THE BED WAS AMAZING As was the coffee served by our friendly host at reception What helped a little was their understanding of English as well as our French was very basic 
201708,My Home In Paris, Rooms could have been slightly bigger but it worked well and we were extremely happy with our stay , We spent the weekend walking all over Paris and the hotel was perfectly situated from our perspective 30min walk from the Louvre and about 45mins to Montmartre on foot Lots of fantastic restaurants in the vicinity and we found one called L Epouvantail which we could not recommend highly enough about 15mins walk from the hotel near Place des Voges The hotel itself was small but very well presented Our room overlooked the central courtyard and was extremely quiet and we slept very well We also loved the fact that it was close to the canal which meant we could go running first thing before breakfast which was a continental affair only but with very good produce we loved it 
201709,My Home In Paris, Bedroom was small and maybe two bottles of water daily would be appreciated Breakfast could have been more extensive , Lovely bar breakfast area Very pretty place settings for breakfast Helpful staff Beautifully decorated 
201710,My Home In Paris,No Negative, Went for New Years Lovely place cosy and beautiful lovely and very helpful lady at reception and same for the young gentleman in the evening could not say a single bad thing about the place or the staff had a lovely time 
201711,My Home In Paris,No Negative, I booked this hotel as a present for my daughter and her boyfriend They were made to feel very welcome by the lovely staff The room was comfortable and clean and they loved the breakfast They were able to walk to do their sightseeing and found nice restaurants nearby Would highly recommend 
201712,My Home In Paris, Nothing , 2 minute walk from the Oberkampf metro station and from there you can take all connecting metros around Paris which is Eur7 50 per day and another Eur1 90circa to Disneyland Room was super clean we couldn t complain Hotel staff were so polite nice and helpful I will go back in here in a heartbeat 
