,Hotel_Name,Negative_Review,Positive_Review
427257,NH Amsterdam Schiller, Everything was great albeit a little pricey , The hotel s location was excellent and the look of the hotel was great loved the atmosphere of the hotel and surroundings Would definitely stay here again if I was to visit Amsterdam again 
427258,NH Amsterdam Schiller, The hotel does not have air conditioning and we must open the window but the outside of the hotel is very noisy until 04 00am Finally we can not sleep very well and when open the window is also not safe for the children, I d like the location only
427259,NH Amsterdam Schiller, Very hot and noisy rooms When I asked for a double bed not twin I was told as I booked through Booking com I don t get a choice Rude and unknowledgable staff in the restaurant and bar , Nothing was to standard for the price 
427260,NH Amsterdam Schiller, Room was an attic room which was way too small and did not have air conditioning although a fan was provided There was one window that you couldn t get at to open while to open the other you had to stoop very low There was a burn mark caused by a hot iron in the carpet and though bathroom was also tiny it was adequate The room was not the room I thought I had reserved and when I mentioned this to the Receptionist I checked in with she said they were fully booked and could not give me an alternative room The hotel in general was very tired looking and in need of a good makeover When asked on checking out if I enjoyed my stay Iinformed the receptionist on duty of my overall disappointment and they offered me a taxi transfer to the airport which was appreciated Overall though a very disappointing hotel in an excellent location , Location
427261,NH Amsterdam Schiller, I had requested one soft mattress and one firm when booking I mentioned this on check in but the receptionist was so disorganised it took 15 minutes to check in although I had booked weeks before I don t think she understood Then she said it would be possible and they would see to it Then I had a call to say it was not possible So I got in touch with housekeeping and requested extra duvets over the mattress which made the bed a little softer but it was uncomfortable for me all three nights My wife was OK with her firm bed Bizarrely the restaurant is not available from about 7 00pm onwards as a TV current affairs programme is broadcast from there daily Actually it didn t matter to us as the notable art deco interior of the room has been ruined by the recent addition of banks of bright neon lights quite scandalous The bathroom was very antiquated it s a long time since I have seen an overbath shower with a plastic curtain If the enormous 1940 s radiator with exposed pipework had been removed there would almost be room for a proper walk in shower There were no toilet rolls only a tissue dispenser There was no air con and the fan provided did not work The lift probably dates from the 1940 s as well I will take only 4 people at a pinch and the door has to be opened manually Frankly for an hotel with this rating it is well below expected international standards Although the remaining art deco features are well worth seeing and the location is good there is very little else that is positive which can be said , The location is good 
427262,NH Amsterdam Schiller, I needed to print my boarding pass for my journey but the facilities were a bit primitive Staff were helpful and friendly though Had originally booked a single room but found it too cramped and being on the top floor it was very hot Fortunately they were able to give me a upgraded room by paying a bit extra , The breakfast was excellent and the location was perfect
427263,NH Amsterdam Schiller, It was quite noisey at night but was expected Rooms also got very hot at night which made it uncomfortable to sleep , Location Staff very friendly and helpful Very Clean Great breakfast and bar 
427264,NH Amsterdam Schiller, The hotel bar was out of bounds during our stay owing to a TV program being made there We chose the hotel because as a big group we thought it would be a convenient place to start and finish so everyone could meet The closure of the bar caused problems as other bars nearby were crowded and noisy places to wait while everyone got together Had we known this we would have chosen another hotel , Desk staff were friendly and helpful The hotel was well placed in a square for bars and nightlife 
427265,NH Amsterdam Schiller, The hotel was quite tired and a bit dated in parts They filmed a tv chat show in the restaurant in the evenings and so the area was quite worn out The disabled access was through a side service entrance which was not ideal , The location was good
427266,NH Amsterdam Schiller, The couch needs loose covers Cleaned it myself after day 2 with baby wipes The loo flush was blocked took several flushes each time used , In the centre of Rembrandt s square Music playing happy laughter Our view was special Room serviced each day A welcome courtesy drink in the foyer free to guests perfect to cool down after a day seeing sights 
427267,NH Amsterdam Schiller, Room 602 which I was allocated as a superior room was quite dark and claustrophobic due to it s peculiar shape and limited window area I changed rooms after 2 nights The new room was much better , The mattress was the most comfortable I ve ever experienced in a hotel 
427268,NH Amsterdam Schiller, The general hubbub of the Square is bearable and the ear plugs help But on one of our nights the beating of drums in the square at 2am hard to turn a deaf ear to would have had Rembrandt turning over in his grave , 29th May 1st June A character hotel on Rembrandt Square where you can feel the throbbing vibrant heartbeat of Amsterdam City It is very centrally located from where you can either meander round the canals or wander off to some of the major sites Royal Palace Dam Square Anne Frank s House Old Church Rembrandt s House Rijksmuseum We had a lovely room on the 6th Floor with great views over the Square and City Thank you to the staff at RH Schiller for making it a very memorable holiday for us 
427269,NH Amsterdam Schiller, We didn t realise that Rembrandtplein was a party place at night It was really hard to sleep the first night due to revellers outside , Loved the hotel and staff 
427270,NH Amsterdam Schiller, Due to the age of the hotel the lifts did not operate very well One of the 2 lifts broke down during our stay , the staff were welcoming the breakfast served at the restaurant were excellent so were the waiting staff the location is very convenient for trams and within walking distance to the central train station and other facilities I like the design of the hotel especially with the artwork and deco All in all an enjoyable stay at the hotel 
427271,NH Amsterdam Schiller, The bathtub was uncomfortable I much rather have a shower The toilet paper dispenser seemed a cheap device to save on toilet paper , It was a good size room with a view to lovely private gardens Good light to read on 
427272,NH Amsterdam Schiller, Forgot to put towels in room had to wait 20 minutes dripping wet for them Don t really understand customer service Assistant Director Miri Schuurman didn t seem very concerned about the situation Should have offered to do more to assure our satisfaction I found him to be quite arogant , LocAtion was central to city Nice large room but very outdated and worn looking Furniture was quite inexpensive and cheap 
427273,NH Amsterdam Schiller, I didn t lik the bed I were given single bed and they joint in from middle That s was not comfortable for me to sleep, Outstanding location and tram station is opposite to hotel soo your travel is very easy and hotel is surrounded by bars so it was amazing it s a center of city Rooms were big very much comfortable I would love to stay there again Services are too good Staff were very much helpful and friendly
427274,NH Amsterdam Schiller, The room got a little warm and whilst this was okay for us because we were at the back and were able to open the window I imagine those who felt uncomfortable with having their windows open at night would perhaps struggle with the heat of the rooms , The hotel was in an amazing location Initially was put in a standard room with a twin bed when I had actually booked a superior room with a double bed When I went to enquire at reception about this the staff went to great lengths that I received the room I paid for There was friendly and welcoming service throughout the entire trip and the hotel itself had beautiful old fashioned features mixed with modern and clean interior in the rooms Furthermore I read reviews regarding it being too noisy at this location however I had no personal experience of this Couldn t hear anything from the room we stayed in on the back of the hotel and they also provide ear plugs in the rooms Couldn t have asked for much more 
