,Hotel_Name,Negative_Review,Positive_Review
468018,NH Barcelona Stadium, The price of breakfast was expensive the restaurant in evening it felt like staff didn t want to serve so we went elsewhere , The cleanliness of the rooms were excellent and the whole hotel Staff also tried there best to help you as much as they could with information 
468019,NH Barcelona Stadium, There was a certain smell when the room was not A C ed for a while for instance when I entered it at the end of the day The sound isolation of the other rooms is rather poor , Clean and modern room 
468020,NH Barcelona Stadium, The staff were not very friendly, It was an excellent location right near the Camp Nou Stadium It was also close to a metro station which was helpful the next morning 
468021,NH Barcelona Stadium, Nothing to register Gym could be bigger but ok for a quick sweat , nice staff great breakfast and good location especially if you are going for a match at the Camp Now right on its doorstep Nice little pool at the rooftop for warm days 
468022,NH Barcelona Stadium,No Negative, room was lovely nice big double bed and bathroom was clean and modern much like the room Would definitely stay there again as we had no problems and staff were always willing to help 
468023,NH Barcelona Stadium,No Negative, Very clean and modern we choose it because we were going to watch Barcelona fc it didn t disappoint 2 min walk to nou camp could see stadium from our room
468024,NH Barcelona Stadium, The room I got would a bit small if you are there for leisure and or long stays but was good for a quick business trip , Great location if you work or visit in the Nou Camp Sports Complex which was my case Palau Blaugrana just in front of the hotel Good clean rooms Good bathroom with decent amenities Friendly staff Fluid check in and check out Helped me to book a taxi in advance to the airport in the wee hours 
468025,NH Barcelona Stadium, Whilst the shower was good an actual bath would have been nice , Bed was really comfortable Bathroom was great with a good shower Excellent choice of breakfast items 
468026,NH Barcelona Stadium, Free wifi was a bit slow however there is an option to subscribe to a business wifi Breakfast didn t include any vegetables , Clean room comfortable bed roof terrace hotel is very close to FC Barcelona stadium
468027,NH Barcelona Stadium, The pool was closed as it was a visit in January The surrounding area lacked some decent restaurants and evening entertainment , The hotel was clean and very well placed for the purpose of my trip to the Nou Camp It was modern and well presented The staff were extremely helpful 
468028,NH Barcelona Stadium, No provision for electric kettle in the room to make tea coffee Internet can be a bit slow , Good sized room with a balcony good views of Barcelona from the terrace 
468029,NH Barcelona Stadium, The location of the hotel there s not many things around like restaurants etc although it s 5mins from Barcelona football stadium and 2mins from metro station, The hotel rooms were tidy good value for money very friendly staff
468030,NH Barcelona Stadium, worse service ever they stole my bag inside the room no manager to complain worse and unqualified receptionist would never ever go again , nothing good about this 
468031,NH Barcelona Stadium, Booking com and the NH hotel staff were not helpful in resolving the duplicate booking we had We only received confirmation for 1 booking but got charged for 2 ,No Positive
468032,NH Barcelona Stadium, Could not fault it , Beautiful room and view Great shower Very comfy bed Supermarket next door Restaurants and bars close Very close to Nou Camp Stadium
468033,NH Barcelona Stadium, the hotel was classified as 4 star We felt that it was lucky to be 3 star , The staff were very friendly and helpful It was close to Barcelona Stadium and although it was not close to the city it was easy to catch a bus into the city centre 
468034,NH Barcelona Stadium, personally I felt that it was not worth for the money what they are charging It was showing that it was 4star hotel but corridors was not that clean and bad smell was coming from some areas of the hotel, Break fast menu was good
468035,NH Barcelona Stadium, Nothing was wrong , The breakfast was fantastic A lot of food The people help us with everything we ask Nice view from The stadium of Fc Barcelona We will Come back
