,Hotel_Name,Negative_Review,Positive_Review
456647,NH City Centre Amsterdam, Ridiculous slips being posted under the door informing us we were coming close to the limit on more than 1 occasion Spending that much money on a hotel room for 3 nights I would not expect to have to be insulted that much , Excellent hotel in general lovely room and great staff Very clean and fresh in a beautiful area 
456648,NH City Centre Amsterdam, The only issue I had was that myself and partner had to have twin beds rather than a double bed When I asked for a double bed nothing was available, Just the right hotel for a city centre hotel would recommend to anyone
456649,NH City Centre Amsterdam, Be careful about the superior view facing rooms being advertised They are very small with a queen bed and if u r carrying 2 to 3 pieces of luggage just not enough space I had to change my room once i saw them which costed me more , Nice Restaurant with good breakfast spread Nice Location 
456650,NH City Centre Amsterdam, Very limited tea coffee milk Mini bar fridge was locked so couldn t put your own water in to keep it cool , The room was clean and adequate hotel staff polite 
456651,NH City Centre Amsterdam, The staff were very unflexible I was travelling with 2 children and had inadvertently omitted to include their room in the breakfast package The staff would not change this so we ultimately went out every morning for breakfast and my package went unused Also the bar restaurant in the lobby seemed to close whenever it chose to ,No Positive
456652,NH City Centre Amsterdam, if your carrying heavy luggage In my case beware you have to carry them up a few stairs which was not easy at times The taxi driver didn t even lift them up for us , i loved that it was walking distance either to the city or the coffee shops Everything is close by there is no need to take the big bus and tour around Amsterdam 
456653,NH City Centre Amsterdam, bacon was to greasey air freshner being sprayed in the room 310 coughed all night had to change sides of the bed with my wife as the air freshner had been sprayed on the curtains NOT good for some people with allergies, rooms 310 410 nice size rooms nice bathrooms
456654,NH City Centre Amsterdam, They are several steps up to the main reception and it was difficult to lift our luggage up , Staff was super friendly and helpful Beds were very comfortable and large Breakfast had large selection of food 
456655,NH City Centre Amsterdam, We stayed for one night only Slightly expensive for a one night stay We paid 250 euro for a double standard room Check in 3pm , Location is great and staff are really helpful and friendly apart from one female receptionist who was grumpy And unwelcoming Wifi is really fast
456656,NH City Centre Amsterdam,No Negative, The breakfast is amazing their staffs are friendly and helpful Specially one of their staff SRI gave really good service to us Share the information about Amsterdam even she guide us to some places near by her place I feel like home during our stayed Thank you Sri thank you NH City
456657,NH City Centre Amsterdam, The fact you have to pay another 100 euros when you arrive for a security deposit and it s still not been put back in my bank yet , Shower was lovely and bathroom reshrenshing
456658,NH City Centre Amsterdam, Very tiny room but I suspect this is typical in Amsterdam , The five flies restaurant next door should not be missed It was stunning and delicious The hotel was also beautiful The location was perfect It was very easy to get everywhere on the tram The tram to convention center was only a few blocks away The neighborhood was fun and lively with many good restaurants nearby 
456659,NH City Centre Amsterdam, Our room was very small and was nothing like the photographs on your website This should have been a single room we had to move the bedside cabinet before we could open the wardrobe door we were only staying for one night but still needed to use the wardrobe We found this most unacceptable as the room was not big enough to have spare items of furniture init , The hotel was great good location good facilities and excellent breakfast Our room was clean and the bed was comfortable 
456660,NH City Centre Amsterdam, Whats not to like , Breakfast buffet was great included champagne strawberry and served until 11o clock which was great after a late night however the hot choice became more limited the nearer 11 it got Very central location for most things and lots of restaurants on the same street if you didn t want to go into the centre of the city but it was a bit noisy at night if your room is at the front of the hotel 
456661,NH City Centre Amsterdam, BELLBOYS, Most of all the warmth welcome and help receive by Henk working at the front office He was able taking in consideration that we are elderly persons to bring our suitcases to our room MISSING FOR SURE BELLBOYS
456662,NH City Centre Amsterdam, The check out was slow and disorganised When customers complained about the three desks having lines of 4 long the harassed staff replied with uncharacteristic bluntness As with many Dutch properties my bathroom smelled of drains , Great location in a generally well run hotel Clean and friendly They warn you that the rooms are small 
456663,NH City Centre Amsterdam, The bathroom is quite spacious but it s not easy to have a shower without water splashing out beyond the glass shower screen , We had a spacious triple room our adult daughter was staying with us The room was simply but attractively furnished and we enjoyed the city views from our 4th floor window We also enjoyed the varied breakfast offerings This hotel is really conveniently located close to canals shops cafes restaurants bars etc and it was easy to access using public transport The members of staff are pleasant and helpful and we were very comfortable here 
456664,NH City Centre Amsterdam,No Negative, Perfect location staff was really friendly and helpful Breakfast was delicious with loads of different choices Will definitely be back Really great hotel 
456665,NH City Centre Amsterdam, The up selling of a canal view room was pretty aggressive I had to decline many times Even if you want it I recommend declining until they offer you a discounted rate at the desk I believe it went from a EUR 40 down to EUR 15 a night Regardless we opted for a quiet room with no view and it truly had no view as expected but it was also at one end of the hotel so it was super quiet , The property looked newly remodeled Our bathroom was clean Our bed was comfortable 
456666,NH City Centre Amsterdam, The superior room 115 was so small we had no bedside tables I could not see the tv from my side of the bed though my husband could Only one power point so we had to ask for an extension as my husband uses a sleep apnea machine On the first day we went out for the whole day and came back at 6 15 to get ready to go out for dinner but our room still had not been made up , Good location
456667,NH City Centre Amsterdam, The looks of the room was white and sterile looking I was sick and they sent a terrible doctor to my room for 150 00 cash I later found out there was a clinic right across the street, The breakfast was good
456668,NH City Centre Amsterdam, HAVE TO CARRY LUGGUAGE UP FEW STEPS TO REACH THE LOBBY A HASSLE FOR LADIES AND OLS FOLKS, WALKING DISTANCE FROM CENTRAL STATION ABT 10 15MINS SUPERMARKET ALSO WITHIN WALKING DISTANCE TRAM STATION NEARBY 
