,Hotel_Name,Negative_Review,Positive_Review
419699,NH Collection Amsterdam Barbizon Palace, The customer service was awful The front desk and concierge were not friendly On the day we left we had a gentleman at the front desk who checked us out I believe his name was Stan was the only member of the staff we had interaction with who was outstanding in his customer service , Great location 
419700,NH Collection Amsterdam Barbizon Palace, Everything was perfect , The location was amazing The staff was so kind and cooperative While room cleaning they misunderstood our Baby s feeders as trash and disposed them off When I complained at the reception they made sure they replaced them with new ones the next day itself The gesture touched our heart Breakfast was really good
419701,NH Collection Amsterdam Barbizon Palace, Delayed check in due to someone paying extra for late check out They had my email and mobile and could have easily let me know in advance Offered an upgrade but when I asked if it was free they said the hotel was fully booked 10 mins later was told they could do a free upgrade after all Upgraded room wasn t as nice as the room I paid for, Room was nice
419702,NH Collection Amsterdam Barbizon Palace, The window was open when we enter the room which filled the room with the smell of weed coming from the street I wish they did not leave the window open , Great breakfast friendly staff clean room spacious room and bathroom 
419703,NH Collection Amsterdam Barbizon Palace,No Negative, Central location of hotel Breakfast buffet selection had impressive variety loved the full fat yogurt and curd smoked salmon and mackerel sausage and the refreshing avocado Pastries were irresistible Concierge very approachable Stan of the front desk exemplary epitome of customer oriented demeanor 
419704,NH Collection Amsterdam Barbizon Palace, Actually I do not have things I did not like in this hotel only if can be better Although the location is really strategist still in city centre and most excursion tour depart point is just in front the hotel but it will be more perfect if can be more central for 1mile more However this won t be a problem since can buy tram tickets package or if you like to walk around like my partner and myself The walks in city centre is enjoyable, There are lots of things I like there from the fact that the hotel check out can be extended till 6PM really great breakfast comfortable double bed spacey room very helpful and friendly concierge nice and fancy toiletries including spacey bathroom nice rain shower and heater towel rack elegant lobby location that nearby main train station yet it s not noisy nice fitness facility 
419705,NH Collection Amsterdam Barbizon Palace, No dental kit or razor in the room, The artwork on the wall so inspiring View of Amsterdam Centraal from my room Very friendly and helpful staff Free speedy Wi Fi
419706,NH Collection Amsterdam Barbizon Palace, Breakfast was expensive But good little cafes nearby which were good value, Staff were very helpful and attentive Position was great being so central and close to all the city tours We had a large room with lovely views with plenty of natural light Very enjoyable stay
419707,NH Collection Amsterdam Barbizon Palace, Nothing we didn t like , The reception staff are extremely welcoming nothing is too much trouble for this hotel Great to be amongst such a busy part of the city and coming back to a room of sheer silence and comfort 
419708,NH Collection Amsterdam Barbizon Palace, It has a modern and clean interior but is lacking in warmth Its design is a bit clinical I stayed on the first floor 2nd floor is US English and would have prefered stairs to the elevator , Perfect location access all night Nice open and comfortable lobby to wait for friends 
419709,NH Collection Amsterdam Barbizon Palace, Air conditioning was VERY POOR We were moved to another room after sweltering for a night but that was not much of an improvement either , Perfect Location and nice clean rooms 
419710,NH Collection Amsterdam Barbizon Palace, the sheets weren t replaced the room wasn t cleaned only ordered , the room was ordered twice a day the location was great close to the central station and to the city center
419711,NH Collection Amsterdam Barbizon Palace, Ofloading luggage at the hotel happens in a very busy street , The position to Amsterdam s tourist attractions was perfect The accomodation was very comfortable 
419712,NH Collection Amsterdam Barbizon Palace, The elevators aren t in good operation They are moderately new but the mechanisms of doors are presenting failures it even closed over my boy after fully opening for us to leave the elevator I knew by staff that they were addressing repairs in the elevators , NH Barbizon Palace is very close to Centraal Station which makes easy to reach by traveling by train This same station is the end point of several tram lines in the city so it is very easy to get transport to anywhere in the city The hotel place is in the center of the city very close to all the agitated life of Amsterdam you ll find everything close The bedroom was nice clean and suitable for us The bathroom was full of space modern and very clean We ve got the breakfast is the office which is quite expensive in my opinion but it is a very nice buffet with lots of options and very good quality products All the team in the hotel is very gentle special mention to the concierges Check in and out were quick and straight forward no complications at all 
419713,NH Collection Amsterdam Barbizon Palace, Nothing, Very clean comfortable nice staff good location The perfect place to stay in Amsterdam Our room was quiet and we couldn t hear anything from outside The bed was huge and super comfortable 
419714,NH Collection Amsterdam Barbizon Palace, It s probably a bit overpriced Yes the hotel is lovely and very fancy and all that but we paid around 200 euro per night but our room was kind of small Thats the only negative thing i could say everything else was excellent , Very comfy Very friendly staff Rooms were lovely with robes slippers etc Amazing shower Minibar was great Great bed 
419715,NH Collection Amsterdam Barbizon Palace, Everything was perfect, The location is amazing You can t get lost at night even if you get high or drunk The hotel is right next to the central station and within a walking distance from most bars coffeshops The staff is also very friendly super helpful and always meet you with a smile 
419716,NH Collection Amsterdam Barbizon Palace,No Negative, Location was central easy to get to trains planes buses trams and boats Stylish room clean and well serviced Friendly helpful staff Close to all the trendy cafe s and restaurants 
419717,NH Collection Amsterdam Barbizon Palace, The rooms where very noisy as they where next to the canal and street One room still had stall cigarette smells These rooms would have been perfect if they had double glazed windows fitted , We did not eat at the hotel The rooms where clean comfortable and spacious 
