,Hotel_Name,Negative_Review,Positive_Review
377804,NH Collection Wien Zentrum, No pool , Location was great Rooms were modern and clean All facilities including bathrooms were functional and convenient Breakfast room had a very nice ambience good value for quality and generous space 
377805,NH Collection Wien Zentrum, On the day of check out there was a disconnection of electricity from the whole hotel building Anyway at the time of check out their payment machine was not working due to electricity failure and they promised me that they will send me a payment receipt by email as soon as the payment machine is back to work but till now I have not received any receipt yet , Nearby shops and facilities
377806,NH Collection Wien Zentrum, Nothing, Everything is great with this hotel and I really recommend it and I really want to thank all the staff for the support they have offered during our stay 1 rooms are big and clean 2 staff is great 3 location is excellent 4 WI FI is good 
377807,NH Collection Wien Zentrum, Nothing, Location was superb next to underground station and in the middle of the decent market where you are comfortable with your family roaming around We have booked the apartment and it had no issues The thing we liked the most was staff at reception Despite we asked a lot of questions multiple times but they were very gentle and helpful to us Even room service staff was very good Would highly recommend this to others We would definitely stay here again if possible 
377808,NH Collection Wien Zentrum, we had a bit of light coming from the outside from the side of the shades Acoustics can improve we heard the next room talking, lovely hotel stuff was super great location was very good on a street full of shopping and close to bars and restaurants just near an underground station and 15 mins walk to the city old center room is very clean very modern and chic bath was spacious large rain head shower coffee machine with nesspresso capsules closet and tv you can see either from bed pr from the sofa it flips all the way we had a perfect stay there 
377809,NH Collection Wien Zentrum,No Negative, The room is quite large for my family furniture are modern and clean smiling service is always in time A large supermarket and a dilicious Chinese resturant are in 50m 
377810,NH Collection Wien Zentrum, View was in the back wasn t much but offered privacy, Excellent location great modern rooms good wifi moderate breakfast choice and a bit pricey for selection but great breakfast location on top of restaurant Large rooms Great place would recommend 
377811,NH Collection Wien Zentrum, Wi Fi connection was not very good, Great location delicious breakfast friendly staff spacious room and comfortable bed Nice and modern hotel design 
377812,NH Collection Wien Zentrum, 1 We stayed three nights and the air conditioning was not working Definitely not expected from such a property Least they could have done was either offered a refund or then offered some additional perks However nothing was offered and the only response from reception was I understand hoe it is without air conditioning 2 The housekeeping staff has an irritating habit of opening the doors without knocking They could do with some training, The property is very central Polite staff Room was good
377813,NH Collection Wien Zentrum, Could not fault the hotel nothing to not like , This is a first rate hotel Room large with massive and comfortable bed Shower and bathroom facilities excellent Breakfast provided a great variety of food and beverages including champagne for your bucks fiz Situated on a main shopping street with a range of eating establishments Access to the underground transport system was a matter of a few metres away with links to the tram and bus systems 
377814,NH Collection Wien Zentrum, Nothing well maybe a bar could be nice but in fact there are tons around so not an issue at all, Everything Very quite comfortable And the staff is super friendly and helpful 10 out of 10
377815,NH Collection Wien Zentrum, After the first day the WiFi was super slow and despite our feedback it wasn t fixed, Spacious room including bathroom big and comfy bed Nespresso machine with daily capsules location is walking distance from all you can imagine including public transportation super friendly staff
377816,NH Collection Wien Zentrum, Slowest and very pricey internet connection I have experienced No public areas at all Breakfast is cooked in fat Very slow coffee service , Clean and very spacious rooms Very practical location Good parking 
377817,NH Collection Wien Zentrum,No Negative, Good location amongst shops and restaurants within walking distance The room was excellent well equipped comfortable modern Breakfast buffet with the terrace was very nice Staff were friendly The hotel does not have a bar or restaurant but there are plenty of options within walking distance Close to the metro and easy to get to Stephansplatz and elsewhere 
