,Hotel_Name,Negative_Review,Positive_Review
377465,NH Wien City, limited lighting in room not exact information about availability of parking In general the booking com site is not offering clear info regarding parkings, location breakfast close to shops and metro possibility for parking at hotel parking places
377466,NH Wien City, Breakfast is low than average variety of food is acceptable but quality and freshness of food is very low it does not worth the price WiFi speed is very low, Location close to the shopping street entrance to the hotel is inside the block quite entrance to the metro is located in the same block app 20 meters from the hotel entrance 20 min walking distance to the center of Vienna Good design of the room small kitchen fridge working table spacious room windows look inside the block very quite Staff at reception is helpful
377467,NH Wien City, This hotlel is consider 4 stars while it shoulde be 3 stars and the staff are not helper and you have to serve your self and the price was very high for such this hotel , Only location and brekfast
377468,NH Wien City, It is not the hotel s fault Austrians are using a very unusual single person duvet Actually I found the dimensions quite awkward something like 1 00 x 1 80 m In the summer it is OK but I fear during cold season one would have trouble keeping warm especially if the person is XL plus , We liked that flat like living feeling of the unit rented a living room and a separate sleeping area plus a rather generous bathroom The location is meters away from a major shopping pedestrian only almost area and five minutes away from the Museums Quarter St Stephen s Cathedral is a very enjoyable approx 15 20 min walk 
377469,NH Wien City,No Negative, Our original room was fine but we found a problem with the bathroom and when we mentioned it to the reception staff they immediately sorted us out with an upgrade room which was wonderful All the staff were brilliant in particular Stefanie Pravida nothing was too much trouble and we got a lovely surprise when they sent us some fruit water as an apology We had a lovely experience at this hotel 
377470,NH Wien City, See above, The hotel was very central however the rooms were a bit of a dissapointment namely the sofas in them they were beyond expectation in that they were very worn and covered with a bed sheet I add that we booked three rooms and all had the same old old sofas Deffinately lers th e place down as the rooms were comfortable and spacious 
377471,NH Wien City, Nothing in particular Rooms are what they are modest yet comfortable and generally well appointed and priced accordingly , Good location An easy place to stay in that it is all of a certain standard and maintains that standard well comfortably modest and room rates are good value given that Will stay again as needed 
377472,NH Wien City,No Negative, Hotel is located on one of the main shopping streets in Vienna right beside the underground station giving you easy access to the whole city only 3 stops to st Stephens cathedral and main tourist attractions staff were friendly and made us feel very welcome room was very spacious and cleaned to a high standard 
377473,NH Wien City, We did not understand why the bathroom has no door maybe this is something new in the design of the hotels The bed was not very comfortable the mattres was too soft and the room wasn t very clean there was visible dust in many parts of the room , We very much enjoyed the location of the hotel close to the main attractions and also close to public transportation The room was extremely quiet as we requested and the view was very nice through the inner courtyard with green walls and sounds of blackbirds The minibar and the kettle were really useful We also appreciated that the room was cool even if outside the weather was extremely hot The staff was very nice and polite Breakfast is assorted with multiple possibilities for the vegetarians 
377474,NH Wien City, Somewhere in the description perhaps I must have missed the part where it would have been better for the taxi to come in from the street behind the actual address Lindengasse I believe That would have saved us a bit of a hike through the Peek and Cloppenburg entrance which also involves heaving our luggage up a few steps Even on Google Maps the location appears to be closer to Mariahilfer strasse It s not Also and this is one of those little hotel mysteries there was a cool little coffee machine into which you place coffee pucks or whatever you call them Why three That means one of us gets an extra tiny cup of coffee in the morning but not the other I requested another one the second day but really , Early check in was no problem as the room was ready Coming in from an overseas flight can sometimes be an issue Where do you go at 9 00 a m if you re exhausted and don t have a bed 
377475,NH Wien City, In the disadvantages were the lack of breakfast in our reservation and the lack of view but we knew both of them before our arrival The view was not required as we booked in the center of Vienna and we wanted access to metro station The breakfast would be appreciated especially in the price of 100 per night but taking into consideration the prices in the hotels across the city the value for money was decent , We booked the room for 4 nights The hotel was located in the center of Vienna The metro station was just below the hotel s entrance The personell was very polite The room was very clean and the towels were changed daily The bed was double large and very comfortable just like we have asked for it we ve asked for a double bed not two single beds attached I will definitely prefer it again in my next visit to Vienna 
377476,NH Wien City, Nothing bothered me This hotel is fantastic , I had a great time in Wien The room is very big Seriously It s really big Very comfortable The breakfast was charged as an extra and it was expensive 22 euros per day but valuable It has a lot of options and the quality of the products is very high The staff is great They were very welcoming The hotel is very near two subway stations and close to the Museum Quartier The building is near a shopping and has a very nice supermarket near the subway underground 
377477,NH Wien City, Standard room was dingy too much dark brown furniture and flooring and the red leatherette sofa bed was threadbare The view from the window was awful with barely a view of the sky Room was very stuffy with winter duvets The hotel entrance was not actually on the street indicated in the details The breakfast was outrageously expensive even for Vienna, It was very close to a u Bahn station although this was not made clear in the hotel details Bathroom was very clean
377478,NH Wien City, Breakfast was too expensive Hotel is really old and for the entrance you need to pass through an old passage Apperantely they havent renovate the hotel for a long time Furnitures were old too Location is definitely not good on a street noisy and bad street away from historical city center and metro station about 1 km away , Rooms were wide and clean
377479,NH Wien City, The A C was not for the whole of my 4 nights stay The response from the staff was horrible They provided me with an alternate table fan which was already in the room So the A C was not working from sometime and they don t bother to fix it Careful when taking Room 618 Also the bathroom has openings from the bedroom which is sliding door without lock and a standard door from the living area It might be uncomfortable for some people , Location With easy access to Metro and MuseumsQuartier All other places you need to walk a fair bit of distance or take a taxi The famous Glacis Beisl is also nearby 
377480,NH Wien City,No Negative, The hotel is conveniently located The area is surrounded by shops restaurants etc and it is close to the city centre The metro station is in the same building which is a plus 
377481,NH Wien City, Hotel is showing signs of wear Room furniture was worn and shabby bed amazingly comfortable however Probably still worth staying for the location , Location was excellent for city sightseeing Good range of restaurants nearby Just off main shopping street Superior room worth booking for the size of room Very pleasant staff 
377482,NH Wien City, The other older guy at front desk I forgot to take the newly bought 69 white wine out from the fridge wenn I checked out but when I come back after 3 hours he refused my request to check the room even I told him it s in the fridge he only looked in the cleaning department room and tell me no found meanwhile know the room is not taken yet I had to leave because I ran out of time for my next trip , The front desk staff is very friendly when I arrived 
377483,NH Wien City, Staff was rude one of the receptionists absent minded Sunday morning before 9am a cleaning lady knocked at the door and was actually supposed to go to another room Gym has a treadmill however all the machines are in the area of the sauna so it gets very very hot in the room making it close to impossible to use them properly or in a healthy manner , Location which is right in the middle of the main shopping street in Vienna 
377484,NH Wien City, rooms were totally overheated a lot of noise from the ventilation system furniture and interior design not adequate for this hotel category, location staff
377485,NH Wien City, Cleaning to be improved and rooms definetly need to be refurbished Parking is 19 Euro per night and breakfast 24 5 Euro per person Pay atention as nobody will communicate the tariffs upfront , Very good position very good bed 
377486,NH Wien City,No Negative, The hotel is very tidy easy to reach by metro in the centre of Vienna s shopping life which was especially important The breakfast was brilliant I especially liked the variety of viennoiserie jams smoothies cheese and the impeccable frothy melange An electric teapot was a great advantage One more important thing it was really quiet no noise heard either from neighbours or from outside 
377487,NH Wien City, i had better breakfast at NH DANUBE CITY, good central location in the building with a 4 level peek and cloppenburg store helpful staff private paid parking and also free street parking in weekends in the back street very nice clean and well maintained rooms good quality breakfast truly a 4 star hotel 
377488,NH Wien City, Staying at this Hotel was a very unpleasant experience I was on a business trip for one night and needed to work from the hotel Upon my arrival the first thing I was required to do was to block 150 euros on my credit card because we never know what the customers can do Once the check in was done I asked for the wifi password and only then I was told that the wifi was out of order at least for the whole day The only alternative which I was offered was to work from the Hotel s business center which turned out to be 2 old computers in a freezing cold corner of the Hotel s hall next to the entrance door In the room the curtains blind couldn t retract and one of the main lamps wouldn t work I notified the reception that the light bulb needed to be changed At first they told me that I must be mistaken Since I assured them the light bulb was broken they said they would send someone to fix it But nobody ever came , Breakfast is ok
377489,NH Wien City, Shower didn t seem to work the double bed was two beds put together , Location nice upgrade large room wifi friendly helpful staff value for money 
377490,NH Wien City, The hotel entrance is on Lindengasse street not on Mariahilfer street I suggest Booking com should change the hotel address as Lindengasse street Wifi not fast enough, A very nice hotel Helpful and friendly reception staffs Spacious and comfortable room Private parking garage Great location waking distance to every attractions Supermarket Lidl is only 100m away 
377491,NH Wien City, There was nothing, Staff was so helpful and room was very confortable It s place was very central too There were a lot places to visit in walking distance Adviced to all
377492,NH Wien City, terrible location on room 122 noises from other room kids who cry day and night terrible experience for me during my stay especially the New Year s Eve,No Positive
377493,NH Wien City,No Negative, The only good thing about this hotel is the location Otherwise is far from being a 4 hotel It was more like a 2 Rooms look very old and dirty the furniture is broken the bathroom had mold It was very annoying that the room was heated by an AC And that was broken We stayed with a baby inside the room for two nights we were freezing Even though we complained about it at the Reception they did not fix it They brought us a heater which wasn t working as well Would never choose this hotel again 
377494,NH Wien City,No Negative, Dear NH The hotel was good because it was at a perfect location to go to a wonderful art museum Even the room was cozy and the bed was well prepared SINCERELY YOURS OH family
