,Hotel_Name,Negative_Review,Positive_Review
71660,Novotel London Greenwich, tea and coffee facility area was crammed into a very small area and the bathroom layout was a little impractical though that is being very picky The most impractical thing for me was the lack of good lighting by the mirror in both bathroom and bedroom , The bed was large and very comfortable the room was reasonably spacious and included a small sofa 
71661,Novotel London Greenwich, It was fine Not much room around bed but apart from that I think was okay and starter place for our tour , The room we had on this date was much nicer than the one we had at the end of our tour at same hotel 
71662,Novotel London Greenwich, As above, Air conditioning wasn t very good Paid 60 pounds for late check out on last day but staff woke us with buzzer and phone call at 7 30am first lie in in 2 weeks Primitive shower bath in room Staff couldn t find booking when we arrived back We stayed before and after our tour around Europe Most 3 star hotels around Europe were better 
71663,Novotel London Greenwich, No air conditioning in the individual rooms I was on an upper floor and the temps reached the 80s This hotel given the cost of the rooms and the hotel looks to be fairly new it should have A C throughout the property , The bed was comfortable and the room was the right size for one person 
71664,Novotel London Greenwich, The bed was quite firm not very forgiving on my old joints There were no washcloths in my room Do they not have these in England , The staff were excellent Whenever we asked a question they not only answered it they gave us a map The allowed us to check in early after an overnight flight which was most appreciated I accidentally left clothes in the closet and they found them and stored them until I could return a few days later They were the best 
71665,Novotel London Greenwich, the room temperature could have been a little cooler although it was unusually warm that day, gave me a late check out with no extra charge very accommodating and helpful staff 
71666,Novotel London Greenwich, I stayed here a month earlier my room wasn t great Very tired looking and could have been cleaner I also encountered a very inpatient bad tempered member of your staff He was quite scary , Friendly helpful staff delicious breakfast waffles with maple syrup yum a pleasant room Comfortable bed 
71667,Novotel London Greenwich, Breakfast buffet was a little limited , Excellent location for London sightseeing DLR trains and buses Very clean and comfortable free Wifi Good value 
71668,Novotel London Greenwich, Nothing I can think of here , I loved the fact that the toilet was separate from the bath shower room That was really useful Everything was spotless and easy to use The staff were brilliant too 
71669,Novotel London Greenwich, Sausages slightly under cooked at breakfast , Rooms really quiet despite being next to the train station Reception staff really helpful and well informed 
71670,Novotel London Greenwich, Although the breakfast was adequate we were asked to move to the bar area when we were having our final coffee We were not asked if we had finished our breakfast , The rooms were clean airey with all facilities needed 
71671,Novotel London Greenwich, Rooms size was adequate for the three nights just could have done with a little more elbow room Quirky on suite arrangements but were fine once you became accustomed to the lay out , Very close to the British Rail line and DLR services which was great for most travel needs Has an underground car park as well Nice quiet part of Greenwich just away from the crowds But only a few minutes walk to the centre of Greenwich and its shops cafes markets and of course Cutty Sark venue the museums and Greenwich Park Check out the Davy s wine vaults and bar which are next door 
71672,Novotel London Greenwich,No Negative, Being right next to the Greenwich DLR and NetRail station is excellent Having a car park under the hotel is very useful too Lots of good pubs and restaurants nearby 
71673,Novotel London Greenwich, The room carpet was filthy and the room smelled musty We paid for a superior deluxe room and this was very much a let down , Lady clerk at the front desk was very helpful
71674,Novotel London Greenwich, We stayed in a disabled room and the bathroom floor was not that clean Shower had quite a bit of timescale There was nothing to keep the door open for when we entered the room with the wheelchair which made it awkward for when I was trying to push my mum in her wheelchair , The bed was very comfy Choice of breakfast was great also The staff were really helpful too Tea and coffee facilities in the room were great 
71675,Novotel London Greenwich, I paid 170 for a one nights stay here with my wife which by my reckoning is quite a lot of money However we read on the menu that they were going to charge us 17 each for breakfast We declined Surely they could have included this within the price This is outrageous especially when we also had to pay 17 to park our car in their car park overnight So very expensive Also the tiles were cracked around the shower control handle make the whole unit lose on the wall By the way I don t normally give negative feedback but on this occasion I will ,No Positive
71676,Novotel London Greenwich, The price of the accommodation was higher than we would have liked 198 for one night bed and breakfast but I suppose that s London prices especially when Celine Dion is playing at the O2 She was amazing in concert by the way , The staff were very helpful and the breakfast was excellent 
71677,Novotel London Greenwich, Bed was a bit too firm for me Breakfast choice a bit limited for the cost Chewy bacon , Clean well equipped room Big bed Friendly helpful staff Onsite parking Free wifi 
71678,Novotel London Greenwich, Decor bit dated Bathroom was clean but unpleasant smell from plug hole, Location was chosen for proximity to o2 arena Hotel is right outside Greenwich station
71679,Novotel London Greenwich, The bed room carpet was a little stained this time , We always stay here when we re going to a concert at the O2 Arena we like this hotel friendly staff comfy bed spacious room clean and tidy apart from a few stains on the carpet plenty of choice to choose from at breakfast all lovely also the bar and dining menu has a good choice to choose from all very nice Checking in and out was very easy friendly helpful staff at reception we had a query about the new eco bed linen they are using this was answered to our satisfaction 
71680,Novotel London Greenwich,No Negative, Bed was super comfy Great bedroom very quiet Good bathroom Liked having fridge in room and the safe ironing board and iron Tea and coffee making Good TV and air conditioning Very pleased indeed with the room Delicious breakfast and meal Good location for getting to 02 by bus The staff were very friendly and helpful Would definitely stay here again Thanks for a good stay 
71681,Novotel London Greenwich, All good, The staff were really friendly and helpful The food in the restaurant was really excellent and just the right portion size There was a problem with our room key and this was all sorted very efficiently and we got moved rooms with absolutely no debate 
71682,Novotel London Greenwich, Thought breakfast price high so did not use that service, the bed was first class air conditioning system also very good Also liked that the window could be opened if wanted
71683,Novotel London Greenwich, Havnt found much to dislike about the place , Very good location for all the attractions including Greenwich Park which is no more than 5 to 10 mins away and DLR is only a couple of mins walk Meals were good and reasonably priced and the staff were excellent and very helpful Also good place to stay for the O2 
