,Hotel_Name,Negative_Review,Positive_Review
21147,Novotel London Tower Bridge, Hotel blocked GBP50 on my card on top of the full price for room without any notification or information in booking com system which I find breaching booking com rules The amount was released 2 days after check out which meant that during my London trip I couldn t spend part of my money Receptionist manager in the hotel couldn t find any immediate solution to that and behaved as it hadn t been any issue Is not about GBP50 but I may simply imagine that the hotel might have blocked GBP500 for same security reasons and in such condition I would be deprived of any money I had converted earlier to my GBP account before weekend trip It s just can t be trusted ,No Positive
21148,Novotel London Tower Bridge, The invoice I received by email is a pdf file that I cannot open , Very nice and confortable hotel The staff is really helpful Rooms are well designed and cosy 
21149,Novotel London Tower Bridge, Location was not as perfect as we thought It was not very close to attractions but London is very big and you can reach subway by a short walk , Hotel was very clean room was perfect 
21150,Novotel London Tower Bridge, the only thing I didn t like was that there we re no sheets or blanketd for the pull put couch for my children and I had to call twice at 1000 at night to get some Also the air was not working in the room and it was a very hot day in London They had no fans left due to this problem For the money paid these things should have been easily rectified , loved the buffet breakfast in the morning Loved the accommodation itself and location 
21151,Novotel London Tower Bridge, I didn t get the room I paid for I was made to stay in a standard room even though I booked and paid for an expensive one , The hotel staff were friendly
21152,Novotel London Tower Bridge, The sauna wasn t working The building outside of our room was being renovated and builders arrived early on Saturday morning, We got un upgadre and were offered the suite The room was amazing the spa really nice and breakfast really good
21153,Novotel London Tower Bridge, The carpet was dirty there was noise in the morning starting 7 30 am from the street they were moving some containers or something there was nothing in the minibar but water The breakfast is poor for a 4 stars hotel and for the price requested The gym is very small and has limited equipment , The hotel was close to Tower Hill metro station close to Tower Bridge The staff was friendly and helpful both at reception and in the restaurant 
21154,Novotel London Tower Bridge, Nothing , The location was excellent The Tower Hill tube station was very close to the hotel so commuting was not a problem The staff were friendly and helpful The breakfast was very good with a wide selection Good hotel to stay
21155,Novotel London Tower Bridge,No Negative, friendly and smiling staff clean room yummy breakfast near of underground station 1 min by walk hotel restaurant i was 100 satisfied i give them 11 points of 10
21156,Novotel London Tower Bridge,No Negative, The location is just perfect just 30 secs away from Tower Hill underground station and a walking distance to Tower of London and Tower Bridge Friendly staff clean room and facilities 
21157,Novotel London Tower Bridge, My room only came with tea sachets with the coffee making facilities As I am a coffee person it would have been great if there were some instant mix coffee packets provided as well Other than that I had a very wonderful stay and sad I couldn t stay longer Such a great place , The room was super comfortable and sumptuously decorated I love the bathroom which I find very spacious The staff were welcoming helpful and friendly The room came well equipped with an iron ironing board flat screen TV coffee making facilities tea sachets several power outlets to charge your electronic gadgets The bath condiments in the bathroom were quite lush It is literally less than a minute walk away from the Tower Hill Underground Station which then gives you access to all of London via the Tube and the historical Tower of London and iconic Tower Bridge are just five minutes stroll away In other words superb location 
21158,Novotel London Tower Bridge, No parking at the hotel , Best sleep in a year Best customer service in a decade Front of house staff impeccable Kind attentive they really care that you have a good stay 
21159,Novotel London Tower Bridge, Due to location nothing open close by at the weekend Upgraded room on arrival offered but still not worth the money very small and basic Had to move rooms due to bad smell Small and uncomfortable bed Room service wrong every order Despite staying gluten free options a very poor choice, Clean Helpful staff
21160,Novotel London Tower Bridge, I was on the fourth flour somehow in my room I heard toilet flushing all over the building which was kinda annoying , Service and people very friendly 
21161,Novotel London Tower Bridge, I called the hotel to change the booking to a win room which they agreed over the phone but when we arrived it had not been arranged and one of us had to sleep on a sofa bed not ideal as we were working The bed was too soft and the sofa bed was too hard , The place was stylish
