,Hotel_Name,Negative_Review,Positive_Review
199865,Novotel London Wembley, Bit stingy with teabags milk but could get extra at reception On our last night I was kept awake all night I m not kidding all night There were doors banging shouting to one another in the corridor in out of lift area It stopped when they left at about 5 45am but I was too anxious to sleep by then I went out to them at 2 30ish asked them to be quiet that was when I realised they were in room next to us She said What quite abruptly I asked again please be quiet she said ok then carried on doing the same I think they were leaving flying home to India or the like but they kept us up all night I rang down three times when they got to our floor it had all quietened down for about five minutes but the duty manager was gone when it started again When he came the last time the women from next door the man in the room opposite were going back into their rooms I went out this time voiced what had been going on all night in front of them I think the ma must have said they were leaving then I watched through my peephole as they went about ten minutes later When I asked for an extra hour the next morning so that we could shower pack as we had been up all night the night staff hadn t even left a message about it I was too upset dumbfounded to complain again That really was unfair completely spoiled our break So the hotel was great but in the scheme of things it doesn t matter , Easy to get tube very close there s a lift to the left of the steps if you can t face the climb Breakfast was good though I would have liked poached eggs or fried or boiled Hate scrambled tasteless Room was clean comfortable 
199866,Novotel London Wembley, Nowhere to park outside whilst sorting access to parking bays Glass doors to bathroom toilet little privacy , Friendly and accommodating staff Proximity to Wembley stadium Onsite parking 
199867,Novotel London Wembley, The only thing is the glass toilet door which is not quite safe for children using it , Location staff and cleanliness are all good Good value of room in London 
199868,Novotel London Wembley, I could not find the softer pillow on the first night was packed away in the room and I could not turn off the air con did not help my sleep Also as I moved the bed I found dirt under the bed , It is a fair place for a fair price The restaurant improved a lot Really lovely staff breakfast is excellent and I was in Central London in minutes 
199869,Novotel London Wembley, I didn t find the staff to be particularly helpful and thought they were a little abrupt I was pleased to have a mini fridge in the room but then discovered it wasn t very cold , I found my stay pretty average 
199870,Novotel London Wembley, Service was quite poor and was completely over priced for what was on offer but due to the weekend Adele the prices were put through the room 745 for 2 nights Keys didn t work in lifts or stairs leaving us unable to get to our room several times Then when finally reaching our room we were unable to get in due to the keys not working in the door Reported several times to be told they worked each time having to be reset Got a little tedious , Great breakfast options
199871,Novotel London Wembley, Shower still required fixing even after it was seen to by staff member Quite noisy during day as hotel is adjacent to several building sites but that will be temporary I expect , Near a Tube Station Designer Shopping Centre Hotel room modern clean spacious Pleasant Dining area Emphasis on environmental sustainability 
199872,Novotel London Wembley, a little bit far out of London for ease of access but doable clean modern welcoming Good size rooms and well placed for tube station at Wembley park expensive for room without breakfast might be better if not summer season and booked well in advance ,No Positive
199873,Novotel London Wembley, Carpet had stains Requested a late checkout before arrival received no response , Room was comfortable Hotel was simple to get to Mostly clean well organised 
199874,Novotel London Wembley, Limited parking on site , Very clean spacious room Staff went out of their way to help in any way they could Excellent location for anyone going to Wembley arena as we were 
199875,Novotel London Wembley, Adele Concert Being Cancelled , For the price we paid initially and the extra for upgrade breakfast should be included The Hotel is clean and modern and has a superb view of Wembley Stadium and convieniant for Wembley Matches Concerts it is within walking distance and shopping and dining are easily within reach The front desk staff were friendly and helpful 
199876,Novotel London Wembley, Not much to do nearby unless you are attending an event at Wembley, A fresh new hotel building a stone s throw away from Wembley Stadium Stay here to avoid the hassle of traveling to and away from the stadium Bright large well equipped rooms Friendly efficient and helpful reception staff
199877,Novotel London Wembley, Nothing , Fantastic friendly staff perfectly located for stadium and tube Fantastic clean comfortable room Very comfy beds Probably the best of this type of hotel I ve stayed in 
