,Hotel_Name,Negative_Review,Positive_Review
154810,Novotel Paris 17, The breakfast room was occupied by a group on both mornings The temporary pop up room adequate Food quite basic and ok , The room size and bathroom very adequate and clean Queen room with a view of Eiffel Tower very good on Bastille Night and on other nights when the tower is lit up If you like walking then this is a perfectly ok hotel to stay at More or less a straight walk along the Blvd Wagmar for 30 minutes into Arc de Triomphe Perriar train station a 15 minute walk and access to route 3 on the metro and onward connections very straight forward Gare du Nord to hotel via Metro and walk approx 45 mins with good connections Very nice restaurant on the Albert Square by Perriar station recommend L Hortensia for their traditional onion soup and salmon dish 
154811,Novotel Paris 17, We got late by couple of hours in checking out Manager at the reception got so rude with us raised his voice and got annoyed to say this is not done I felt as if i had committed a crime Such people are complete misfit in hospitality industry Then there was an issue with drain pipe in restroom which they fixed after several reminders Thanks to Indonesian mgr who came to our rescue Will go down as very bad stay for us had it not been for that 1 person , Indonesian person at front office was ever so helpful in giving advice at the time of check in 
154812,Novotel Paris 17, Unhelpful rude staff Booked a room for three people and only one bottle of water and 2 tea bags Despite repeatedly asking it took a few calls and lots of waiting for the extra to arrive Monday nights room service did not turn up at all , Nothing
154813,Novotel Paris 17, Hotel is located just near busy road big traffic around and refuge hostel or some other social place just across the street This is the place where you definetely do not want to stay where travel with kids to see Paris , 
154814,Novotel Paris 17, No microwave Far from Metro walk for more than 15min Only a small refrigerator Window can not open to get fresh air Only give 1 bottle of water per day for 3 guests Kettle is made of plastic not healthy , Breakfast is good hotel staff are kind 
154815,Novotel Paris 17, Being told there wasn t a family room because of a double booking was highly disappointing Having to demand the room I booked months in advance wasn t acceptable Little too far from metro Ended up getting taxis especially at night , Room was comfortable Nice feel to hotel Breakfast was good 
154816,Novotel Paris 17, The taxi ordered through reception to get back to airport was nearly 50 more expensive than the one from the airport to the hotel from airport to hotel 50Euro from hotel to airport 72Euro Free wifi has low speed and capacity , The hotel was clean and service was good Bus station is very close RER and Metro station in the couple of blocks from the hotel but it was great to have a walk in the morning and buy coffee and croissants on the way to metro Good block 17 calm peaceful and friendly
154817,Novotel Paris 17, Very bad wifi When a Hotel says free wifi means free wifi Doesnt mean we have a low speed free wifi and if you pay you will have the high speed At least I expect to know that from the beginning before I book the room , Very gentle people working on the hotel 
154818,Novotel Paris 17, The hotel is pet friendly and in the case of dogs there isn t any areas to walk them If they have suggested walking areas for dogs that would be great ,No Positive
154819,Novotel Paris 17, The fact that we couldn t get room service on New Years Eve as all other restaurants fast food were closed from 7pm so we with 3 children didn t have anything to eat that night Very poor service Also most hotels offer free breakfast for children very expensive breakfasts for 5 for 3nights , We liked our rooms the breakfast food and the short walk to the nearest metro 
154820,Novotel Paris 17, Hotel is too far from Paris gare lyon Breakfast is too costly around 18 per person Heater not working properly Overall not good experience , Hotel staff specially ladies were too friendly and helpful to us The one with specs is really good lady 
154821,Novotel Paris 17, The fact that the restaurant doesn t open until 7 and with kids this is too late Also the windows didn t open and the fan wasn t great so a bit warm at night , The bed was very comfortable and the room a nice size The kids beds were also very good The staff on reception were very helpful too
154822,Novotel Paris 17, In the middle of town and must leave early to avoid traffics Breakfast should have more halal food to attract tourist , Staff very polite and accomodate Room is superb and comfortable Easy to get cab to Eifel and cost 20 
154823,Novotel Paris 17, The fitness area could be improved The location is on a very busy corner of Paris with Terrible traffic in all directions Therefore getting in and out by car took really long , The Staff were very helpful and friendly
