,Hotel_Name,Negative_Review,Positive_Review
249541,Novotel Paris Les Halles, Really disappointed with this hotel I booked a famiy room for my brother his wife and two young kids While booking I submitted a special request to see if they could check in slightly earlier I would have been happy to pay extra for this However they did not even bother responding When my brother and his family arrived on the day they also requested an early check in but were advised that the earliest they can check in was at 2 which was the standard time anyway They went out to kill time and came back just before 2 pm They were then told to wait 5 minutes as the room wasn t ready yet These 5 minutes became 15 30 and eventually 50 they didn t get their room till 2 50 pm Absolute disgrace By this point his young kids who were already exhausted coming via an early morning flight were completely shattered and every minute felt like an hour Very very disappointed especially because this was the first experience my brother and his family had in Europe and it was very unpleasant because of the customer service at this hotel , I don t have anything positive to stay because the commencement ruined the whole stay 
249542,Novotel Paris Les Halles,No Negative, Good location accessibility cleanliness and accomodation The hotel room is very comfortable The staff was helpful Will come back to stay in this hotel Highly recommended 
249543,Novotel Paris Les Halles, One small thing was the shower has only half wall and the rug was too small especially with water that leaked out from shower , Everything we were in a remodeled room and it was great strong shower lovely garden for eating outside superb breakfast 
249544,Novotel Paris Les Halles, Nothing not to like , Rooms were newly refurbished and spacey Great location next to sights and shopping Best breakfast buffet throughout all my stay in europe
249545,Novotel Paris Les Halles,No Negative, The staff were very helpful the booking staff went all out to give us a great room and welcome gifts with a commemorative certificate for our anniversary This hotel has given us great memories of Paris The breakfast is all you would expect from Accor need I say more The area has dozens of small restaurants a convenience store and more For extended travel and longer stays there is a laundromat just down the road surrounded by small restaurants to make the doing of this chore a very pleasurable outing 
249546,Novotel Paris Les Halles, We arrived late evening and finding the location was a pain due to outdated google map entry The Taxi driver had to take two different routes to drop us off Upon arrival there was no porter and a single lady on the reception and i had to carry all my luggage personally While i was provided with hot kettle in my room i noticed other rooms had nescafe dulce gusto machines Again no complimentary water Definitely not worth the money charged , Only person worth mentioning was Mr Benjamin who personally assisted me in guiding the uber driver to the nearest location and even helped me carry one of my bags to the car which was approx 100 meters from the hotel Supermarket is in the next building and the metro station is also very close 
249547,Novotel Paris Les Halles, We had booked the mulin rouge show with tbe reception and they failed to tell us that the men had to wear long trousers We arrived at the 11pm show dressed nicely but the men were in nice Bermuda 3 4s and long sleeve shirts but we were denied entry It was our last night and a very big pity since it was something we really wished to see Souviner shops next to the show sell long trousers but we did not see it being hygienic , The superior room was great and the bed was comfortable Staff were there to book you a taxi or dinner at any time of the day and super helpful especially with luggages and delivering shopping to our room
249548,Novotel Paris Les Halles, Maintenance My room has a flood in the bathroom due to drain issues They changed my room immediately to another worse than that one i have paid and i found bugs in the carpet I do not expect to stay there again, Location
249549,Novotel Paris Les Halles,No Negative, The hotel is perfectly situated in the center of Paris a walking distance from the Louvre the Notre Dame Centre Pompidou Hotel de Ville and literally above the Chatelet Metro RER central station where most of the lines cross The hotel is clean and organized and the staff was very helpful and polite with any request We were traveling with both of our kids ages 8 and 5 and stayed in the executive family room The room has a double bed a nd a couple of twin beds and was spacious enough for all 4 of us The room offers a buffet breakfast which we took only on our 1st day The cost was 24 euro per person and children don t pay the buffet is rich with a variety of foods to choose from fruit cheese sausages eggs cereals and so on Nevertheless on the next days we had breakfast at different bistros which are right at the doorstep of the hotel and cost roughly half the price In addition right across the street from the entrance there s a branch of the Boulangerie Parisienne where you can by fresh Croisants and sandwiches and take them for the road The area where the hotel is located Le Marais is one of the nicest and coolest areas in Paris full of restaurants bistros and shops in a pedestrian mall so it is really nice to walk around the streets in this area and enjoy the atmosphere Transportation wise this hotel has the perfect location with the Chatelet Metro RER station located at the hotels doorstep literally this is a very central station with almost all lines passing there Especially RER lines A B which are used for airport transportation and Disneyland Paris I would definitely go back to this hotel on my next trip 
249550,Novotel Paris Les Halles, A lot of construction works were going on in front of the hotel the only drawback Hopefully when we come back next time the construction works are finished , Direct train RER B from the airport to Les Halles Room is clean as usual 
