,Hotel_Name,Negative_Review,Positive_Review
174335,Novotel Suites Paris Expo Porte de Versailles, The location is too far out of Paris major point of interest Although the hotel is close to the Subway Metro the surrounding area is not the safest , Very clean rooms and very modern
174336,Novotel Suites Paris Expo Porte de Versailles,No Negative, The staff were friendly this is really what i appreciated Location was safe and convenient by Metro Nearby there s a Chinese restaurant which appears to be a Japanese so overall it was a good experience 
174337,Novotel Suites Paris Expo Porte de Versailles, No room service every things you need it you should go to reception to collect Bad staff on reception they don t have customer service skills prices so expensive overall hotel view train station, Hotel was next to metro station
174338,Novotel Suites Paris Expo Porte de Versailles, Staff adapted taxi to train station and told us it is 15 EUR but driver told 40 EUR after we arrived to station , Clean and comfortable Very near to metro station 
174339,Novotel Suites Paris Expo Porte de Versailles, The underground would shake the room Unfortunately you cannot do anything about that once we figured out what it was everything was fine , Bed comfy staff helpfull
174340,Novotel Suites Paris Expo Porte de Versailles, Could not find any fault with this hotel will stay there again, Family room we stayed in was excellent there was a curtain in the room which you could close off which gave the kids and parents privacy mini fridge and microwave also in the room Excellent breakfast with great choices kids love their hot chocolate for breakfast 
174341,Novotel Suites Paris Expo Porte de Versailles, Buying food in the hotel was extremely expensive , The location was good especially for the metro and trams The room was nice The reception staff were brilliant and helpef us lots with planning our days out 
174342,Novotel Suites Paris Expo Porte de Versailles, The breakfast was quite frugal and I felt it was nt value for money The breakfast area has limited seating capacity and becomes quite a challenge to find a place to sit , The location is fantastic just above the metro station the tram station is only 50 meters away The place is absolutely safe and in a nice residential neighborhood There are several super markets convenience stores pharmacies around the property The rooms are comfortable equipped with a microwave coffee maker etc overall we had a memorable stay 
174343,Novotel Suites Paris Expo Porte de Versailles, I wish there was a airport shuttle Although the hotel is modern it didn t seem to have enough places to put things in the bathroom , The staff was helpful and friendly The beds were comfy 
174344,Novotel Suites Paris Expo Porte de Versailles, Basic breakfast No swimming pool No inhouse restaurant, Very clean and contemporary room Great bathroom with excellent shower Very convenient location with metro just a minute away 
174345,Novotel Suites Paris Expo Porte de Versailles,No Negative, The guy at the reception named Alejandro was super helpful with everything we were a big family group of 8 people and he was always up for anything we asked I also forgot my watch at the hotel and he kindly send it to me via post to my home Staff in general were kind and friendly Hotel is nice and close to the station so it s easy to get anywhere by metro or tram Breakfast it s nice also not so many restaurants around the hotel to go for dinner at night Overall a good experience 
174346,Novotel Suites Paris Expo Porte de Versailles, Wasn t as close to the attractions as I d hoped Also parking is horrible Either you pay less and park at a hospital which closes your car in at 8 pm or you pay more and walk fifteen minutes, Staff and breakfast were great The hotel was clean and directly next to the metro Eifel tower a fifteen minute ride on the metro
174347,Novotel Suites Paris Expo Porte de Versailles, Parking was not easily accessible and not very safe The seating area near elevators was littered with used plates and bottles , Comfortable bed and room with A C Nespresso machine in room was great Staff was helpful with directions to various Paris sights Breakfast selection was good Metro directly out front door of hotel 
174348,Novotel Suites Paris Expo Porte de Versailles, Rooms can be slightly bigger specially for the family The photos on the website give that impression Some utensils for heating up stuff in microwave will be great , Location is great for transport as well as food options nearby Staff is friendly and helpful Breakfast was very good 
174349,Novotel Suites Paris Expo Porte de Versailles, nothing, We did not have a good experience with Holiday Inn last time we stayed in Paris so we decided we would book a hotel with nicer and comfortable room We browsed booking com and found this Novotel closer to where i had to attend a conference and the pictures of the rooms looked really good When we reached there the actual room surpassed our expectations It was very spacious and very clean pretty much comparable to a 4star The shower and bath was very clean and spacious and the drainage system was really good which is often not good in hotels They cleaned the room everyday and topped up the tea bar too the ambience of the lobby and hotel rooms is very nice we stayed with two kids and even though there was extra bed for kids there was ample space Metro is just outside and it takes you directly to champs lys es connects you to other lines that take you directly to Musee du louvre or Notre Dame and other attractions so you do not spend a lot of time travelling Staff is very helpful and friendly they even kept our luggage after checkout while our flight was late and we needed to hover around without carrying heavy luggage with us I would definitely give it a 5 star an d stay with them again there are enough cheap restaurants near the hotel and really good bakery right in front of it 
174350,Novotel Suites Paris Expo Porte de Versailles, Sometimes there was not enough tables bring breakfast time Scrambled eggs were not tasty while all the rest was pretty good They should be canceled from menu or replaced by natural eggs , Perfect location in front of metro exit New hotel with clean rooms Very clever design of hotel and room interiors Good breakfast like in France Very king and helpful personnel 
174351,Novotel Suites Paris Expo Porte de Versailles, we didnt stay longer, A few steps from the main entrance you had access to the metro and could be anywhere in the city in 10 20mins Was close to Orly airport if your coming via this airport The rooms were big and very clean maybe even huge for Paris standards we stayed in a similar rated hotel during our stay and was very small compared to here Some people complained about the metro tram we were on level 1 and despite some noise and vibrations this had no effect on my sleep and i m a light sleeper at the best of times A few shops over the road were handy for supplies and a really nice bakery if your not having breakfast in the hotel Staff were always friendly and helpful Would come back here again if we visited Paris
174352,Novotel Suites Paris Expo Porte de Versailles, The rattle of the entire building every time a train goes past , Impeccably clean well equipped rooms Shops and lovely bakery right opposite Decent location with Metro station right outside Just 12 15 minute Metro ride into the middle of Paris
174353,Novotel Suites Paris Expo Porte de Versailles, The house keeping was poor and their was not car parking places near to the hotel also no room service and they don t have restaurants for lunch and dinner, The room was quiet big compared to oters
174354,Novotel Suites Paris Expo Porte de Versailles, As we where next to the train line having the trains rattling along keeping me awake until silly hours And then they started early I didn t get to much sleep , The hotel staff were brilliant 
174355,Novotel Suites Paris Expo Porte de Versailles, Place for the Breakfast is much too small for such a huge hotel The breakfast itself was very good and there is a fight every morning for the places, Nice place good value for the money 
174356,Novotel Suites Paris Expo Porte de Versailles, There is no play area in the hotel for kids I think they need to communicate more around the hotel about the busy time for breakfast as it gets very busy down there Not in the centre of Paris , Staff were very helpful Public transport Tram Metro both outside the door Clean hotel Breakfast good 
174357,Novotel Suites Paris Expo Porte de Versailles, Breakfast was ok ish Location is slightly off the center need 2 trains to the touristic destinations in Paris , The room was very comfortable toilet and bathroom were very clean Beds were the best Would I stay there again Yes 
174358,Novotel Suites Paris Expo Porte de Versailles,No Negative, Large modern and clean rooms Friendly staff Very good location Metro station is just in front of the hotel Easy access from CDG airport however Orly is much closer to this property Many restaurants around Across the street there is bakery shop very convenient if you don t want to have breakfast in the hotel 
174359,Novotel Suites Paris Expo Porte de Versailles, NB Location is at Porte de Vanves not at Porte de Versailles Breakfast space too small crowded and noisy at 9 10 a m , Breakfast room size facilities and great personnel
174360,Novotel Suites Paris Expo Porte de Versailles, A breakfast is served actually in a lobby area but it looks like there is no other option , This hotel is an ideal solution for everyone who wants to explore Paris Just 10 meters from the door you have a metro line 13 station Porte de Vannves The train goes to the center of Paris in less than 10 minutes The hotel and our room were very clean We had a spacious room 2 adults two young kids with comfy beds large LED TV on a moving stand Room was full equipped fridge micro wave coffee machine hair dryer free wifi The staff very helpful and kind We enjoyed all our 7 days stay We can recommend this hotel and we would come there again for sure 
174361,Novotel Suites Paris Expo Porte de Versailles, There are not enough tables and chairs for those eating breakfast Families were having to sit separately and people were having to move half way through their breakfast to be seated together Need more tables , Size of family room was excellent Having a fantastic shower and a bath was great Staff were extremely helpful The choice of breakfast was excellent the coffee and scrambled eggs delicious 
