,Hotel_Name,Negative_Review,Positive_Review
282748,Olivia Balmes Hotel, Nothing, Excellent city hotel in central location Modern contemporary design which was very pleasing We were upgraded to an immaculate suite which was a pleasant surprise as we were celebrating our 28th wedding anniversary This had a very comfortable bed lovely large shower and bathroom Good breakfast choices Small well designed roof top infinity pool with seating and sunbathing area which we took advantage of for a few hours R R 
282749,Olivia Balmes Hotel, Only that we wanted to stay longer and we were there for 6 nights , Lovely staff the breakfast was really good loads of choice The roof pool and bar were lovely the best Gin and tonics We really liked our room good sized bed modern bathroom layout worked very well The light up sensor light in the wardrobes were fun 
282750,Olivia Balmes Hotel,No Negative, Prime location Fantastic rooms Attentive and helpful staff Great price When I m back in town will be my primary choice for accommodation again The proximity to most of the cultural attractions and top dining spots make Olivia Balmes a true gem in the heart of Barcelona 
282751,Olivia Balmes Hotel, Pool is amazing but get there early if you want a place to sit as it seems to always be full , Nice clean hotel Staff was amazing Food was great 
282752,Olivia Balmes Hotel, Only very minor things We didnt need clean towels every day but they were replaced anyway We are quite eco friendly so was surprised to see clean towels when we got back to the room Could hear some noise from the room next door heels clicking on the floor , Beautiful hotel modern clean and gorgeous rooftop pool The staff were friendly and helpful the girl on reception happily showed us some good places to visit on the map when we arrived And the Bar man by the Pool was so charming and helpful Would definitely be back 
282753,Olivia Balmes Hotel, Unfortunatley the walls are thin and every hotel room door bangs shut so it was very noisy when house keeping were cleaning rooms in the morning , The rooftop pool was great with a nice view The pool isn t very big but it heats up fast from the sun The location of the hotel was perfect just a few minutes walk to everything and right across the street from a gluten free bakery which sold amazing pastries 
282754,Olivia Balmes Hotel, nothing, The staff member was incredibly friendly and it has large clean and modern rooms on the roof there is a small pool which is really good if you are staying on summer in this hotel the buffet breakfast was amazing 
282755,Olivia Balmes Hotel, the room is really for a couple because after turning the sofa in a bed for our 11 years daughter you don t have enough space for your luggage Resuming if you want to stay in that hotel with kids I suggest you to find other options for couples is fine Also for a 4 star hotel breakfast must have more fruit options we normally found 2 options only, hotel location is good close to many of Barcelona main sightseeing also a very quiet region and close to Metro lines
282756,Olivia Balmes Hotel, I d like the restaurant to have more of an extensive menu I would have eaten there more for like a pre dinner and evening stroll drinks and snack place if it served more pinxtos and tapas dishes , The staff were extremely helpful they were very proactive and really anticipated what we needed The location is ideal close to Las Ramblas but also removed enough to provide a nice respite from the busyness and crowds 
282757,Olivia Balmes Hotel, There was a taxi strike because of Uber when we arrived at BCN The Metro was easy to navigate but we were a lot later getting to town than planned , Super nice staff with great restaurant recommendations Rooftop pool 
282758,Olivia Balmes Hotel, Expensive especially as had to pay extra 80 Euros for two breakfasts for me and my son for two days , Very cool room Liked wooden floor as it felt clean Friendly staff Very clean hotel trendy hotel Pool is small but ok and gym is good Lovely area 
282759,Olivia Balmes Hotel, Location is good but it is a bit of a walk from most of the main attractions which is fine but can be hard in the heat Breakfast was good and handy to eat in the hotel but expensive , Beautiful hotel with a great rooftop pool Beds comfy and rooms very clean and quiet Staff extremely helpful and friendly 
