,Hotel_Name,Negative_Review,Positive_Review
7480,One Aldwych, The spa was very disappointing Just 5 cheap beds round the pool Nowhere else to sit The treatments weee nice but not good value for money, The room was pleasant and the bar area nice
7481,One Aldwych,No Negative, We stayed here on our wedding night and the staff were incredible They treated us with such warmth and really made it feel special The room was wonderful and the breakfast delicious What really made it were the staff who were incredible Recommended 
7482,One Aldwych, The shower cubicle in the bathroom was very small for this rating of hotel don t drop anything The great water pressure made up for the lack of space in shower though , The hotel is very conveniently located to the theatres and covent garden The room was well insulated and the bed was very comfy so much so I slept through a thunder storm 
7483,One Aldwych, Tea and coffee facilities should be in the room although you could phone reception and ask for them I feel they should have been there without asking the room could have been bigger, The staff were so welcoming and the little touches in our room like the rose petals and electric candles by our bath made our stay extra special the pillows were a dream to sleep on 
7484,One Aldwych, Considering the reports and ratings that are celebrating the hotel we were slightly disappointed The furniture of the suite looked a little worn out and old fashioned You can hear the toilet flush from the adjactent floors in the bathroom All in all it doesn t feel very personal and private in the room Breakfast is terribly over priced a usual thing in a lot of hotels to be honest and not worth writing home about Would definetly choose another hotel in London next time , First thing we got an upgrade from a room to a suite which was very nice Staff was helpful Real beautiful bar with terrific looking bar menu cocktails A lot of attractions of London in walking distance 
7485,One Aldwych, The really noisy flushing toilet which was like you get on an airplane and so loud I was woken by the plumbing in adjoining rooms, Wonderful staff So switched on and so genuinely helpful and concerned about pleasing guests
7486,One Aldwych, Although I have commended the breakfast it was possibly a little over the top There really was more food than anyone could sensibly require My niece had to ask for her pillows to be changed as she has an allergy to goose and duck down Replacements were provided immediately and without question but were far too big The staff s anxiety to please is perhaps a little overpowering for people like us who are not wealthy but can manage an occasional special treat , The staff were all very friendly and attentive The food was superb My 9 year old great nephew could barely believe the breakfast enough food to feed an army served by a waitress who deserves special commendation very professional cheerful and obliging The porters were also all very helpful The lobby bar is well worth a visit The hotel is within easy reach of many of the West End theatres and other attractions 
7487,One Aldwych, I understand that room rates are high in this part of London and that One Aldwych is a very high standard hotel with 24hr room service but I felt that it wouldn t be too much to ask for tea and coffee making facilities in the room and that breakfast items were very expensive even compared to the restaurant dinner prices However the pub across the road serves an excellent breakfast at less eye watering prices , High level of service and comfort throughout the hotel
7488,One Aldwych, Having to leave Wish we could of stayed longer , All staff was so helpful to make our stay a memorable one from organising a special birthday treat in the room for my daughter to personally taking us to the taxis every time we needed one The rooms beds were so comfortable with everything you need Hotel is right next to the theatre which with children is great after the evening show being able to walk back 
7489,One Aldwych,No Negative, Great small luxury hotel Good size well equipped rooms Excellent location for central London on the strand near the Thames and close to Covent Garden Spa 
7490,One Aldwych, Nothing, Wonderful hotel in an excellent location Rooms are well furnished and comfortable with tea coffee facilities iron etc supplied on request The hotel also has a great gym and pool area The staff are without doubt some of the best we ve encountered in the hotels we ve stayed at very professional helpful and friendly Cocktails in the lobby bar are fantastic if a little pricy We dined one evening at the Eneko restaurant in the hotel basement which is very highly recommended fab food ambience 
7491,One Aldwych, I think the staff were a little too suggestive in having extras but this was minor we had a fruit side plate for breakfast but didn t really need this so ended up not eating it , The hotel location is perfect for a weekend getaway walking around Covent Garden and getting in an evening show The hotel is very stylish The staff were extremely helpful friendly and professional The bed was very comfortable and the room temperature perfect The breakfast was delicious 
7492,One Aldwych,No Negative, Appreciated the customer service and attention to detail with the service all staff were friendly and professional The bar very smart is a welcoming comfortable place at the end of a long day in London sightseeing celebrating especially for for a late night drink snack
7493,One Aldwych, Noisy kids in pool meant I didn t go in but it was Easter so to be expected I guess , Gorgeous sink in pillows on the bed Door staff always friendly and welcoming Steam room super hot which was wonderful 
