,Hotel_Name,Negative_Review,Positive_Review
354883,Ozo Hotel, Beds were not comfortable and even though it was a double bed they used two single bed sheets not fitted which moved around and didn t fit properly The cleaner broke a glass in my room on the Sunday and just left it like that I had to call someone to come get the broken pieces as I had no broom in my room By the Friday I was still stepping in shards of glass as the cleaner failed to clean properly EVERY day since the incident and despite me asking several times to vacuum the entire room My supply of coffee and sugar sachets were never replenished some days I didn t even have any neither did I have any coffee cups The breakfast options were very limited And the same every day The coffee was good though The gym consisted of one small room with a treadmill and some weights , Good coffee Some friendly staff but not all of them 
354884,Ozo Hotel, A little far off and in a too quiet area but a walking distance to the metro Staff in the day was helping but staff at night sounded annoyed when I asked help to turn on the AC He asked to come in an hour later but it was 12am and I needed to sleep so he came disgruntledly, Clean comfortable rooms AC works ok after I called for help 
354885,Ozo Hotel, The staff wasn t nice at all The hotel is noisy you can hear your neighbours The confort is basic and the room wasn t clean It doesn t worth 4 stars The price is very high when there is a show at the ArenA ,No Positive
354886,Ozo Hotel, The price was very high because there was a concert in the Arena and a event in the city Breakfast was good but not excellent , A nice hotel close to the Arena and public transport to the city 
354887,Ozo Hotel, The staff were not very friendly or helpful The location is in a commercial area which would be difficult for guests without transport, The layout of the room was great
354888,Ozo Hotel, There are so many issues with this property it is difficult to know where to begin 1 When arriving the first thing that struck us was the state of the landscaping Weeds were growing everywhere around the perimeter of the property Not a good first impression 2 Reception staff were very unhappy there was no enthusiasm for their jobs no smiles It became apparent over the length of our stay that the reason for this is due to the hotel Manager He seemed very abrupt and controlling with his team and also over friendly at times so it is no wonder the staff are unhappy 3 There are no complimentary toiletries in the bathroom This is unacceptable for an establishment that states it is 4 star 4 Breakfast was the same every day it would have been good to see some variety 5 Common areas did not appear to be vacuumed at all 6 Our dirty dishes stayed on the restaurant table for 30 minutes with no one coming to clear them , The location is close to metro station which was useful The housekeeping staff were prompt and helpful when we asked for a fitted sheet 
354889,Ozo Hotel, Toilet seat broken in room writing on the wall or the room literally marks on the floor and carpets not going to guess what they were not good overall impression was shabby Redeeming feature was the staff who were very good ,No Positive
354890,Ozo Hotel, restaurant closed early and in business area so difficult evening meal Bathroom lighting for shaving , A little way out of Amsterdam but only a few hundred meters from tram station in to Amsterdam Great breakfast friendly helpful staff Free onsite parking 
354891,Ozo Hotel, Some of the staff was little rude when I ask questions The internet went out for couple minutes but came back But a fast internet , I did like the location take the subway to Amsterdam and the modern looking hotel room The breakfast was excellent They served cold cuts too bacon and beans Coffee juices and more They had vending machine on the first floor Some of the staff was very friendly and some were rude But over roll good I ask for a beer and wine when I arrived and one staff gave us that She was super friendly and helpful One staff came to assist us on the air conditioning situation He came quickly to help with air conditioning Awesome The lowest temp that you can set is 19 C In the day time you can t control the temp It does get warm in the summer and the room gets little uncomfortable The parking is tight and no parking spaces in the front when we arrived But more spaces in the back I was annoyed that they tour buses park on the side of the hotel Really hard to drive and park in the back of the hotel 
354892,Ozo Hotel,No Negative, Location was so easy 15 min from Centraal and 10 min walk from the Metro I was shocked at seeing some of the negative comments about Ozo and can t honestly believe they must be genuine Absolutely loved the place and thanks so much for having me even though such a short space of time 
