,Hotel_Name,Negative_Review,Positive_Review
72164,Park Avenue Baker Street, Very small pictures show as if it much larger , Great service and clean rooms 
72165,Park Avenue Baker Street, The room was located next to the Air con motors didn t get much sleep Not good when you pay 150 per night,No Positive
72166,Park Avenue Baker Street, room too small,No Positive
72167,Park Avenue Baker Street, Dasrs prettty ordinary Pillows n to at great, Staff was very Y efficient ent and helpful 
72168,Park Avenue Baker Street, Typical london hotel not value for money, Good location and wifi
72169,Park Avenue Baker Street, Bedroom on opposite side of road to reception and dining room I found a bit strange It wasn t raining so no big deal ,No Positive
72170,Park Avenue Baker Street, Noisy enough to make sleep difficult ,No Positive
72171,Park Avenue Baker Street, Breakfast was not good cooked breakfast was terrible My room smelt terrible, Location and staff
72172,Park Avenue Baker Street, No bar, Clean and comfortable
72173,Park Avenue Baker Street,No Negative, the hotel was very convenient for both marylebone station and Baker street tube station Regents Park Staff friendly helpful 
72174,Park Avenue Baker Street, Very small double room Very hot despite air con Carpet frayed Narrow steep staircase , The location
72175,Park Avenue Baker Street, early checkout time, convenient location
72176,Park Avenue Baker Street, No elevators and small room Very clean and a very god bed It was good enough anyway ,No Positive
72177,Park Avenue Baker Street, The assigned room was on the ground floor and the traffic noise was very audible, The location of the hotel room
72178,Park Avenue Baker Street,No Negative, Excellent location
72179,Park Avenue Baker Street, no fridge, price
72180,Park Avenue Baker Street, Tiny room Put me in the first room on first floor and it was loud , Location Clean
72181,Park Avenue Baker Street, Some road noise but only to be expected given that it s in central London , Clean comfortable room friendly staff convenient location 
72182,Park Avenue Baker Street,No Negative, A very stylish and fine room Although the hotel is next to a busy street the room was always quite 
72183,Park Avenue Baker Street, Large amount of stairs no room service ,No Positive
72184,Park Avenue Baker Street, Paid more for a club room and got given a very small room which clearly wasn t a club room, Location
72185,Park Avenue Baker Street,No Negative, Small rooms were very quaint and comfortable and very well equipped Really comfy beds 
72186,Park Avenue Baker Street, Was late for 30mins for check out and charged me 25 pounds The room is extremely small and there was flies , Nothing good
72187,Park Avenue Baker Street, Not worth the money such a shame as it was our first weekend in London as a family would like a refund, Not much really
72188,Park Avenue Baker Street, High price 200 but No remote for TV Noisy room Could hear toilets flushing, Close to transit
72189,Park Avenue Baker Street, Overpriced for what you get Room is small no fridge , Good location clean hotel 
72190,Park Avenue Baker Street, I asked for taxi booking the next morning It was a lovely chauffeur driven Mercedes But expensive Ask for a black cab , Having a fridge in the room for cold water
72191,Park Avenue Baker Street, Unfortunately my room smelt mouldy and damp which slightly coloured my view The door to the bathroom did not shut properly which might have been causing everything to feel damp It was a basement single room which despite the location I felt was expensive for 120 for one night , Location Free magazines 
72192,Park Avenue Baker Street, Noisy various electrical devices kicking in randomly throughout the night including the fridge in the wardrobe Room very small Grubby in places Smashed mirror , Great location Nice bathroom
72193,Park Avenue Baker Street, Although booked a deluxe room certainly not deluxe by my standards 6 ceiling lights in bathroom only two were working Fridge did not keep things chilled I bought chilled water which when taken from fridge was at room temperature Breakfast was dreadful Hot food was unedible only option for fruit was tinned peaches , Excellent location 2 mins to tube some very good cafe restaurants within walking distance Regents Park at end of road 
72194,Park Avenue Baker Street, Double room was very small but I was only there for one night so not a major issue , Good location near Baker St tube station Neat and functional at affordable price 
72195,Park Avenue Baker Street, wifi wasn t working properly very annoying the windows couldn t be open properly be on the first floor small room so not so much space to walk, The shower the bed
72196,Park Avenue Baker Street, smell of the room food left overs in the microwave dark room lower ground floor, location wifi nice guy who helps to carry luggage modern amenities in bath TV and wif
72197,Park Avenue Baker Street, No lift Climbing 3 floors with heavy bags and two small kids was a nightmare Website must state tht this hotel doesn t Hv a lift, Location and comfi beds
72198,Park Avenue Baker Street, Originally nervous about not being in main hotel but security was excellent and all rooms had phones and a in house calling system, The standard of the rooms was superb clean functional but stylish 
72199,Park Avenue Baker Street,No Negative, A brilliant stay I booked this hotel literally the night before and I got a fantastic rate less than 70 for a Sunday night in London The staff were very helpful the bathroom spotless a very quiet room considering it is in Zone 1 not far from Baker Street I slept a lot better than expected The hotel is a 7 min walk from both Baker Street and Marylebone so you are never far from good connection
72200,Park Avenue Baker Street, There was no elevator small single room for 10 I expected a higher quality breakfast than was offered , Convenient location near Marylebone Station comfortable bed free wifi complimentary water tea biscuits quiet location
72201,Park Avenue Baker Street, No food available on evening only pizza delivery The lasagne and strawberry cheesecake were awful Breakfast in the hotel was badly organised and poor quality And more expensive when bought in advance reception were offering breakfast for 7 if bought on arrival ,No Positive
72202,Park Avenue Baker Street, Wifi did not work very well The room was really tiny and bed small When travelling single expensive , Nice and helpful staff Location fine Clean room 
72203,Park Avenue Baker Street, Hotel is split between 2 buildings and the double room was small and across from main reception Breakfast is somewhat limited couple of cereals couple of yoghurts a fried breakfast buffet which is nice but few alternatives if you don t want a full English, Good location comfortable room
72204,Park Avenue Baker Street, 10 for breakfast is a bit steep but appears to be the going rate, Very friendly staff I didn t get there until late and I literally went straight to bed but the room was perfect for my needs Tea and coffee for the morning what more could you ask for 
72205,Park Avenue Baker Street, No vegetables for breakfast, Very comfortable room especially the bed clean friendly and helpful personnel 
72206,Park Avenue Baker Street, Being charged 40 for a very poor buffet cooked breakfast, Very little
72207,Park Avenue Baker Street,No Negative, The hotel provides a smart phone during the stay and free calls to EU countries and even Free international calls to some countries Great product 
72208,Park Avenue Baker Street, room in basement,No Positive
72209,Park Avenue Baker Street, Situated over 2 buildings but this was a minor issue , Excellent location Nice staff Clean and tidy 
72210,Park Avenue Baker Street, The room that we were given was possibly the smallest one and the pictures online were not accurate of the room we were given, The bed was very comfy
72211,Park Avenue Baker Street, View pile of towels next to door room next to toilets and kitchen very poor, Good location good shower
72212,Park Avenue Baker Street, Bathroom a tight squeeze, Very modern room bed really comfortable and survice was brilliant 
72213,Park Avenue Baker Street, On third floor with no lift , Staff 
72214,Park Avenue Baker Street, Fire alarm testing late afternoon without warning, Comfortable modern room
72215,Park Avenue Baker Street, Very small room,No Positive
72216,Park Avenue Baker Street, No lift lots of stairs as I have a bad hip, The beds were comfy and the breakfast was good
72217,Park Avenue Baker Street, Shower was too low in the room Was chest height for me at 6 3 Maybe just that particular room , Comfy bed overall nice hotel
72218,Park Avenue Baker Street, Not a problem for us but there was no lift Also the hotel looked a bit tired , Good ratio price quality and very good location 
72219,Park Avenue Baker Street, Everything, Nothing
72220,Park Avenue Baker Street, So small you could not stand to get dressed and shower tray did not drain , good temperature overnight and clean 
72221,Park Avenue Baker Street, Cracked sink no fridge and no hairdryer have complained , Location
72222,Park Avenue Baker Street, The breakfast was a bit underwhelming , The location was great and the room was comfy and clean very reasonable for the price that I paid 
72223,Park Avenue Baker Street, The room was uncomfortably hot impossible to stay in we had to request to be moved, Staff
72224,Park Avenue Baker Street, No lift and narrow staircase room is so small Reception and staying in different building, Location nearby Recent garden and Marylebone railway
72225,Park Avenue Baker Street, There was no fridge in the room as stated The safe deposit box in the room was not working, Very clean newly refurbished room
72226,Park Avenue Baker Street, My room was the other side of the road to the main hotel reception and breakfast, Room was very clean and comfortable bed
72227,Park Avenue Baker Street, Mould and damp smell in ground floor room 23,No Positive
72228,Park Avenue Baker Street,No Negative, Close to Regents Park Baker Street tube station and bus routes into the centre 
72229,Park Avenue Baker Street, No lift but to be expected due to the age of the building , Nice decor and finish Great location
72230,Park Avenue Baker Street, Small room Not so good breakfast , Clean room and bathroom 
72231,Park Avenue Baker Street, Small room, Good location
72232,Park Avenue Baker Street, Nothing, Cleanliness location
72233,Park Avenue Baker Street, No lift, Close to tube station
72234,Park Avenue Baker Street, I was in room 323 the sink was cracked and thy had tried to fix a crack rather than replace ,No Positive
72235,Park Avenue Baker Street, Far to small said had grudge and didn t we bought stuff had to throw it away location was ok but not great , Staff friendly 
72236,Park Avenue Baker Street, Very expensive for a very basic private hotel , Clean and comfortable 
72237,Park Avenue Baker Street,No Negative,No Positive
72238,Park Avenue Baker Street, Room was on the front of the property so it was noisy and also felt we had to keep curtains closed because of passers by ,No Positive
