,Hotel_Name,Negative_Review,Positive_Review
243244,Park Grand London Hyde Park, Room is really small i can barely put my luggage in too small even for a single man , Very convenient location very close to Paddington Station good and quiet neighborhood 
243245,Park Grand London Hyde Park, The room hadn t been cleaned properly we found two tablets left in the room on the floor There was a damp musty smell Electrical sockets not working When we used the shower it leaked flooding the bathroom We asked for some more milk and coffee for the room it never arrived Reception staff rude The room was in the basement and when, Really don t have anything to say that would be an advantage for this hotel 
243246,Park Grand London Hyde Park, Refurbishment of Hotel is ongoing First room was on ground level and could not be entered due to carpet installation during that day Second room we got was on first level and had its window to the ventilation system very noisy Staff was unfriendly On departure day they booked us an unofficial cab where the driver had to call his boss to ask for the price I cannot recommend this Hotel as you get no value for your cash and we are speaking of a quasi 4 Hotel , Hotel close to Paddington Station
243247,Park Grand London Hyde Park, different hotel nothing Grand about this one, Rooms extremely small view out of window was awful with area full of bird poor had to wait 1hr for breakfast 2nd day gave up waiting
243248,Park Grand London Hyde Park, Basic facilities in bedroom No fridge when one was provided it didn t work No towel rails or even hooks to hang all our towels there were 3 of us in a small double room with sofa bed Room sizes have been compromised in these once elegant spacious georgian terraced buildings to accommodate more people , Address is an extra wide tree lined avenue so building is set back from the road 
243249,Park Grand London Hyde Park,No Negative, Great location It s a short walk to the Paddington train station and underground The rooms are comfortable You can either get breakfast as part of the room rate while booking or pay 10 pounds once you get there The staff is friendly 
243250,Park Grand London Hyde Park, Cost was ridiculously high Smallest and most expensive room on our trip As an aside bar tender could not make an expresso literally My least favorite hotel on a 10 day trip , Location to Paddington was great 
243251,Park Grand London Hyde Park, small room but just fine for a weekend , Location easy to get to from Heathrow via Paddington Heathrow express close to the Hyde park ease to walk everywhere great Tube connection 
243252,Park Grand London Hyde Park, Air conditioner turned on in the middle of the night and was too cold The light didn t turn all the way off had a green light on all night, The extra phone in the room Really handy to use for maps in the city
243253,Park Grand London Hyde Park, The room was too small Bed was too soft and also small Not suitable for anyone above average height Toilet area so small that you need to either sit side saddle or with you leg against the wall and knee against a toilet roll holder No clear information to say it is a B B and not a hotel , Location is central
243254,Park Grand London Hyde Park, Having to leave , Fantastic location near Paddington train station Hyde Park is a few minutes walk away There are plenty of shops and some great restaurants close by Room was well appointed very clean and comfortable Bed was extra comfy Breakfast was great Staff were very nice Wi fi was fast and reliable 
243255,Park Grand London Hyde Park, Small room with dangerous 3 steps down immediately on entering the room Loose handrail and extremely slow running sink in bathroom Had to request electricity left on as fridge and air con go off when card removed Breakfast ok but all hot items were cold eggs Bacon etc , Staff and location 
243256,Park Grand London Hyde Park, Bedrooms too small Waiting to be seated at breakfast for over 30 mins Bar area like a canteen No way this should be a 4 star hotel, Location is good for rail connections
243257,Park Grand London Hyde Park, The window was on street level so could see people walking past which meant we had to shut the curtains most of the time This then blocked out any natural light making the room very dark Bathroom was a little small and awkward to get in and out of the shower , The staff were great the hotel called me with a problem with our room They informed us that they would put us up in another one of their hotels with complimentary parking and breakfast for the 2 nights 
243258,Park Grand London Hyde Park, Poor service of can have the room we were offered or would have to stay somewhere else, Very poor was meant to have double deluxe was put in a double room with no breakfast when had been charged for bed and breakfast
243259,Park Grand London Hyde Park, It was a hot day and the room was stiflingly hot when I walked in The A C was a unit right over the bed and though it cooled the room quite quickly it had a loud whirring noise that was unpleasant This would not be a problem much of the time in London only if one were travelling on a hot day , The location was excellent for me close to the rail station and underground on a lovely leafy street a short walk from Paddington The staff were friendly and helpful and I felt comfortable being on my own there 
243260,Park Grand London Hyde Park, The room was occasionally a little noisy but this is central London and it could have done with air conditioning , The room was clean comfortable and nicely laid out Wifi connection was generally very good There was even a mobile in the room for complimentary use locally There was a desk to work at and there was tea and coffee making and even daily biscuits The bathroom was small but modern and spotlessly clean The staff were friendly and helpful Paddington tube and rail was close by and Hyde Park was a short walk away Plenty of places to eat and drink locally Generally the area has a pleasant buzz to it It made for a hassle free and enjoyable stay 
243261,Park Grand London Hyde Park, Bathroom on small side but was clean Shower unit would have been the better option Air conditioning was on the noisy side but on the whole very enjoyable, All staff friendly and helpfull Nothing was too much trouble
243262,Park Grand London Hyde Park, We had a few issues to do with other guests staying at the hotel We had booked 3 twin rooms however on arrival we had 1 twin room and 4 single rooms The hotel then sorted this for the 2nd night so that we had 3 twin rooms The manager was extremely helpful in sorting out our issues and resolving them , Great location
243263,Park Grand London Hyde Park,No Negative, The staff were friendly and very helpful The phone from the room was a excellent thought from the Hotel to let us use for the stay and walking around London
243264,Park Grand London Hyde Park,No Negative, Friendly staff Rooms small but clean and supplied everything thing we needed Surprisingly quiet for such a busy location Great location Restaurants everywhere Hyde Park and Kensington Park just a short walk from hotel Pattington Station easy to navaigate for train and underground access Highly recommend this hotel 
243265,Park Grand London Hyde Park, Pot of tea wasn t offered at breakfast until nearly finished eating even though I had to go and ask for one it still Didn t arrive for another 5 minutes Was offered room 505 at first and I didn t like the fact the bed was pushed up against the wall I could not sleep in that bed I requested for another room and had to wait over an hour for one We originally had to wait for an hour for the first room I would ve thought complimentary drinks would have been offered but they weren t I appreciate there were late check outs and rooms have to be cleaned however complimentary drinks snacks would have made the difference We were sat on sofa opposite the check in desk and although it was busy I felt just an acknowledgement from the reception staff that they remembered we were sat there and giving us the progress of our room being available We were just sat there watching lots of people checking in and going to their rooms We felt like we d been forgotten Over 2 hours waiting to get a room was disappointing We were attending the Phil Collins concert in Hyde Park and had missed the first 3 hours of it which was disappointing We had travelled from Liverpool and had been up since 6am and really didn t want to be hanging around for a room We paid 224 for a room and I felt the first room we were offered room 505 was not value for the money we paid The dressing table in our room room 607 did not have a stool to sit on although there was a chair in the room the bed was in the way and therefore wouldn t fit in front of it The bedside light would not go off at all no matter what switch we used so we had to take it out of the holder to go to sleep It was replaced the following morning I also thought given the money we paid we would ve had slippers and dressing gowns to wear The largest bath towel wasn t that big , The tall concierge dark hair was very courteous and showed concern interest and made us feel welcome 
243266,Park Grand London Hyde Park, Bathroom very small Aircon didn t work properly , Easy walking access to Paddington Rail station Heathrow express Oxford etc as well as tube station Close to Hyde Park and Kensington Gardens 
243267,Park Grand London Hyde Park, Everything was good , Comfy air conditioned room for one Appreciated the biscuits left with tea making facilities Good shower Very comfortable bed Suitcase rack was useful 
243268,Park Grand London Hyde Park,No Negative, To our surprise there were no rooms available for 3 persons so we were referred to another nearby hotel This was a very nice surprise as we were driven to a charming Park Grand hotel where we enjoyed a lovely weekend The service was excellent and we just loved the hotel 
243269,Park Grand London Hyde Park, Nothing to say as i like all of it, Was there last year too the staffs there are very welcoming Specially Lucian i call him Mr Gps Because i always ask which road to take to go somewhere always smiling a friendly person and also always helpful also for Pavel and Adriana They were always here to help Will recommend this hotel to everyone 
243270,Park Grand London Hyde Park, The room is too small and the corridor to the room is too narrow The access to the room has to go through the stairs Too troublesome when we have a heavy suitcase to carry up the stairs ,No Positive
243271,Park Grand London Hyde Park, I had specified no stairs on my booking form but the room I was given when I arrived was up two steep flights of stairs When I complained I was given another room This room was tiny even by London standards with no room for a bedside table and looked out onto a light well The dark wood and curtains added to its cave like appearance The mattress was lumpy and sloped to one side The bottom sheet was so small that it could not be tucked in The duvet cover was at least six inches too short exposing the bare end of the duvet All in all I expected a lot more from a four star hotel , The shower was excellent 
