,Hotel_Name,Negative_Review,Positive_Review
461546,Park Hotel,No Negative, The staff were very friendly and helpful which made the stay even better My partner and I were given a free room upgrade when we arrived and the room was gorgeous the bed was unbelievably comfortable which is always a bonus the views from the room were lovely as well room was cleaned very well each day we were there I could not fault this hotel at all 
461547,Park Hotel, The lighting within the hotel is a bit too dim for my liking It totally contradicts the beautifully light restaurant downstairs and makes the reception area feel uninviting , The restaurant downstairs Momo was absolutely incredible The cuisine is an Asian fusion type that blends modern with traditional The prawn tempura sushi and the Waghu in my opinion are a must have The rooms were comfortable and clean Perfect for our short stay in Amsterdam The staff were also incredibly helpful and were prepared to go the extra mile for us The location of the hotel is perhaps one of the most appealing things about this hotel It is situated within the center of town and is close to all amenities and popular streets such as Prinsengracht 
461548,Park Hotel, Not much with the exception of having to go to a separate room for ironing, Location is ideal for central Amsterdam Comfortable room and pleasant staff 
461549,Park Hotel, Cost of food drink Breakfast was 18 5 Euros per person but excellent bars and restaurants within a stones throw of hotel and used mini bar to stock with own drinks from supermarket , Modern hotel in excellent location to tour all of Amsterdam especially the Museum quarter 
461550,Park Hotel, Room a bit small toilet closet a bit small and separate from shower and wash basin , Good location close to museums and restaurants short walk to all the main attractions friendly staff good breakfast 
461551,Park Hotel, When elderly guests arrive with a full night of inter atlantic travel and exhausted it would have been helpful To have the flexibility to enter our room earlier We arrived at noon and had to wait in lobby for 3 hours and fell asleep exhausted on the couch , Breakfast was excellent Lots of fresh fruit choices of egg dishes different meats cheeses Plentiful and services personnel was professional and friendly The room had a nice view of canal and bed was comfortable The shower was amazing 
461552,Park Hotel, nothing could nt fault it, friendly staff so helpful i upgraded my room do like my comforts would recommend this hotel to family and friends could not fault the hotel from when i booked in to when i left
461553,Park Hotel,No Negative, Room was lovely we asked for a quiet room so that is why the view wasn t so good but we didn t mind They gave us a free upgrade to a a junior suite so that was a nice surprise The only problem we had was that we found the bed was very very soft not too good for someone with back trouble Otherwise the hotel was lovely The hotel is one minutes walk from the nearest tram bus stop with direct links to the airport or central station 
461554,Park Hotel, The beds were way to soft and even taking the mattress toppers off did not help Need new beds , The staff and the location were par excellent the best
461555,Park Hotel, I booked an Executive Double for myself and my husband it was advertised on booking com as having a luxurious bathroom with a separate bathtub and rain shower There was a welcome note addressed to a different guest I was clearly allocated the wrong room No bathtub for a start it had a separate door to a shower cubicle The sink was in the main room there was another cubicle for the toilet It had an unnecessary extra bed taking up space perhaps that works if you have a child with you or are on a hen stag weekend but only 1 chair to sit in The TV did not work and it took several calls before anyone came to fix it because the Receptionist failed to pass on the requests to Maintenance I was given a bottle of wine as an apology for the hour wasted getting someone to deal with it I disputed the room at the time and asked to be moved this was refused It was full and the person claiming to be a Manager did not have any authority to refund me the price difference I requested a refund of roughly 60 on my return When you pay 269 60 city tax for a room for a night you should expect first rate customer service From the moment you enter the hotel and see the long line to check in with the Receptionists taking other calls when they should be dealing with the person in front of them it is obvious service is not a priority here They have also failed several times now to respond to emails within their own service guidelines The first response was robotic and clearly used for all complaints I chased them up again and the second response failed to address the issue no separate bathroom I am told the room I had cost 60 more Really dream on That could only be if you are paying for an extra bed to be slot in more people I will try a third time I really feel this place is a shambles I wasted so much time while there and since my return No apology or acknowledgement they made a mistake with the room allocation ,No Positive
461556,Park Hotel, Bathroom was only separated by a curtain but this wasn t a huge issue , Staff were very friendly and helpful At the end of each hall there was a bowl with complimentary apples to get your day started which was a lovely touch 
461557,Park Hotel, There was a funny smell in our room possibly coming out of the sink Too warm in the lobby Wifi was slow , Excellent location Wonderful porters Nice staff Comfy bed Loved the coffee and drinks bar in the lobby with the servers and comfy chairs 
461558,Park Hotel,No Negative, Our daughter has lived in Amsterdam for nine months and when she gave us the opportunity to join her she made a reservation for us to stay at the Park Hotel As we entered the hotel we were immediately greeted with a glass of cucumber water from a staff member situated separately from the registration desk This was a very welcoming gesture Every staff member no matter what their role provided us with the same care The entrance and reception areas are modern and light pours in through the large glass exterior We landed early stored our luggage and left for our daughter s home Hotel personnel texted that our room was ready before the checkin time From our room we could see a bit of the main canal which was fun and we discovered the hotel is located in a central location Our experience at the hotel was short but we very much enjoyed Amsterdam seeing the city through our daughter s eyes Her choice of the Park Hotel played a part in our enjoyment We highly recommend a stay in the Park Hotel 
461559,Park Hotel, The staff was very formal and distant Maybe this is typical for a 4 star hotel but it s a feature I don t like , The position is great and the room comfy However nothing above average 
461560,Park Hotel, The hotel has the awful service Everyone in the hotel startibg from the concierge and receptionist business center stuff are so rude and arrogant and slow I wont stay there anymore , It is my second stay with Park hotel I Like rooms and breakfast Location is very good as well 
461561,Park Hotel, Everything was very good but the staff was extraordinary Especially a young man named Pim who was most helpful with anything we needed , The bed was like a cloud unbelievable 
461562,Park Hotel, Somewhere to put our bags, Room was very modern Plenty of living room but could have done with more space for our bags Bathroom was well set out Very clean Good Wi Fi Located close to Van Gough museum A few parks were very close by a canal across the road A few restaurants across the canal as was the Casino 200 metres away 
461563,Park Hotel, No balconies apparently not allowed in Amsterdam , Heavenly bed and fabulous breakfast buffet spread Leidseplein is almost across the street and Rijksmuseum less than 10 minute walk away Famous Vondelpark also just around the corner 
461564,Park Hotel, The rooms are very cosey and the bathroom was in the room just a glass bifurcation was made The room had cooler no AC, It was at the centre walkable distance from public transport Friendly staff
461565,Park Hotel, It was a last minute booking due to the cancellation of our original booking It stated on the website the price cones with free breakfast but upon check in we were told we have to pay extra for the breakfast The room given was tiny and the housekeeping wasn t up to stardard , Location
461566,Park Hotel, Initially we were offered a room without windows on the ground floor with light coming from the half glassed ceiling We had to ask for another one and only then we were offered a standard room on the 5th floor Minding that the hotel most likely was not fully booked it was a drawback , The location is pretty good Just a few steps from Vondel park and a few more from Meseumplein The surrounding district is just great A few trams which stop nearby run directly to the center or one can walk for 25 30 mins The bed was really comfy as well All the basic stuff was in the room including tea coffee facilities 
