,Hotel_Name,Negative_Review,Positive_Review
91532,Park Lane Mews Hotel, Rooms were in great need of re fit tatty breakfast was ok nothing special one member of staff picked a knife up that had fallen to the floor and reused it when resetting another table , The staff were helpful location very good the outside look of hotel is lovely and nice area to wander round Easy walking to oxford street etc 
91533,Park Lane Mews Hotel, Price per night simply reflects the area n at Park Lane Would not pay that tariff for tired and dated facilities anywhere else Unable to open window as screwed shut and mobile air con unit made the room even hotter as the motor was running so long , Close to Hyde Park for a BST concert we were attending Fri melt and helpful staff good food and a breakfast deal if you booked on arrival which we opted for 
91534,Park Lane Mews Hotel, The hotel needs to be upgraded I had a single room which was good value for money but it was just that a single bed and very small room not often found in hotels these days , Really good location Friendly staff The breakfast was OK 
91535,Park Lane Mews Hotel, Not accessible so don t book here if you re in a wheelchair because there are 3 steps to get to the lifts , The location was pretty good if a bit hard to find 
91536,Park Lane Mews Hotel, Place in general is very tired Beds are not comfy or luxurious but sheets are very clean Bathroom is really outdated and in very poor condition , Location is great Room was hot due to good weather Room had an AC machine which is great to cool down room quickly but it s very bulky and very very noisy
91537,Park Lane Mews Hotel, The location of this hotel is at the rear of the Hilton at Park Lane Directly opposite is their loading bay Constant noise of recycling of glass bottles and heavy goods vehicles Entry and exit point for staff End of shift staff from the Hilton blaring radios on scooters and shouting loudly to each on breaks , Nothing in particular
91538,Park Lane Mews Hotel, everything , nothing surly reception chipped formica bedside ripped wallpaper hole in window for dirty old air conditioning hose disgusting loads of outside noise filthy sofa in reception too chambermaid was only saving grace with spotless towels bedding but NEVER again 
91539,Park Lane Mews Hotel, no room boy to take your bags while check in and out , big rooms and clean staff are so kind and smiling all time the location of hotel is near greenpark and shops great room secvice 
91540,Park Lane Mews Hotel, Very dated decor and new bathroom needed Curtains didn t fit window frame by 5inches so sunlight shone through great if you wanted to get up at 5am , Location
91541,Park Lane Mews Hotel, The property is badly run down and needing attention badly marked walls and doors dirty appliances and I wouldn t take my socks off on that carpet The lifts stopped working The hot water was unreliable on the first night Very surprised at the state of the hotel given the price ,No Positive
91542,Park Lane Mews Hotel, I was asked if I wanted breakfast the following day when checking in but decided in the morning that we did not want any so I called at 9am to cancel however was told that because I booked it at check in at a promotional price I was not aware of this I was not entitled to a refund Quite disappointed this was not explained at the time 32 down the drain , Competitive price for where you are staying 
91543,Park Lane Mews Hotel, Facilities were antiquated The room was small carpet was old wallpaper torn smudged and in extreme disrepair Air conditioning was noisy at all times Breakfast was marginal For these reasons would not book a stay there again , Staff was very helpful pleasant and assisted us assisted us in every manner House keeping was actually found our rooms cleaned and fresh supplies daily This however could not offset the condition of the room Channel selections on the TV were marginal at best very few available stations to watch in the evening when we return to the room
91544,Park Lane Mews Hotel, See above , There was no drawers or place to put clothes Was very noisy Staff was below the window making slot of noise No concierge Not very Helpful with tourist assistance Told me to pick up one of the brochures I actually walked over to the Hilton for advice They were really very nice and helpful 
91545,Park Lane Mews Hotel, Windows in the room were difficult to open and air conditioning was noisy Not sure we would feel that we got value for money if we had had to pay the full listed hotel price , Location was very good for our visit to the Hyde Park festival and relatively quiet Staff were friendly and efficient Breakfast was good and was worth the special offer reduced price Nice comfortable public room with bar We considered drink and food prices reasonable for a central London hotel 
91546,Park Lane Mews Hotel, If you are after a gym and pool or a fancy restaurant in the hotel then this ain t the hotel for you but if like us your weekend is already packed then this makes a great base , Great location for Hyde park Green Park and buck place if it takes your fancy The local bars and restaurants are just meters away on a small mews behind the hotel are a really high standard The hotel is fairly basic but its tastefully decorated and the room was very clean and perfectly functional 
91547,Park Lane Mews Hotel, Room was small and noisy the air con sounded like a tractor and the noise from outside was constant all night If you want a good night sleep don t stay here We had an executive room so for the extra cost you get a dressing gown which we didn t use 2 bottles of water which are not replaced for the second night and some shower gels the room is small and has no drawers for clothes we won t be returning,No Positive
91548,Park Lane Mews Hotel, Breakfast wasn t hot and tea and coffee very poor And don t ask reception to book a taxi Went to Marble Arch fixed price of 17 00 black cab back cost 4 80 from the same location Taxi rank just outside the Hilton 1 minute away, Great location Comfy bed good air con
91549,Park Lane Mews Hotel, The bed The TV Having to pay separately for the breakfast, The bed was too small The TV did not work The air conditioning was very noisy but the staff were friendly and helpful Breakfast was not included so I signed for it but the waitress was difficult about it Why not include breakfast 
