,Hotel_Name,Negative_Review,Positive_Review
359317,Park Plaza Vondelpark Amsterdam, You have to get your luggage to your room in a round about way ask for help , Staff were very accomodating extra pillows towels chairs Nice bar good room service On the tram line and a few blocks out of the noise of downtown 
359318,Park Plaza Vondelpark Amsterdam, The rooms had poor isolation and in my honest opinion not the standard I usually get in a 4 hotel It wasn t 20m2 like in the ad here on booking and the rug in the room wasn t very fresh, super friendly staff they definitely met my expectations and made us feel very welcome 
359319,Park Plaza Vondelpark Amsterdam, No milk provided with kettle lack of privacy when using toilet, Located in a quiet area helpful staff easy access to public transport spacious and modern rooms
359320,Park Plaza Vondelpark Amsterdam, The breakfast was also really expensive and luke warm Only had it once but it was on our last day which killed it a bit I left all of mine and at 19 50 a day that s not amazing , The staff were so so so helpful and friendly booked our taxi to the airport Ordered us a pizza at 3am Always smiley always say hello Very very good Made sure we were comfortable nothing was ever too much trouble and everyone went out of their way to help us and deliver things to our room Our room was upgraded for free upon arrival which was a lovely gesture and it was absolutely gorgeous Located in the old building it was really nice and quiet 
359321,Park Plaza Vondelpark Amsterdam, No complaints , The location of the hotel was slightly outside of the main city but everywhere was easily accessible via the tram system If you would prefer to stay in a quiet and tranquil part of the city nearby a beautiful park then this is he place for you 
359322,Park Plaza Vondelpark Amsterdam, The cleaners need to pay more attention to things like cobwebs, The area around the accommodation is fantastic lovely cafes shops and parks Makes for a nice walk into central Amsterdam
359323,Park Plaza Vondelpark Amsterdam, Bathroom door transparent no bedside sockets very squeaky chair Charged the room to my card when I was paying cash so was charged a fee and also lost money through exchange, Spacious room clean great location
359324,Park Plaza Vondelpark Amsterdam, The gym I was not really interested in , The vondel park plaza sadly had no restaurant However you could get bar food but with limited choice However the bar staff were very obliging All staff were excellent and pleasant 
359325,Park Plaza Vondelpark Amsterdam, My room was dark from both day light and room light point of views and not so quiet for morning nap And the room vs bathroom arrangement was unusual and unpractical a very small sink was placed directly in the room with no alternative in the bathroom , Cleanliness of the room the lovely neighborhood of the hotel with a big park and the lavish variety and quality of the breakfast and last but not least the friendliness of the staff 
359326,Park Plaza Vondelpark Amsterdam, Paid for the queen superior room which was very small not worth the money I took a shower the second day of my stay and the carpet outside the glass became damp and smelly when I approached the staff about this problem they said it was the toilet over flowing They relocated me to a generic room with no compensation for the hassle the second room was uncomfortable and I did not enjoy my last stay at this hotel Other than that the overall stay was perfect the area was relaxing and central to everything ,No Positive
359327,Park Plaza Vondelpark Amsterdam, Open style shower toilet not separate from the bedroom Not ideal when there is two of you We weren t actually aware of this when booking so was a bit of a surprise when we turned up , The location and the staff were very friendly and helpful 
359328,Park Plaza Vondelpark Amsterdam, Not being able to use the elevator to get to the lowest level before walking through the pathway to the extension elevator Carrying luggage up and down one flight of stairs is inconvenient The breakfast fee was far too expensive so we opted out and enjoyed the local bakery instead , The room was modern clean and comfortable The staff were very friendly and helpful Great location with tram 2 right out front to go to all the major plazas as well as central train station 
359329,Park Plaza Vondelpark Amsterdam, The doors to all the rooms and corridors slammed when closing made it difficult to get to sleep at an early time as each time someone returned to their room they d wake the entire floor , The wifi was excellent 
359330,Park Plaza Vondelpark Amsterdam, Staff member who checked us in was so unwelcoming it shaded our whole experience Made us feel singled out and as if we don t belong Weren t helped with our big bags either I paid with card asking for a separate damage deposit is absolutely ridiculous It was one night ,No Positive
359331,Park Plaza Vondelpark Amsterdam, The fact that they refused to cancel breakfast we were leaving early the next morning for Venice even though we requested to do so about 18 hours prior The breakfast is also nothing special and the price ridiculous Only negative about this hotel , It is close to the park and about 200 meters from the tram stops making trips in and around Amsterdam extremely easy The staff were very friendly and helpful A conveniently situated and comfortable hotel 
359332,Park Plaza Vondelpark Amsterdam, I had requested an early check in 3 months previously and at nonpoint was I told this was not possible, Elemis bathroom products stylish design hard working staff
359333,Park Plaza Vondelpark Amsterdam, It would have been value for money if they had included breakfast in the price as 19 50 Euros is pricey when u can get a cheaper breakfast nearby, Liked being very close to vondel park especially as the weather was so nice in June Close to tram and about 15 min walk to museums
359334,Park Plaza Vondelpark Amsterdam, The noise from the cleaner getting equipment out in the morning which woke us All the lights in the room on one switch which meant we woke each other up in the night when using the bathroom, The comfort of the bed The location by the park and proximity to local coffee shops and restaurants
359335,Park Plaza Vondelpark Amsterdam, Wasn t as close to the centre as we hoped for it to be but it was just down the road from a tram stop that came in very handy , The hotel was beautiful and very clean in a quiet location the bed was perfect
359336,Park Plaza Vondelpark Amsterdam, No lift or escalator to the connecting building cases have to be lugged up and down stairs Also rather expensive , Superb situation on the perimeter of Vondelpark and within walking distance to the tram which takes you into the centre The hotel is ideally situated in a quiet neighbourhood and features free wifi Staff very friendly and helpful 
359337,Park Plaza Vondelpark Amsterdam, this pictures on booking com do not show the current status of the hotel This is NOT a 4star hotel the rooms a very tiny i booked a double twin bed superior room it was not ready and after changing rooms 2 times they were very old and one had the toilet behind a glassdoor in the room we finally got a room that was very tiny but at least modern , nice location 2 min walk to vondelpark and to tram
359338,Park Plaza Vondelpark Amsterdam, Overnight noise doors banging and corridors easily transmitting voices to be expected though as assume people leaving to get flights , Excellent breakfast Able to adjust room temperatures easily Very comfy beds Friendly staff 
359339,Park Plaza Vondelpark Amsterdam, I am afraid my room was not 4 star quality as 1 of my slatted blinds was damaged and too much light was able to come through The kettle was tatty there were some scuff marks on the walls the base of the bed had scuff marks too The view from the side window was of the roof with bits of broken concrete I really felt the room was 3 star at a push The only full length mirror was inside the wardrobe and the door would not stay open so was alomost impossible to use the mirror I was very dissapointed with my room , Staff as they were well presented and polite The Location was perfect Cleanliness was excellent The hotels Vibe bar was relaxing with a pleasent outlook from its veranda 
359340,Park Plaza Vondelpark Amsterdam, Small room sloped roof light shining in poor blind and curtains Carpet pretty stained and just seems tired , Friendly reception staff Breakfast area and buffet breakfast nice but 19 euros is a little overpriced 
359341,Park Plaza Vondelpark Amsterdam, A little noisy There is no clock in the room The breakfast is expensive so we did not check it out May have been worth it , Friendly helpful staff Very clean Has a room safe A little over a mile to Old Town but we like to walk and you can walk the whole way in beautiful Vondel Park The metro tram runs right past the hotel 
359342,Park Plaza Vondelpark Amsterdam, Not many places to eat in the immediate vicinity so need to enjoy a walk or tram ride Doors very noisy and were slammed a lot by staff so not a good place to sleep in , Close to tram and beautiful Vondelpark Only two tramstops to VanGogh museum Quiet street and lovely safe neighbourhood
359343,Park Plaza Vondelpark Amsterdam, The bathrooms were see through so if you share a room with someone just be careful because you ll be seeing each other go to the toilet shower bath , The room was massive the staff were happy and helpfully really enjoyed my stay 
359344,Park Plaza Vondelpark Amsterdam, There is no bath room in a room Bed is separated from a toilet and shower by thin glass with a slightly mat strip in the middle It is not top to bottom meaning you can hear everything what is going on which is very uncomfortable if you do not travel on your own , Good British Breakfast however it is slightly overpriced 
359345,Park Plaza Vondelpark Amsterdam, The see through bathrooms The beds were 2 pushed together and had an uncomfortable lining underneath, The rooms were nice and big The beds were lovely and bright
359346,Park Plaza Vondelpark Amsterdam, There was nothing I disliked, The beds were extra comfy the toiletries excellent quality Elemis staff really friendly and helpful Being close to the beautiful Vondelpark was perfect The breakfast was also of superb standard 
359347,Park Plaza Vondelpark Amsterdam, The bathroom No privacy at all The bathroom is part of the room It is made of glass walls and everything is visible trough them There is space between the glass doors and the ceiling so not quite a bathroom The owners should definitely fix this problem The canal smell in the room That was a problem as the only reversible window could not be fully opened The breakfast has no variety The omlette is tasteless Same menu every morning I would not choose the breakfast next time especially that it s very easy to get to a nearby restaurant Not worth it The price is too high for the services Not quite 4 star services , The personnel is very very polite and helpful We received guidance for the city and there were no issues during our stay Perfect location The hotel is in a rezidential area The tram no 2 is right in front and takes you directly to all Amsterdam highlights on the same route with Rijkmuseum van Gogh Dam square etc Also there are shops and restaurants next to the hotel The cleanliness Every day the towels were changed and the room was very clean Very comfortable beds clean sheets and towels Our room at the 5th floor mansard had a lot of light I liked that 
359348,Park Plaza Vondelpark Amsterdam, Our room was difficult to reach from the lobby we needed to go down the stairs and take a lift just to arrive on the same level as reception there was no direct lift walking access to the same floor so having several luggage pieces it was not easy Breakfast just one objection the chocolate cream was really not tasty at least for Nutella lovers , The room was a bit different the bathroom was separated by a glass wall so I could watch TV while in the bathtub D Water was hot enough nice pressure lots of TV channels comfy bed and lots of pillows Iron safe coffee tea all was there Also the breakfast was generous Reception staff was very friendly especially night staff Very close to the park 10min walk to Rijksmuseum 3 min walk to tram stop 
359349,Park Plaza Vondelpark Amsterdam, Our twin room had uncomfortable mattresses and the room was small and the air con didn t work, Very helpful staff especially as we had a problem with the first night s room
359350,Park Plaza Vondelpark Amsterdam, I was accommodated in a room below the category that I paid for to my question why the room looks different from what I booked I heard that they sold another building 4 days ago as it is not professional I do not want to return to this hotel ,No Positive
359351,Park Plaza Vondelpark Amsterdam, The glass toilet shower room so while lying in bed you can see hear all that your partner is doing in there Very expensive for what you get The tea making facility and kettle are next to the bed inches away from the pillow in my opinion not safe and not convenient , The rooms are clean and staff very polite the tram stop is very close to Hotel so easy to travel 
359352,Park Plaza Vondelpark Amsterdam, Nothing , The staff s quality of the English language was amazing they really went out of their way to help us with tourist information and spent 10 minutes explaining lots of useful things even though there was a queue waiting to check in We thought this was really lovely Everybody from the cleaning staff to the hotel desk staff were lovely to us and made our stay even more enjoyable 
359353,Park Plaza Vondelpark Amsterdam, Location was beautiful but took a little longer than I thought to get to the centre but the tram stop was just a 5min walk and took around 20 minutes to get to the centre, The bed was amazingly comfortable The best sleep ive had in a long time
359354,Park Plaza Vondelpark Amsterdam, The hotel is not a patch on those in London to which we are regular customers The room bathrooms are just not acceptable as a glass box within the room This hotel is not a 4star as it is advertised , Location
359355,Park Plaza Vondelpark Amsterdam, The room was far to small no room to move The shower was hanging off the wall stayed before and enjoyed my stay don t think I would stay here again Feel let down and not very happy, Not much this time
359356,Park Plaza Vondelpark Amsterdam, The amount I paid for the room at this hotel was daylight robbery and yes I am taking account of the fact it was Easter Has I have paid half of what I did it would still have been expensive for what I got but more realistic The room had a see through bathroom which is apparently the hotels concept I queried why this wasn t mentioned on the website but they said they can t as people wouldn t stay as no body likes it they had a limited amount of rooms without that type of bathroom but unfortunately we weren t first in the q to be moved The worst part about this bathroom was the drain mildew smell that filled the whole room the room was also incredibly dark the only main light was in the bathroom meaning very little light in the actual room , The location was fab the staff particularly the bar staff were excellent the food was very good
359357,Park Plaza Vondelpark Amsterdam, Our phone nor safe worked in our room and when we told the front desk they never sent anyone to repair them , I love the neighborhood in which this property is located It checked off every box was close enough to central location of everything but far enough to enjoy a totally different vibe The tram ride was 15 minutes tops and it ran very frequently Never waited more than 10 minutes 
359358,Park Plaza Vondelpark Amsterdam, When we checked in the receptionist wasn t in the least bit friendly or helpful , The bedroom was comfortable clean well equipped with good use of space 
359359,Park Plaza Vondelpark Amsterdam, Since there are also Asian guests in the Hotel there can be some Asian Indian Breakfast added Eggs can be done in different styles , Some more varieties of Croissants can be added 
359360,Park Plaza Vondelpark Amsterdam, Being given a tiny single room for 2 OAPs Which they called an Executive room It was furnished with a large bed against one wall one would have had to crawl over to get into bed just enough space to pass on the other side SHOCKING Requested a quiet room After complaint we were given a slightly bigger room Comment definitely not Park Plaza standard A really big disappointment And certainly not value for money , Public areas very pleasant
359361,Park Plaza Vondelpark Amsterdam, NA, Great location few minutes walk to Valeriusplein stop Easy to get to by taxi or uber if you are on a night out in Leidseplein or checking exhibitions and arts in Museumplein Vondelpark is stone s throw away and 30 40 minutes walk to Centrum If you want to go a little further away from the hustle and bustle but convenient to get to and from check this hotel 
359362,Park Plaza Vondelpark Amsterdam, The bathroom wasn t very private as there are no walls around it just matt shower glass so my boyfriend had to go poop on the ground floor the first night Also our order for room service was not picked up but the staff more than made up for it by allowing us to check out late and bringing us breakfast in the room , We got upgraded to a better room because the original room we had booked was sold out The room was big and nicely decorated 
359363,Park Plaza Vondelpark Amsterdam,No Negative, The location was excellent only a few stops with the tram number 2 to the center of Amsterdam The staff was very friendly the room comfortable and cosy we haven t enjoy the bathroom no personal space and we hadn t not a vue of any kind from our windows only cigarettes Furthermore our rooms was in the basement and the absence of the elevetors or a bell boy was not a positive element Especially with our baggages
359364,Park Plaza Vondelpark Amsterdam, The room we stayed in was vlose to the main entrance so it was noisy and could hear the door banging all night as people walked in and out , Well situated close to the park and centre and great bike facility to rent bikes for the day 
359365,Park Plaza Vondelpark Amsterdam, The price is very very above their service quality When me and my wife got the hotel we offered to pay the amount before check in although it is not a requirement They said that we have to pay the hotel amount with a 50 eur deposit additionally although it was not mentioned in their website We did not approved that The staff was not friendly and helpful even the did not smile for once Especially the young guy at the reception is not well qualified We will never stay there again It is very very far away from everywhere even Vondelpark , The room was clean and the hotel is located at a silent district of the city 
359366,Park Plaza Vondelpark Amsterdam, Restaurant did not open for our stay although hotel was busy Food choices consisted of 5 choices of food in the bar which i must confess were more like readymeals but cost around 17euros each If you have a very small selection at least do them well Had a rather expensive superior room which was tiny and tbh naff Nothing would posess me to call this room superior and im still cross about the price we had to pay for it As the queen size bed was two singles pushed together with two single quilts , Pleasant staff stylish reception lounge and bar 
359367,Park Plaza Vondelpark Amsterdam, I was charged twice once the price advertised on booking cOM and the hotel also chared me also 569 pounds I am very unhappy and never use booking Com again ,No Positive
359368,Park Plaza Vondelpark Amsterdam, The Bathroom having a glass door not good at all No privacy or sound proofing Please change the doors , Comfortable rooms good food friendly accomodating staff 
359369,Park Plaza Vondelpark Amsterdam, Our room was next to the elevator we could hear it every time it was being used , Our room was clean staff was really helpful The view of the park was lovely Their restaurant and breakfast was good We had enough choices 
359370,Park Plaza Vondelpark Amsterdam, I didn t really like that the shower and toilet were in the bedroom and not in a separate bathroom because there wasn t much privacy when using the toilet and the steam from the shower steamed up the bedroom , The room was modern and the bed was really comfortable and it was huge Also loved the shower it was very spacious and modern The hotel is in a great location only a few tram stops from the centre too so you can stay nearby where it s quieter or go into the busy centre 
359371,Park Plaza Vondelpark Amsterdam, The room was tiny and not very clean We stayed 9 nights but bed linen was not changed even once , The hotel is near a big park not far away from the center of Amsterdam 
359372,Park Plaza Vondelpark Amsterdam, Didn t like the bathroom it was made of glass so you could see the person using the toilet On checkin reception asked us if we wanted to have our towels changed every day or if we would make do with the one set they gave us to be eco friendly Also we agreed to donate 3 euro to some charity instead of having our room serviced every day We were told that at any time we could have fresh towels just ask anyone at reception This was not the case at all We were there for 4 nights and never had our room serviced at all We got no towels changed no toilet paper no bins emptied The room was a mess as there s nowhere to put anything no shelves in bathroom for ur towels so we had to leave them on bedroom floor We twice asked at reception for our room to be serviced but they didn t do it When we were leaving we complained to them about this and they did nothing We were disgusted I would never stay here again The reception staff don t seem to communicate with the rest of the staff and no matter what we asked them they didn t know They look confused all the time Also the breakfast was very limited which is not how the hotel sells themselves Our room was outside the hotel in another building which was a annoying as it was raining every day and we had to wear our coats to breakfast every morning Another thing they don t tell you , The beds 
359373,Park Plaza Vondelpark Amsterdam, Not happy that the hotel have not given us our damage waiver back even after calling numberous times being told that I will receive an email and still haven t first told it would take 2days then 3 then once calling again told it would take 30 45days and still nothing Due to this I would not recommend this place because we have not been treated fairly, The hotel was perfect in a quiet area but still wishing distance to many trips out
