,Hotel_Name,Negative_Review,Positive_Review
160702,Pestana Chelsea Bridge Hotel Spa, The view over the railways from my room The pool closed early , The bar open late and serving food that made a perfect little meal Quick service good choice Location next to the Battersea park just across the road Very easy to reach the hotel by bus good to know if you are actually living in hotel and going there for a city break for instance 
160703,Pestana Chelsea Bridge Hotel Spa, Unfortunate experience with lunch upon our arrival Attention to detail would have saved a lot of unnecessary bad feeling and lack of confidence in the ability of staff involved , Restaurant food exceptional service and attention very good Room very comfortable and spacious 
160704,Pestana Chelsea Bridge Hotel Spa,No Negative, Second time I have used for business My room was really clean and well presented I was on the quiet side of the hotel so really lovely Facilities good nice pool not huge but there was no one else in when I went for early morning laps Also sauna and stream Breakfast offers really good selection They were busy good service when I first sat down I asked for fried eggs which are cooked to order which were a bit slow coming out Overall really good quality hotel close to central London and Chelsea Really nice to have Battersea Park just across the road great park really nice feature lots to see 
160705,Pestana Chelsea Bridge Hotel Spa, Even at the coolest setting the room was too hot at night This was not during a spell of hot weather which in any case does not bother me The breakfast room was also too warm in places near the aircon outflows although the staff could not have been more helpful in trying to move me to a cooler part of the area , The bathroom was wonderful with a great shower Bed very comfortable and room spacious 
160706,Pestana Chelsea Bridge Hotel Spa, Lack of nearby public transportation distance for places of tourist interest , Room was spacious and the bed was very comfortable Location near the park and the Thames is good and pleasant for walks 
160707,Pestana Chelsea Bridge Hotel Spa, The photographs of the hotel make the public areas look much bigger than they actually are consequently the bar area can get very full While there a large group moved into have drinks which made it impossible for individuals to sit anywhere or order anything so we had to leave to find refreshments elsewhere The location is poor Battersea is a pretty dead part of London over the bridge on the north side is Pimlico also a dead area and the bottom part of Chelsea it s a hike to find some life Air conditioning in rooms is poor avoid sleeping here on hot summer days , Beds are comfortable and the rooms and bathrooms quite big for a city hotel 
160708,Pestana Chelsea Bridge Hotel Spa, Mattress needs to be replaced Poor selection of breakfast and expensive for value of money morning coffee was tasteless location is a bit far from all the attractions in London minimum fare to the nearest attraction is about 10 Pounds no close public transportation to the hotel only buses which don t accept cash , Extra bed was very comfortable Staff very helpful from checkin till checkout room was relaxing and spacious A C works perfectly small bathrooms but no problem taxis always available hotel is well know to taxi drivers over all value for money is 7 10
160709,Pestana Chelsea Bridge Hotel Spa,No Negative, Helpful staff some other visitors at this hotel were a bit pretentious rude But nice hotels attract that sort A man just stepped in front of me to get some attention no manners The reception staff did apologise to me which was good it did not go unnoticed Rooms comfortable and a safe nice place to sleep 
160710,Pestana Chelsea Bridge Hotel Spa, The air conditioning machine in both of the rooms we were in after having been moved because of this were very poor They barely cooled he room down and were noisy so I was kept awake by the clinking noise , The pool and steam room were excellent 
160711,Pestana Chelsea Bridge Hotel Spa, No complaints, The hotel staff were all well trained in customer service and wanted to help in any way they could Rooms were a decent size and had everything needed with large comfy beds Breakfast was good value given the quality of food and selection offered Loved the fact it isn t a massive hotel which makes having breakfast there a much more civilised experience 
160712,Pestana Chelsea Bridge Hotel Spa, Rooms on the back side too noisy because of trains Blind shields donot stop the light in the room Restaurant for diner need some improvement in terms of food variety and also for atmosphere Very poor, Breakfast was nice Size of room is nice and confortable
160713,Pestana Chelsea Bridge Hotel Spa, Breakfast could have been warmer though service was excellent, About a 25 minute strolling from Sloane Square tube really impressed close to Batteries Park excellent room modern clean
160714,Pestana Chelsea Bridge Hotel Spa, Room was not ready on arrival which forced us to have lunch in the restaurant It looked like they had staff shortages as many people were being asked to wait to access their rooms They offered complimentary tea or coffee for the inconvenience Hotel seemed a bit unorganised and was not as good as when we stayed there two years ago Leather sofa in room needed a really good clean , Location was excellent for us attending Chelsea FC Award Dinner Excellent parking facilities 
160715,Pestana Chelsea Bridge Hotel Spa, Pool was great as noted below but could have done without the 3 snogging couples strategically placed one at either end and one n middle I think I ll have to take a fella next time I go , Helpful staff in reception floodlit pool and sauna steam were great loved the candles and the chilled out atmosphere in the pool area Kid free zone until 1130am 
160716,Pestana Chelsea Bridge Hotel Spa, Bedroom beverage tray was limited No Green Tea or alternative available Breakfast was good but avocado and halloumi would have been a bonus and gluten free on display although it was available ,No Positive
160717,Pestana Chelsea Bridge Hotel Spa, Would be nice to have a wider variety on the bar menu for food , The accessible wet room for a wheelchair user looked good initially but found the flip down seat for disabled person to sit on and shower was extremely stiff to pull down We informed the hotel Regular maintenance of the facility was needed otherwise a disabled person could not use it Also plug sockets need to be available near the bed to charge a phone or wheelchair Although hotels are improving for the disabled they don t realise the needs of a person in a wheelchair 
160718,Pestana Chelsea Bridge Hotel Spa, No shops or restaurants close to the hotel The white pvc sofa in front of the window in the room , Being close to the river and Battersea Park Easy walking distance to Chelsea and Sloane Square 
160719,Pestana Chelsea Bridge Hotel Spa, We didn t have breakfast as it was way overpriced 20 50 Usually we have this included in the price of the room Not very impressed We wanted a drink in the bar were told it was waiter service we sat down and waited but no one came so we had to go to the bar again Eventually we got our drink They weren t even busy , We picked it because it was close to our meeting place 
160720,Pestana Chelsea Bridge Hotel Spa, I was told I was able to check out at 14 00 and pay additional 20 for each hour after I m taking this as an option to leAve later as I wanted to use the spa then at 13 00 someone knocked the door and told me I had to leave , The food was amazing
160721,Pestana Chelsea Bridge Hotel Spa, Some of the staff where not welcoming some were really good So as usual bad leave u with bad impression Anyhow I didn t get to deal with staff all the time so I enjoyed my time the room I booked was really good compare to other hotels in London mine was one bed room suite and it was comfy , I loved the hotel and the location
160722,Pestana Chelsea Bridge Hotel Spa,No Negative, Nice new hotel a bit out of the way on the Battersea Chelsea border Friendly staff great rooms all facilities were well maintained and clean Will stay there again 
160723,Pestana Chelsea Bridge Hotel Spa, Hotel chosen for the leisure facilities unfortuantely they do not open until 7 30am which isn t early enough for business travellers needing to check out around 8am , Great hotel and location was great for my meetings
160724,Pestana Chelsea Bridge Hotel Spa, Gym was very limited with choice of equipment and space, The room layout and decor was amazing Cleanliness was excellent which is very important for me Spa facilities were lovely and relaxing 
160725,Pestana Chelsea Bridge Hotel Spa, This time I stayed at The Pestana the housekeeping did not service my room for two days straight When they did they did not change the sheets at all , I like the comfort and the size of the room and bed 
160726,Pestana Chelsea Bridge Hotel Spa, Our room backed onto the main train line to Victoria so you could hear the trains We ate in the hotel restaurant which was just ok , Comfortable bed and a good sized room Friendly staff and parking facilities next door 
160727,Pestana Chelsea Bridge Hotel Spa, The room I was in was very tired big stains on the wallpaper the first room I was put in was dark and smelt of damp I was moved from there but second room was only marginally better it had an exercise bike in the room very random and was in the way ,No Positive
