,Hotel_Name,Negative_Review,Positive_Review
314264,Petit Palace Museum, The air condition is located only at the children room Although the two rooms are connected it was still hot in the second room , Very clean and luxurious family room We enjoied the hotel location the good breakfast and the great big jacuzi Helpful stuff 
314265,Petit Palace Museum,No Negative, Super comfy beds personal very nice and helpful nice jacuzzi and great bathroom Everything was perfect See you next time we re in Barcelona 
314266,Petit Palace Museum, Room was a bit smelly needed airing silly enormous jacuzzi in the middle of a family room really Unclear info at check in regarding cost of breakfast for children leading to a discussion at checkout which was however then settled quickly painlessly favourably , Family rooms a rare find We have often used Petit Palace for exactly this reason Great location quick walk to bars restaurants shops lovely stroll to Ramblas 
314267,Petit Palace Museum, My only negative was that the take away breakfast prepared for our 6 00 a m departure was really disappointing It consisted of a tomato and cheese sandwich on white bread which ended up being soggy a croissant an apple a yogurt and two beverages After being pampered by the regular breakfasts this showed no imagination unlike everything else at the hotel , The facilities were really fun and zany The room was attractive and comfortable The staff could not have been better They helped with reservations and all information we asked of them The breakfasts were terrific and offered a really nice selection 
314268,Petit Palace Museum,No Negative, I loved the fact that you had a family style room I was traveling with my 3 sisters and I was happy that we all got to stay in one room Adults staying in bunkbeds was unexpected but we are small and agile so it worked just fine The beds were super comfortable We are not coffee drinkers so we can t rate the coffee Our overall stay was superb I would recommend it to others and I would stay there again 
314269,Petit Palace Museum, One negative point though and that was it looked like there were private sun beds on a roof top That apparently was for a private room Bit misleading , I thought the hotel was much better that the photos the hotel put on the website They should invest in a photographer to take some good ones Loved our family room for five which included a Jacuzzi Thank you
314270,Petit Palace Museum, I had no issue with a thing , Staff was so attentive When we asked for ice it was there in seconds One friend became sick and they had a Dr there in 40 minutes
314271,Petit Palace Museum, Didn t like that the price quoted on booking wasn t the price we had to pay at hotel It went up 135 to be careful waiting till you get to hotel ,No Positive
314272,Petit Palace Museum, No coffee tea facilities which normally is available in a room at that rate TV very badly placed in a corner of the room also didn t work though I did not complained about it , Excellent staff and location
314273,Petit Palace Museum, Room was a completely undistinctive box Very little storage space Small and inconvenient bathroom The room was not the room shown on the website when I selected the room much smaller not as attractive And not worth the nearly 400 a night paid despite the great location Not remotely the value expected for the price I know the area well you can find similar hotels in the area for a lower price or much nicer hotels for the same price , Great location Nice public areas Breakfast pretty good 
314274,Petit Palace Museum, The lack of drawer and cupboard space dated trying to be cool furnishings chip in the basin crack in the WC lid No full length mirror, Great location pleasant helpful staff
314275,Petit Palace Museum, The block system at the entrance disturbed a bit once my friends came to visit me You had to go down to let them in each time The rooms service is very slow Even I was welcomed with bottle of champagne and fruits I had to expect it during 3 hours and make sever calls to the reception desc to remind , I live in the city but as most of us have willingness to escape from the town to have a rest When I don t have any offer to travel I book the room city s hotel with the access to the space where I can chill taking sun bath and refresh in the swimming pool The city beach is overfilled of tourists this period so to spend WE in nice room with ferrase and jakuzi might be the best good option So I was very satisfied staying in the hotel 
314276,Petit Palace Museum, There was no privacy Bathroom had glass door with no bolts The moment you switch on the bathroom lights the entire room is illuminated No sound proofing in the room The door opens straight towards the bed This was the king room The door is so slim that it lets all sounds out and in We were woken up by the alarm of the guy across the corridor Cleaning is not up to standard You are met with dirt the moment you open up any cabinet or even the minibar , Room service and reception staff was excellent They upgraded us because the booked room was not clean and sub standard The location was convenient Round the clock reception attendance Food in room service was good The terrace attached to the king room is nice 
314277,Petit Palace Museum, A glass door that doesn t lock in the bathroom is a terrible idea Everything seemed worn down And there was a lot of dust and unclean areas , The large bed was comfortable 
314278,Petit Palace Museum, The room was a bit dark and had a small window with no view , The room was quiet and cleaned every day The breakfast was great and had a lot to choose from either savory or sweet options 
314279,Petit Palace Museum, there was a blockage in sink at bathroom it was filled with water when we called the receptionist he told us that he cant do anything and cant change the room because all the rooms are full and we have to wait until morning he just adviced us not to use sink what a great idea so we didnt use sink during night and next morning also they didnt put slipper in room when we requested for it he told us that there isnt room service at night shift so we had to wait until next day for slipper too bed scarfs were dirty covered with hair all in all it was an awful experience for us , location
314280,Petit Palace Museum, One of our hot tubs in the room leaked so we had to turn it off that was the only flaw , Lovely rooms with beautiful balconies Rooms for 5 people were fairly spacious and suited is fine Staff were extremely Helpful and friendly 
314281,Petit Palace Museum,No Negative, The staff were really helpful My daughter left her earbuds on the bed when the room was cleaned and they went in the laundry by accident The staff tracked them down and even taped them to our suitcases in the luggage room Excellent 
314282,Petit Palace Museum, None, Excellent location amenities and great staff We had a family vacation for three nights Great central location close to La Rambla Placa de catalunya Sagrada Familia shopping areas the Gothic Quarter restaurants bars and easy access to take Aerobus to the airport Room was a decent size with a breathtaking view Extravagant bathroom with a big shower head and jacuzzi which was needed after a long day of sightseeing Great room service the breakfast had a variety of food and was tasty The staff was excellent well mannered kind and very helpful Big kudos to Mr Yannick Adrianna Lisa Carmen Javier and Maria for helping us gettting around and making our vacation a memorable one As an added bonus the hotel smells lovely and very welcoming I highly recommend Petit Palace Musuem to anyone staying in Barcelona 
314283,Petit Palace Museum, Nothing, Amazing hotel was perfect location breakfast has plenty of choice recommend to anyone Champagne and chocolate for my boyfriends birthday was an exrta special touch to the break
