,Hotel_Name,Negative_Review,Positive_Review
99375,Platine Hotel Spa, No coffee tea service in the room Clear glass door to bath provided no privacy Breakfast with the room would hav better justified the cost of the room Other hotels with similar cost and location did provide breakfast , About 20 min Walk to Eiffel Tower Very close to many types of restaurants 
99376,Platine Hotel Spa, Would of preferred a little more option for breakfast being a vegetarian otherwise can not fault it I think the spa services were a little of the expensive side so I did not try their services , The whole experience was very nice easy access to get around the staff were very helpful with the facilities the local area and generally any queries we had Very pleasant stay 
99377,Platine Hotel Spa, Got a call after we left saying we had consumed some of the mini bar which wasn t the case The chap on the phone was reasonable but it did leave a cloud over our visit , Great location in the centre of Paris at a great price You can walk everywhere 
99378,Platine Hotel Spa, No iron provided over the 19 hours of my stay Despite asking 4 times for one the answer from the receptionist was I can not break into a room and take the iron from another customer The should have a policy for usage in place rather than 10 customers hogging the irons even when not in use , The room was funky
99379,Platine Hotel Spa, Someone was using the jacuzzi above us it was past midnight that time we can hear the sound of jacuzzi , The bed is comfortable staff were all friendly helpful I will definitely stay here again will recommend it to our friends 
99380,Platine Hotel Spa,No Negative, Away from city crowds charming little hotel with metro station nearby so everything can be reached easily and fast Big shopping center is next door with all the shops you might need Some local restaurants and bistros are open till 2 a m Hotel itself is clean air condition is working perfectly staff Selim co is friendly and helpful 
99381,Platine Hotel Spa, Would of like the hotel to have it s own bar , Bed was very comfy The staff was very friendly and helpful Very close to Metro station and nice walking distance to Eiffel tower 
99382,Platine Hotel Spa, The parking to cars is expensive But it is a good option to visit paris , The hotel is VERY nice Not close to some special place but with the metro very very close Easy to call taxi or uber The rooms are very clean and with good deco Sauna and hammam quite nice To park the car they have a special place but ask where is it before go I would come back I would recomended to couples Singles and friends vacations
99383,Platine Hotel Spa, Nothing , Loved the decor of the hotel and the Fifties Monroe theme Loved the lift that played old style movies First time I ve stayed in a room with a mini bar which was an added bonus Staff are very friendly and helpful when giving directions I have wanted to stay at this hotel for a while and it exceeded my expectations 
99384,Platine Hotel Spa, Breakfast should be included in room rate for what you get, The bed was comfiest I have been on and I travel a lot Super quirky rooms albeit a little small but for location this is to be expected 
99385,Platine Hotel Spa, Upgraded for free instead of having to pay 50 extra per night , Superior room originally booked was of a poor standard I had to pay 50 per night for an upgrade My fianc was not impressed 
