,Hotel_Name,Negative_Review,Positive_Review
151453,Prince de Galles a Luxury Collection hotel Paris, The hotel was not properly clean The mirrors in the elevator were dirty the carpet wasn t vacuumed properly the consoles in the lobby had Dust on them,No Positive
151454,Prince de Galles a Luxury Collection hotel Paris, I did not like the atmosphere of the bar Staff can not help you if you face a problem In this hotel you feel that the staff is very interested by the money of the client , Restaurant la scene very expensive 
151455,Prince de Galles a Luxury Collection hotel Paris, The only thing I could really say is to improve on the time it takes to get an omelette in the restaurant during breakfast But I guess you can t rush perfection , Everyone at the hotel was extremely attentive and went above and beyond to ensure our stay in Paris was absolutely perfect 
151456,Prince de Galles a Luxury Collection hotel Paris, I didn t like room cleaning I stay 3 nights but every day room service clean up my room not so well no change glass and coffee cup and not clean terrace area that prepare for smoking After I come back to the room I feel not good with room service When compare with first day that I arrive room is great clean and fresh but after next day that I stay cleaning up the room is not good, I like place and location
151457,Prince de Galles a Luxury Collection hotel Paris,No Negative, Hotels Location was the best also the staff were very kind Rooms quality were perfect and clean After all it worth the price Many thanks to the team we had a wonderful time 
151458,Prince de Galles a Luxury Collection hotel Paris, Smelly room Unfriendly staff Slow check in and check out Wrong invoice on check out as the expense of other room was added to my bill Corrected later but this shouldn t have happened in the first place , Location
151459,Prince de Galles a Luxury Collection hotel Paris, There was some ant s in my room, I like the patio there was so much colorful colors around me also the room was very comforting it was a good memories
151460,Prince de Galles a Luxury Collection hotel Paris, The prices were very high but that s not a surprise for a hotel in the heart of Paris, The staff were friendly and the location was excellent You feel that you are at home
151461,Prince de Galles a Luxury Collection hotel Paris, The telephone in the bathroom had a problem randomly ringing once The roof was a bit noisy in the weekend at night , Perfect location Friendly staff Good service Room design Excellent concierge 
151462,Prince de Galles a Luxury Collection hotel Paris, Poor cleaning of rooms once not cleaned whole day No refilling of coffee no replacement of cups once removed have to call almost everyday for the coffee machine in room as can t make coffee Removing used soap shower gel with no replacement Talk to reception staff said they are quit busey Be careful there is a 50 urors charge if you ask to empty your minibar just know that in checkout which was canceled as nobody inform me ahead, Excellent location Comfortable bed Friendly reception staff
151463,Prince de Galles a Luxury Collection hotel Paris, The lights of the room It was a little dark, Everything The croque Monsieur was unique
151464,Prince de Galles a Luxury Collection hotel Paris, All was good no change required, Location and friendly staff very helpful I am tea drinker the reception were very helpful in arranging tea
151465,Prince de Galles a Luxury Collection hotel Paris,No Negative, Reception concearge
151466,Prince de Galles a Luxury Collection hotel Paris,No Negative, Staff
151467,Prince de Galles a Luxury Collection hotel Paris, No iron and iron board in the room, Everything was perfect 
151468,Prince de Galles a Luxury Collection hotel Paris,No Negative, Welcoming great Food good Service excellent
151469,Prince de Galles a Luxury Collection hotel Paris,No Negative, Location and service
151470,Prince de Galles a Luxury Collection hotel Paris, Breakfast,No Positive
151471,Prince de Galles a Luxury Collection hotel Paris, Nothing, Everything
151472,Prince de Galles a Luxury Collection hotel Paris,No Negative, I like the location and the comfort of this hotel
151473,Prince de Galles a Luxury Collection hotel Paris,No Negative, Very beautiful hotel with wonderful service 
151474,Prince de Galles a Luxury Collection hotel Paris, rooms are elegants but very small, croissanrs were delicious and the patio is really nice
151475,Prince de Galles a Luxury Collection hotel Paris,No Negative, The sttaf where so kind for sure I ll be coming back again to stay at the same hotel in future
151476,Prince de Galles a Luxury Collection hotel Paris,No Negative, The staff were friendly and greeting
151477,Prince de Galles a Luxury Collection hotel Paris,No Negative, The service is impeccable the location couldn t be better and the room to which we were upgraded was absolutely stunning 
151478,Prince de Galles a Luxury Collection hotel Paris,No Negative, Everything
151479,Prince de Galles a Luxury Collection hotel Paris,No Negative, Good location good service
151480,Prince de Galles a Luxury Collection hotel Paris,No Negative, Very comfortable hotel Felt at ease
151481,Prince de Galles a Luxury Collection hotel Paris, breakfast buffet i stayed there for three nights and all the breakfast was from the menu , Atmosphere
151482,Prince de Galles a Luxury Collection hotel Paris, Alll was very good, Everything was excellent
151483,Prince de Galles a Luxury Collection hotel Paris,No Negative, Truly luxury 
151484,Prince de Galles a Luxury Collection hotel Paris,No Negative, I like the garden where can I enjoy smoking my cigar
151485,Prince de Galles a Luxury Collection hotel Paris, Breakfast area chronically understaffed, Good location and price
151486,Prince de Galles a Luxury Collection hotel Paris, no swimming pool and Jacuzzi , location comfort value for money
151487,Prince de Galles a Luxury Collection hotel Paris,No Negative, I m really like the hotel and of course I will choose it again for the next trip
151488,Prince de Galles a Luxury Collection hotel Paris, Rooms slightly small, Excellent location and luxurious feel Clean and friendly staff 
151489,Prince de Galles a Luxury Collection hotel Paris, The room requested was not ready on the first day of our stay We had to stay in a different room and move on the second day ,No Positive
151490,Prince de Galles a Luxury Collection hotel Paris, Breakfast, Location valet parking
151491,Prince de Galles a Luxury Collection hotel Paris, Staff attitude, location
151492,Prince de Galles a Luxury Collection hotel Paris, Housekeeping, Location
