,Hotel_Name,Negative_Review,Positive_Review
23036,Pullman London St Pancras, The whole refit in rooms used to usethis hotel often but didn t like the whole decor theam like it before minimal style some my like it not for me, Very close to eurostar train
23037,Pullman London St Pancras,No Negative, The staff were extremely pleasant and helpful The rooms were marvellous and my favourite part was the bed Slept like a log and woke up feeling energized and well rested The room service was excellent Best room service food i ve ever had 
23038,Pullman London St Pancras, It wasn t central and would have loved to stay more within the city Hotel was good and we had a family room but the hotel is more suited for business travelers For the price we paid there is no entertainment option for kids in and around the hotel , The breakfast was really nice 
23039,Pullman London St Pancras, All fine , Excellent location for public transport Well appointed rooms with commanding views Friendly team and a really good breakfast selection A bonus was an espresso machine in the room 
23040,Pullman London St Pancras, No faults on my stay, Bright modern quality hotel Five mins walk from Kings Cross St Pancras or Euston Soundproofing and blackout excellent Very clean great huge bed great shower Staff very friendly Highly recommend
23041,Pullman London St Pancras, The price 270 for one night not including breakfast I could have stayed at the Waldorf Astoria in Versailles for 240 euros But this is London where most of the hotels are overpriced The restaurant is more like a caf bar and not very accommodating if you want to eat after 10 00 , A stylish hotel with comfortable spacious rooms Very well placed for St Pancras station and a 15 20 minute walk to Oxford Street 
23042,Pullman London St Pancras,No Negative, I was traveling alone with my son The staff were really helpful The restaurant was great and it was the perfect location to head to St Pancreas ready for the Disney express 
23043,Pullman London St Pancras, Can t fault this hotel based on one night stay Happy to recommend , Room facilities design quality with comfort bathroom well appointed Felt like a 4 hotel Check in out efficient with professional standards Location close to transport hubs Kings Cross British Library British Museum St Pancras International for European travel a few minutes walk away 
23044,Pullman London St Pancras, Beds were very low especially for my sister a wheelchair user as she was unable to rise from bed without assistance Furthermore still waiting for 50 security payment into my bank Not happy, Location was good 
23045,Pullman London St Pancras,No Negative, Despite the small size of the room the layout of the room was excellent I loved the desk very much I could put everything I needed while working Also loved the gym with a large window facing King s Cross 
23046,Pullman London St Pancras,No Negative, Love this place perfect location in London Quite pricey stayed here 4 years ago just as nice this time as back then it was the end of our holiday so prepared to pay the extra dollars 
23047,Pullman London St Pancras,No Negative, The hotel staff were extremely polite and efficient The room was clean and tidy The bed was large and comfortable The shower and bathroom facilities were great 
23048,Pullman London St Pancras,No Negative, The staff member who greeted us Marco is a real gem He went far beyond his duties to help us and make us feel comfortable during our holiday in London The Hotel is just a few steps away from St Pancras station and on a walking distance to the main tourist attractions Rich and varied international breakfast served in a cozy restaurant The Hotel also has a well equipped gym with a beautiful view of St Pancras 
23049,Pullman London St Pancras, Can t think of anything, From check in and throughout my stay the staff were so pleasant and courteous nothing seemed too much trouble The Pullman London is such a great location and I love having the door opened for me all the time Thank you
23050,Pullman London St Pancras, No flexibility from staff Not guest oriented they only follow rules front office staff did not go out from their way to help, The HOUSEKEEPING and bellboy
23051,Pullman London St Pancras, When I checked in on June 29 the front desk clerk charged me with a visa card and deducted 50 pounds I thought it was pre authorization I didn t have any extra consumption during the stay and I didn t know whether there was any cancellation of pre authorization when I checked out the next day Because I checked today fifty pounds has not returned to my bank card Thank you I look forward to your reply , When I checked in on June 29 the front desk clerk charged me with a visa card and deducted 50 pounds I thought it was pre authorization I didn t have any extra consumption during the stay and I didn t know whether there was any cancellation of pre authorization when I checked out the next day Because I checked today fifty pounds has not returned to my bank card Thank you I look forward to your reply 
23052,Pullman London St Pancras, The room I had was at the back of the hotel on the first floor overlooking the back yards of another apartment building I did not mind the lack of view as I had not booked for this However because of this the room was a bit darker than normal and lacked character It needed a bit more wall and furniture decor for it to feel a bit more welcoming than just a basic hotel room, The best thing about my stay was the excellent scrumptious wide range of breakfast every morning I was especially pleased at the wide array of fruits berries and yogurts creams as well as the full english breakfast breads and wonderful pastries and muffins The room was clean comfortable and well equipped with extras bathrobe slippers and extra toiletries 
23053,Pullman London St Pancras, The room was adequate but just like any room in a city hotel not as nice as we expected rather boring really , Handy location for our train to Brussels 
23054,Pullman London St Pancras, I was given a room for a disabled person It was not mentioned on booking or check in I have already mentioned that this should be highlighted at the time of booking as I am not happy to stay in a room for a disabled person Room for gigantic for obvious reasons but not comfortable,No Positive
23055,Pullman London St Pancras, Not much to criticise really Quite expensive , Lovely hotel clean comfortable very friendly and helpful staff Location right next to kingscross etc but not noisy Good views of London 
23056,Pullman London St Pancras,No Negative, Stayed two nights hotel very light and airy with very pleasant and helpful receptionists De lux room was very good and well appointed Breakfast was a Pleasing experience with everything you need hot or cold Hotel near Kings Cross and St Pancras 3 minute walk Aldo the tube is two minutes away All in all very good only gripe is the price which I know it is London but is still a little steep 600 for two nights ugh 
23057,Pullman London St Pancras,No Negative, Nice modern hotel sat between Euston and Kings Cross station The rooms were great modern clean and had everything we needed The view from the 12th floor was first class who needs the London Eye The reception and other areas were also really good I travel a lot and stay in many different hotels few I would go back too but I would definitely go back to the Pullman London 
23058,Pullman London St Pancras, Felt like a posh premiere inn really don t understand how the price commanded represented what you got Rooms were boring towels were tired and not at all luxury No way a 4 star Cancelled breakfast as the queu to get in was just ridiculous and the restaurant over crowded , Reception area nice 
23059,Pullman London St Pancras, Only bad mark the brioche were stale An oversight I guess they have been great when I stayed in the hotel before , The staff were intelligent polite helpful and friendly The views were stunning though for a London girl who remembers the area when it was run down and dirty and the hotel when it was the public Library it was a bit surreal Excellent breakfast except brioche see below 
23060,Pullman London St Pancras, It was pricey , Conveniently close to King s Crossing for Eurostar underground Starbucks across the street Room comfortable Modern decor Lobby very inviting to hang out with a drink 
23061,Pullman London St Pancras, Deluxe room but was not informed that the drinks and snacks in fridge would be extra money on what we had already paid this was only advised when we came to checkout , Location perfect for Kings Cross station and underground Our visit was for concert at wembley which was a short tube journey away We had a deluxe room with robes and slippers provided Bathroom with large walk in shower Breakfast was plentiful and you had an excellent choice Staff helpful and friendly 
23062,Pullman London St Pancras, There was a receptionist who had a thick French accent we struggled to understand Noisy reception Breakfast was 20 which we didn t choose to have For the price we paid for the room 20 extra was a RIP OFF BIG Time Noisy slamming doors in corridor Hey , Bed ok Views from top of lift on floor 16 
23063,Pullman London St Pancras, For some strange reason someone thinks it s a good idea to have frosted glass doors into the toilet in the room so you can see when someone is on the loo , Great location to attractions and transport Friendly efficient staff in a well run hotel 
23064,Pullman London St Pancras, no complaints, the location of this hotel within easy walking distance of St Pancreas and Kings Cross was a big plus for us the staff are excellent very welcoming and nothing is too much trouble our room was a good size with plenty of space especially for a central London hotel the buffet breakfast is more than adequate and of a reasonable quality with plenty of selection from continental to full English we were only here for one night so we didn t really need or try any of the extra facilities available but if you need a good quality hotel with good transport links to both main line and underground I would recommend the Pullman we will definitely stay here again when we next visit London and by the way although our 4th floor room overlooked the busy Euston Rd it was well soundproofed and we couldn t hear a thing 
23065,Pullman London St Pancras, Although the tube station is only 5min walks away it takes around 30 min to get to Central London but this is not an issue if you are prepared , Lovely breakfast with a great variety to choose from The rooms are spacious with perfect temperature Although you are literary on Euston road the double glazing windows do an amazing job Black out curtains available which block out the light 
23066,Pullman London St Pancras, Service at the bar was disappointing Took our order of 2 glasses of wine then carried on helping a colleague with their order of a selection of cocktaila After a while said colleague was alarmed and suggested he serve us first We had paid over 10 per glass of wine so we re disappointed with the service , Location and views 
23067,Pullman London St Pancras, The only disappointment was we didn t get much sleep because of the noise from outside because we had to sleep with the window open because the heating thermostat was broken and was stuck on winter mode according to the maintenance engineer we called out twice to fix the problem on the second time the engineer came out we was told to leave the thermostat for two hours to see if the problem was solved if the problem is not solved he said we would have to move rooms When we arrived back late in the evening it was hotter stuck at 27 degrees the reception had no knowledge of the problem and was to late to move room We was very disappointed and on our departure we told the reception of our concerns , staff view
23068,Pullman London St Pancras, We arrived in a heat wave It was 34C and we had trouble with the air conditioning but they happily moved us to a better room , The staff went out of their way to make sure we were comfortable The restaurant was superb Only a few steps to catch the Eurostar Perfect 
23069,Pullman London St Pancras, The shower floor was very slippery and we had to put a towel in the shower , Beautiful comprehensive breakfast Large array of fresh juices from carrot to kale Everything you could think of in today s diverse diets 
23070,Pullman London St Pancras, It was very busy on arrival and although there were three reception staff on duty there was an inevitable delay in getting checked in , Our room was extremely quite with a very comfortable bed and a lovely shower room The staff were most attentive and very helpful and courteous We particularly liked the lounge area where we were able to relax with a drink with our daughter and son in law who also happened to be in London 
23071,Pullman London St Pancras, I would like Paleo options provided at breakfast ie almond milk I would use this with your seeds and nuts as my cereal , Helpful and couteuous staff The breakfast was excellent but I would like paleo options available 
23072,Pullman London St Pancras, Confusing temp control I think hotels should think of incorporating bidets Was given sparking water instead of telling them I only need still The 8 PM knock on door entry if not locked or DNB tag outside is annoying just to give a piece of chocolate Room service menu was very limited Mini microwave helps Larger tea coffee cups The coffee machine wasn t hot enough Room phone loses charge quickly TV doesn t have many channels working, Quick Room Service Good housekeeping Secure Staff was helpful all the time
23073,Pullman London St Pancras, The mini bar prices were rather on the high side , The bed was huge and very comfortable We were made to feel welcome by the staff As it was just a stopover en route to Paris we didn t use the facilities but they looked very luxurious
23074,Pullman London St Pancras, Fitness room is too small and not to much fitted , An excellent hotel in great location staff is welcoming and give an excellent service Great breakfast Value for money is fair as the hotel is quite expensive 
23075,Pullman London St Pancras, Room was pretty small no mirror dressing table area to do hair and makeup tea and coffee tray not great not enough tea milk and glass mugs not practical ironing board useless had massive hump in it creaking bed view from room top of a roof which actually could be made to look good with some artwork toilet seat highly uncomfortable , Location and staff great funky decor and a good powerful shower
23076,Pullman London St Pancras, A very nice place but a little pricey for the square footage of the room , Very convenient location easy access to St Pancras and Eurostar Check in was very friendly easy and room was ready at 2pm Room was very clean and the breakfast was exceptional 
23077,Pullman London St Pancras, Too few staff available on the morning I had breakfast and cappuccino was of poor quality , Taster plates were very good when I entertained friends but staff need to be a little more attentive in terms of if there are 4 guest don t provide a plate with only 3 items 
23078,Pullman London St Pancras, Maid service a bit late in turning room around although excellent work when they serviced the room , Friendly and helpful staff very good breakfast selection Good bar 
23079,Pullman London St Pancras, Nothing really, Very pleasant comfortable staff extremely helpful rooms contained all you need for a comfortable stay Breakfast certainly one of the best I have had well worth a visit Would certainly visit again
