,Hotel_Name,Negative_Review,Positive_Review
160147,Radisson Blu Edwardian Berkshire, No standard amenities you have to to ask for toothbrush or laundry bag to a staff which is not convenient The elevator is quite old which I had a not good experience, Location
160148,Radisson Blu Edwardian Berkshire, The rooms are very small The front desk manager was not very helpful to meet my expectation to help to satisfy me Also No help desk to help you book for attractions and trips , I liked the location at the most The staff are friendly
160149,Radisson Blu Edwardian Berkshire, There are many construction sites around and sidewalks are very messy Hotel was remodeling and changing carpet which generated too much noise early in the morning , Staff are very kind and helpful 
160150,Radisson Blu Edwardian Berkshire, The receptionist lady charged me twice with my credit card and one is still on provision I am trying to contact with them and gave them to cancel it with the relevant provision number but they are as lazy as elephant They don t even bother to respond my e mails They are unskillful about even the swaping card Act like I will get loose before paying thus forced me for that In addition to that they didn t have any adapter for european plug to the UK They say every room has it one but some might stole the one should be in my room Didn t find any for me The worst hotel experience I had in the UK ever They are thief ,No Positive
160151,Radisson Blu Edwardian Berkshire, parking or a valet service not being able to pay for my total booking in one transaction TV guide didn t show what was actually on, The staff were very very good helpful happy and always avaliable breakfast was amazing beds were very comfy location is right on oxford street
160152,Radisson Blu Edwardian Berkshire, Room interior and corridors are dated good be freshened up Bathroom was however although small excellent and renovated Price is even for an expensive city as London too high for the small room you get for it You mainly pay for the location and the breakfast and service staff , Staff very good and attentive Breakfast very good and elaborate 
160153,Radisson Blu Edwardian Berkshire, The room was very small and the bed was definitely not a usual double bed size It was very small , The breakfast was great and the room was clean The staff was very nice Our stay didn t start out very well Our room wasn t ready when we arrived at 3 pm because the were overbooked we were told We had to wait in the restaurant until 5 pm They didn t offer us any compensation while we waited We were getting really nervous because we had tickets to concert and had planned to leave from the hotel at 5 pm When we saw the room we were also a little disapointed We have stayed many times at Radisson and always liked it but this room was very small and tight The bed was not even queen size and that bothered us a little bit during the whole weekend But everything else was good The location is perfect the staff was willing to help with everything and the breakfast was good 
160154,Radisson Blu Edwardian Berkshire, The view room711 from our room was straight into Debenhams staff quarters , Loved the excellent location as we were going to the American embassy early the next morning Location was important for this visit and it didn t disappoint 
160155,Radisson Blu Edwardian Berkshire, The bathroom could have been bigger , Fantastic breakfast with a rich selection of food and beverages served in a beautiful breakfast restaurant Great location next to Oxford str and friendly staff Comfortable bed and soft large towels 
160156,Radisson Blu Edwardian Berkshire, The lifts are tiny It was an absolute chore getting my wheelchair in and out of them and I ended up damaging my chair due to the size of the lifts in the end , Very central location fantastic for access to central London for work
160157,Radisson Blu Edwardian Berkshire, 1 I think you need to give a more accurate description of your location on your website While you may officially be at 350 Oxford St your entrance is on another street and is not easy to see from Oxford Street It s fine for those taking a taxi but if you come by tube it is not I spent a 1 2 hour walking up and down Oxford Street looking for the hotel 2 Elevator dirty same dirt over a 48 hour period Spilled liquid dried and with dirt attached 3 Key cards faulty had to go back downstairs 4 times because they wouldn t open the room door 4 Shower floor very slippery so should have a rubber mat I felt unsafe using the shower especially since I am older and have arthritis Provide mats , Location staff and breakfast were good 
160158,Radisson Blu Edwardian Berkshire, The only downside of the property is the lack of a lounge Waiting for a cab or transport after checkout means sitting in the bar area ok but not the most comfortable for a four star hotel However this is outweighed by its location , Reception staff were excellent It was a real welcome matched by the friendliness of all the staff we met Despite its location opposite Debenhams and a minute from Oxford St we had a very comfortable and quiet room 
160159,Radisson Blu Edwardian Berkshire, Very Disappointed with the breakfast certainly not as I was expecting and not as advertised in your statement even the staff had to apologise for it and would like to offer us a complimentary one next time we stay at any Radisson hotel can booking com help in this regard and take some responsibility for this, Condition good rooms small but well presented staff are welcoming the disappointment was the breakfast little things missing no loose sugar and side plates and menu was not good we stayed because of the breakfast it was not as sated this made the hotel not value for money when it was included in the price compensation for this would be helpful can booking com do anything in this regard the hotel as offered a complimentary one at any of these hotels
160160,Radisson Blu Edwardian Berkshire,No Negative, I am blown away by your housekeeping department Beatrice head housekeeper was amazing as I had left clothing in a drawer and a necklace in the safe she located them in the lost and found dept a few days after my departure and I got everything back I must also thank the housekeeper who gave the articles in such honesty receptionists and concierge were also fabulous 
160161,Radisson Blu Edwardian Berkshire, The first room we were given 514 was very tiny unlike the photo in the internet and noisy close to Oxford street I recommend that this information will be clearly indicated in the hotel s home page Booking web page to avoid unnecessary frustration, I was very impressed by the management s approach to address an issue we were facing the room was very noisy very close to Oxford street and tiny I have travelled with my pregnant daughter and we were about to book an alternate hotel However the shift manager during 25 5 17 evening Alex if I am not mistaken has offered us an alternate room in another part of the hotel and made any effort to ensure it was convenient for our needs Eventually we have decided to stay in this hotel until the end of our vacation I was also very impressed by the staff s friendly approach and by the breakfast menu 
160162,Radisson Blu Edwardian Berkshire, The overall service was bad Lost sunglasses when room was left for cleaning and the staff front desk did not take the compaint seriuously Almost lost my package which was sent to hotel because the staff did not deliver it right away to my room nor inform me to pick it up Asked my room to be changed to without breakfast but they said it could only be done by booking com In fact I ve tried to put this inquiry right after my booking but booking com responsed was the hotel is already notified It seemed that the hotel preferred the booking made directly through their site They tried helping by calling booking com but booking com said it could not be done because i m arrived already Gosh The breakfast itself was not satisfying Not so many option for halal food even if all of the foods were halal they didn t look compelling , Free wifi and free restaurant vouchers
160163,Radisson Blu Edwardian Berkshire, The breakfast was standard English buffet with limited number of food type The bed the pillows were not comfortable One of the receptionist was rude but rest were good friendly , The location
160164,Radisson Blu Edwardian Berkshire, I was charged 20 for a croissant tea fruit yoghurt in my room for breakfast Completely overpriced , Excellent location near Bond Street Station Very close to the shops Lovely room friendly staff 
160165,Radisson Blu Edwardian Berkshire, Extremely small room no more than 10m2 perhaps one of the smallest rooms I ve ever slept in Dirty carpet didn t meet the standards at all , Decent breakfast wifi perfect excellent location for shopping 
160166,Radisson Blu Edwardian Berkshire, Too Noise and it is the worst hotel that i was stayed ever Room was too small It usually wake up early when the cleaner at the morning clean the corridor with the machine where no proper sound insulation you will hear the neighbor in the room beside as well Housekeeper was so bad The Ac sound was higher so you will not opened No enough facilities in the room , Location was Awesome
160167,Radisson Blu Edwardian Berkshire, The chaos at breakfast with too many having breakfast at the same time, Excellent location for someone going to an event at the London Palladium Excellent bed and top notch bathroom 
160168,Radisson Blu Edwardian Berkshire, The hotel is a bit dated and could use a facelift Common areas small low ceilings , The bedding was excellent and the breakfast was also wonderful but VERY expensive 
160169,Radisson Blu Edwardian Berkshire, Requested early check in Room not available Had to come back after 3 00 Once in room it took over another hour gone 4 00 to replace a broken toilet seat that they knew was broken when we finally got the room at 3 There were a lot of water splash stains on the bathroom counter and a big wet patch on the carpet by the wardrobe Also breakfast was the worst I have had at a radisson blu All the bacon was well overdone scrambled eggs had no flavour were they made from some sort of concentrate and so called hash browns were just large lumps of deep fried mash potatoes Nothing like real hash browns They also only had one type of jam in open pots for the croissants and if you wanted toast they only had sliced ciabatta to use , Good location beds comfortable
160170,Radisson Blu Edwardian Berkshire, dark lifts when shower on full water temp irregular staff smirking behind my back interior decoration of hotel lobby and bar old fashioned, location
160171,Radisson Blu Edwardian Berkshire, The elevator is small don t fix the wheelchair or the eletric scooter The bed need new mattress my back need firm ones not one that looks a boat , The staff is the best Helpfull all the time 
160172,Radisson Blu Edwardian Berkshire, Rather simple room but good for the purpose No desk in the room just a plastic table so it is not possible to work No minibar , Good location Good breakfast Helpful staff 
160173,Radisson Blu Edwardian Berkshire, Nothing really, Good location for shopping art galleries etc and close to underground stations The room was adequate for one person The staff were very helpful 
160174,Radisson Blu Edwardian Berkshire, The view and the room had only one socket under the glass table , Breakfast was perfect big and soft bed Room was big so we could manage our luggage 
160175,Radisson Blu Edwardian Berkshire, Nothing Perfect for me, Location was superb as i had an event in Wimpole street two minutes walk Staff were really friendly and helpful Loved the breakfast
160176,Radisson Blu Edwardian Berkshire, The bed pillows are so big they gave me a stiff neck Would be nice to have a choice of big or slightly flatter pillows Toilet seat was loose , Breakfast was delicious and a huge variety of choice 
160177,Radisson Blu Edwardian Berkshire, More plugs in the room only one socket for 2 phones and a kettle all wanting to be used at the same time , Brilliant location The staff could not have done enough for us We were over for a special 18th birthday trip for my daughter and David and the reception team made our stay really special and memorable Would definitely stay again 
160178,Radisson Blu Edwardian Berkshire, More plug sockets in room , The staff were exceptionally helpful The room was nice although the furniture was a little worn and there was only one plug socket to use in the room which was inadequate Found the drinks and food a tad expensive 
160179,Radisson Blu Edwardian Berkshire, The fact that i had to leave, I had stayed at this hotel before and had said that I will stay there again And what a good decision that was The locality of the hotel is superb the staff are really courteous and helpful I had a very good room on the 7th floor Clean with all the necessary amenities Will definitely come again
160180,Radisson Blu Edwardian Berkshire, Even though I booked the deluxe room the actual room size not the same with the picture and it was a little small , The location is very grateful in the centre of Oxford St London When you booked a deluxe room you will get free voucher 15 pounds to use in the bar every day 
160181,Radisson Blu Edwardian Berkshire, bad view of the window, Fluffy big pillows and soft bed New bathroom very clean and with enough soap and lotion Everything you need like hair dryer flat iron and a mini fridge is included
