,Hotel_Name,Negative_Review,Positive_Review
347200,Room Mate Aitana, We did pay 563 euro for two days for 2 rooms but i still think it was still bad they ask 21 for the breakfast Normally breakfast have to be in the price And also for 1 day parking 25 this is seriosly seriosly very very bad for people And we have been the hotel for cheek in 14 00 clock our rooms still wasnt ready and we have to wait untill 15 30 with our 1 years old baby Thats really make u s feel not good And also we did ask 2 rooms next to each other in booking com before 2 weeks we are booking but we Where in reseption but always excuses But stuff are very friendly and Nice , It was Nice in the centrum and we ask for baby bed and we get it shower and rooms are very good internet also Hotel clean and beautiful 
347201,Room Mate Aitana, I lost my deodorant , They upgraded me to a suite which was gorgeous The hotel and facilities are beautiful I was very surprised as it was at a much higher standard than hotels in the area which are not much cheaper The location is very nice and in a good place for the station or Danzigerkade where I was working I didn t get a chance to go but there is a Bagel and Beans across the road and I love that place 
347202,Room Mate Aitana,No Negative, The hotel was beautiful and the location was perfect to where we wanted to be The staff were brilliant We had a problem with the door in our first room and when they couldn t fix it they moved us to another room which was one floor below the first room The views from both rooms were lovely we faced the north of Amsterdam and had some beautiful water views 
347203,Room Mate Aitana, We avoided the breakfast as the price appeared prohibitive Across the road was an excellent Bagels and Beans restaurant for this Wardrobe door was flush with floor so avoid opening with bare feet , Very big airy room with good aircon and excellent TV coverage Bathroom was shower only but very good one 
347204,Room Mate Aitana, Access to property from the central station is not the best it is a 10 15 minute walk, Room was very big and pretty much better than what I was expecting
347205,Room Mate Aitana, Carpet seems to have been installed directly onto the concrete floor without any underlay might as well have been the concrete floor itself , location location location Excellent restaurant in hotel 
347206,Room Mate Aitana,No Negative, Staff were brilliant friendly helpful and accommodating The bar and restaurant area are fabulous a great place to relax after a hard days site seeing Only downside was that we weren t staying there longer 
347207,Room Mate Aitana, The reception was quite frosty upon arrival and the maintenance of the room daily cleaning was not of high standard Room service menu was very limited , The location was off the busy area but easily accessible to walk to Many options of coffee shops etc on the walk to singel st 
347208,Room Mate Aitana, Check in staff poorly trained all design no substance much better value elsewhere if all you require is a clean room and bed, Clean quiet proximity to Centraal
347209,Room Mate Aitana, No breakfast included although on booking com it showed as breakfast included , Staff especially HANDEL was very accommodating Booking com shows room rate as breakfast included but this is not the case Another guest checking in also has the same complaint HANDEL arranged an upgrade room to compensate 
347210,Room Mate Aitana, nil, everything comfort beds nice view perfect staff very nice restaurant and breakfast spacious rooms smart location near to central station and away from noise and crowded street me and my family want to thank the hotel staff 
347211,Room Mate Aitana, The views of the rooms seen on booking com pics dont seem to exist the price of the room for one night is a bit expensive A personal payed a visit to my room and knocked the door to repair sth althought i hadn t checked out yet , Big and comfortable room clean nice shower gel and schampoo nice tv s very comfortable bed
347212,Room Mate Aitana, Less expensive mini bar and goodies in room for example 3 50 euros for a choc bar Location good but a good walk to the centre if weather fine ok but if raining abit exposed Breakfast expensive so used cafe across road which was good Very modern hotel but derived of much character , Comfortable bed Lovely bathroom and fantastic shower Great selection of toiletries Ice machine on corridor Great view from 10th floor
347213,Room Mate Aitana, Breakfast not included, prior to the trip I communicated with Diago and Paloma who both went out of their way to assist me The hotel is in s great location and the executive room is fantastic
347214,Room Mate Aitana, The food in the evening not a lot of choice for room service No information or help for people with food allergies there should be free mini bar it was too expensive for what we paid for the hotel 3 50 for a bottle of water is redicilous It wasn t value for money The staff weren t friendly , The clean rooms Breakfast 
