,Hotel_Name,Negative_Review,Positive_Review
297159,Room Mate Anna,No Negative, The staff was extra helpfull They almost assisted us in every aspect They proposed the best restaurants and made all reservations Guided us on places to visit
297160,Room Mate Anna, The twin bed are next to each other which makes living with a friend a little uncomfortable , The room was well equipped and the bathroom has a large shower that is great The interior design is really special and the hotels location was great for using public transport and close to Gaudi buildings and shops The staff is really helpful about all things Barcelona gave great ideas for restaurants transport and places to visit The wifi is fast and reliable 
297161,Room Mate Anna,No Negative, Absolutely breathtaking Everything in the hotel is beautiful and unique The rooms are very comfortable and the attention to detail is great The location is great with the metro and bus stations nearby 
297162,Room Mate Anna, The only thing the hotel could have benefited from was a bathroom on the pool floor , Where to start we had the most wonderful weekend staying at Room Mate Anna First of all the hotel is lovely the rooms are spacious and they have thought of every possible detail to make your stay really comfortable Our room could be completely blacked out so we had the most restful undisturbed sleep The staff are probably the best I have ever experienced they went absolutely above and beyond to make our stay wonderful from beginning to end The addition of a WhatsApp number to message reception is a great for when you re out and about Will 100 be booking here time and again 
297163,Room Mate Anna,No Negative, The crazy chic design from the Deluxe room The view over Casa Batll from the balconee The staff super friendly available and reactive Overall everything 
297164,Room Mate Anna, Staff were friendly but they were junior level and there was an unexperienced trainee who was unable to help and almost put me in a taxi to airport trouble due to her mismanagemnt of my request thankfully her supervisor sorted out the issue I think staff should be more senior with more experience and training to be able to support on travellers needs and inquiries , Loved the modern comfi design the personalised service attention to details the fresh spirit the hotel gives for travellers the room bed was so comfi the interior is outstanding toiletaries and amenities room view was gorgeous looby music was so refreshing 
297165,Room Mate Anna, The rooms was small there are structural problems as the walls are very thin and the sound from other rooms comes all the time , The location was amazing the staff members are the best in the business 
297166,Room Mate Anna, Rooms are tiny and really nothing to shout about Indicated it was our 4th anniversary so would have been great if something a bit special was done for us That would have been above and beyond , Excellent location Within walking distance from a number of prime spots and the metro 
297167,Room Mate Anna, No music chanels on tv But its not a big deal , Hotels location is perfect Tarrace on the roof is really nice place to chill and get some sun Breakfast served till 12 is also something special Emma was amazing 
297168,Room Mate Anna, I don t find particularly smart having a tap in the bedroom and the breakfast room without windows located in the 1 basement , Perfect location two steps from Passeig de Gr cia Cortes Catalanes and Rambles Modern design and decoration Quiet hotel rooms give to an interior patio so you don t have the very important noices from the very busy roads around 
297169,Room Mate Anna, the hotel is very rigid with chekin and checkout we had arrived at 8am and the usually chekin was between 1 and 2pm and the hotel was not flexible in offering a room to rest and the lobby is simply a short corridor with 4 chairs so no where to rest we were expecting a more lenient treatment for checkin considering we have 2 kids they accepted we stay by the pool till the room was ready at 1 30pm pool is tiny round one and we couldn t stay long for a long relaxing morning at checkout we wanted to extend for couple of hours we didn t even mind moving to one small room to freshen up before our late flight the only option the hotel had for us is to pay an extra hourly rate we thought this is very unfriendly especially with family of 2 kids the breakfast time was flexible tthough till midday but we didn t like the quality at all the rooms are not clean at all and we used the coffee mugs and glasses for juice the room cleaners simply kept them unwashed for the entire 5 days of our visit the reception staff and the breakfast room staff where nice and tried accommodating to our request but we felt they had no flexibility with their management I would rate it a 3star except the nice interiors which deserves 4star , the location was great
297170,Room Mate Anna, It misses a gym Breakfast quality could be better, Everything very stylish hotel small but cool pool with a nice service very comfy bed great shower and the best hair dryer 
297171,Room Mate Anna,No Negative, Excellent location super friendly staff rooftop splash pool comfortable bed good choices at breakfast I have stayed in a dozen or so hotels in Barcelona and this was the best I ve experienced 
297172,Room Mate Anna, Nothing If you really want to pick fault then it is on a busy street but the rooms are sufficiently soundproofed for this not to be an issue and although the showers are powerful it s a fine art to get the temperature exactly right However I would never let these things put me off booking the price you pay for the service you receive is amazing if you stay anywhere else in Barcelona you can be sure you will have far worse problems than these , The multi lingual staff were simply amazing at this hotel and this is certainly not typical of other hotels at Barcelona They were beyond friendly and determined to do anything and everything to make our stay memorable from organising a surprise breakfast in bed for my husband s birthday to fetching gluten free treats for me when I was unwell they really couldn t have made us anymore welcome The hotel itself is very quirky in design and is boutique meaning the rooms are smaller than you may be used to but this is typical of Barcelona and they are certainly big enough to use as a base for exploring the wonders of this fabulous city Air con and wifi were excellent and free breakfast was a good continental offering with freshly baked treats bought round as you ate Free Lavazza hot drinks machine too as well as free water dispensers with a daily flavoured water option too The plunge pool on the roof is a treat and although the sun lounge area and bar are still under construction they currently have a full time waited fetching drinks so nothing to complain about there either The hotel is pretty central to all the attractions for Barcelona and right next to the main designer shopping street I love this hotel and it s staff and would not consider staying anywhere else next time we visit Thank you 
297173,Room Mate Anna, Nothing it was all good , Really great hotel Rooms were comfortable very clean and well designed Air conditioning was very effective and we heard no street noise The staff were all excellent friendly knowledgeable and very helpful Breakfast was good quality and plenty of choice Wouldn t hesitate to recommend it and will certainly book with this chain of hotels again 
297174,Room Mate Anna, Slightly more space would have been welcome in the bedroom However everything was beautifully appointed even down to a most impressive hairdryer , Room Mate Anna is a small boutique hotel with the most amazing staff We were always greeted warmly at reception and everyone was always very helpful The breakfast choice was both delicious and extensive and we were even provided with delicious gluten free options Its location is excellent just a stone s throw from the metro railway which runs directly to and from the airport The hotel is beautifully decorated and furnished as well as being very quiet inside with excellent soundproofing The air conditioning and free wifi were both first class the bathroom luxurious We weren t in a particularly large room but the lack of space was compensated by very comfortable beds and ample wardrobe space Warmly recommended 
297175,Room Mate Anna, It was all good, Outstanding value for money The staff were really friendly and very helpful The room was very quiet and very clean Very spacious room
