,Hotel_Name,Negative_Review,Positive_Review
84294,Royal Garden Hotel, We were disappointed as we thought the breakfasts were inclusive and should had been for the cost of the rooms at 450 per night I have checked on your website after returning and you are advertising the same rooms for a lot less please explain why ,No Positive
84295,Royal Garden Hotel, Small rooms but fine if you were single like myself , Great location for running in Hyde Park and if you are willing to walk a little there is good tube station on the Central line The Circle line at Kensington High Street is close but a pretty bad line as it is slow and infrequent The staff at the hotel are super helpful 
84296,Royal Garden Hotel,No Negative, Concierge services were outstanding including dinner recommendations emergency shopping recommendations and transportation recommendations Additionally when barman in training made errors in preparing cocktail senior barman voluntarily explained situation apologized and replace cocktail on his own initiative Idea of raised area for study working space by window was brilliant Finally of course the availability of twin beds rare in London was decisive 
84297,Royal Garden Hotel, No tea or coffee facilities Would have charged 2 00 for a knife and fork in the room , Comfortable room Plenty of room Larger bath and shower room 
84298,Royal Garden Hotel, I have never be evacuated as fire alarm ringing at evening when where I was living at any hotel before No apology no refunding from hotel when I checked out at next day morning ,No Positive
84299,Royal Garden Hotel,No Negative, Can t wait to go back The view from the upstairs restaurant was amazing and the food was excellent Staff all over hotel were so on point friendly and helpful 
84300,Royal Garden Hotel, Nothing we appreciated everything , welcoming staff lovely rooms convenient restaurant on site excellent location for site seeing and affordability Extremely pleased 
84301,Royal Garden Hotel, the night staff were unbelievably rude and abrupt and so was the restaurant manager no manners what so ever will never stay at this hotel again also very far from mayfair which is pointless as it takes 20 30 min to oxford street and back NO HALAAL FOOD,No Positive
84302,Royal Garden Hotel, Did think the cost of breakfast is a little high at 25 per person so chose to eat out , Had a very enjoyable stay at the Royal Garden Hotel even though had traveled to see Phil Collins in concert which was cancelled still went down for the weekend The staff were so friendly and professional we felt at home from the minute we walked though the door The views of the park from our window were stunning and there were plenty of places to eat and drink around the hotel re booked for November already 
84303,Royal Garden Hotel, Nothing really, Great room with a great view of Hyde Park super friendly staff it was our first time in London and they were all very helpful and made us feel really welcome special thanks to Christina Very extensive roomservice menu and a great bar Bertie s bar to chill out in at night Buslane next to the hotel helped us tourists greatly as well very easy to move around in London like that Very calm and quiet at night What else great beds haven t slept as well in an hotel recently and a very spacious bathroom I couldn t fault a thing and we loved our time there We ll be back in November 
84304,Royal Garden Hotel, Couldn t find anything not to like in our two night stay , Staff were friendly helpful helped to make our stay Great location They had scooters at the concierge to use at the park 
84305,Royal Garden Hotel, The entrance to the parking We were not told about the restricted height or the difficult access and as we have a large Mercedes MLS 4 wheel drive the height barrier had to be lifted and we still managed to scrape the roof of the car The ramp and walls of the access to the parking was very narrow and the whole descent to the parking level was met with the rubbing of tyre on kerb and the sounding of the collision alarm in our car No it wasn t a case of bad driving it is very tight , I loved our stay at the Royal Garden Hotel We were allocated a Smoking room which was foul however we had been given a view over Kensington Gardens which was wonderful so we decided to endure the horrendous stench of stale cigarettes 
84306,Royal Garden Hotel, Some waiters could be nicer and caring , Walking to the left it s Kensington Palace Albert Hall and the other parks To the right all the shops at Kensington High St as Zara TKMax Gap Mark and Spenser and HM just to name a few So many restaurants to choose from and Whole Foods The Chinese restaurant Ming Jiang is on the 10th floor and besides sharing a beautiful view from the palace gardens it also offers some delicious dishes 
84307,Royal Garden Hotel, Despite having stayed here many times we are never welcomed as returning guests and good clients With some exceptions the staff at the front are cold and rather officious As opposed to household and restaurant staff who are very welcoming and helpful it s a pity My other pet peeves for me pillows are too soft and I detest rain showers , Great Location park on one side High Street on the other bus stop outside Underground 5 mins walk 2 seater couch in room Park Terrace restaurant is pleasant and very good value 
84308,Royal Garden Hotel, receptionist on check out not particularly friendly didn t ask how our stay was say thank you and in fact I had to say are we done to confirm check out process was complete Not many HD channels on TV , excellent location comfortable room and bathroom great view over Kensington gardens very good receptionist on check in
84309,Royal Garden Hotel, The wifi kept going in and out which was a hassle Also the house keeping kept knocking on my door even with the privacy light on , The view from the room was incredible The room had all the required items I loved the seating area by the window to look out onto all the rooftops The location was great I was stuck with no luggage thanks British Airways so I had to buy new things and it was very easy to do that as all the shops were around 
84310,Royal Garden Hotel, 1 We ordered a Queen Room with a Double bed in a quiet room We got after a lot of checking by reception a twin room They said our booking was changed from a Queen Room NOT BY US 2 The breakfast is not good vale The food was just warm and the eggs looked as if they had been sitting around a while We did wait for our food , The closeness to the Royal Albert Hall and the staff
84311,Royal Garden Hotel, Erratic room services sometimes water other days not sometimes bar frig checked other days not My friend was asked did she want a turn down at 10 pm ,No Positive
84312,Royal Garden Hotel, food wasn t really good through my online booking i asked for non smoking room in upper level floor and i get non of this as they game me smoking room in first floor the view of my room was the celling of the entrance block so there wasn t street view as they said,No Positive
84313,Royal Garden Hotel, Breakfast was awful The buffet weekends left a lot to be desired If I m paying 25 pp for it I expect it to be made to order for me The second day we went to McDonald s for a mcmuffin that was hot and made to order and a lot cheaper , Location comfort bathroom
84314,Royal Garden Hotel, Was not very happy with level of cleanliness at room and common areas Quite expensive as well , Fantastic location on high Kensington street right next to park Staff really nice and friendly they were all professional in their areas 
